game,2016,1,20160912,201609120was,pit,"Pittsburgh Steelers",38,was,"Washington Redskins",16
team,201609120was,pit,First Downs,23,,,,,,
team,201609120was,was,First Downs,18,,,,,,
team,201609120was,pit,Rush-Yds-TDs,30-147-2,,,,,,
team,201609120was,was,Rush-Yds-TDs,12-55-1,,,,,,
team,201609120was,pit,Cmp-Att-Yd-TD-INT,27-37-300-3-1,,,,,,
team,201609120was,was,Cmp-Att-Yd-TD-INT,30-43-329-0-2,,,,,,
team,201609120was,pit,Sacked-Yards,1-10,,,,,,
team,201609120was,was,Sacked-Yards,0-0,,,,,,
team,201609120was,pit,Net Pass Yards,290,,,,,,
team,201609120was,was,Net Pass Yards,329,,,,,,
team,201609120was,pit,Total Yards,437,,,,,,
team,201609120was,was,Total Yards,384,,,,,,
team,201609120was,pit,Fumbles-Lost,2-0,,,,,,
team,201609120was,was,Fumbles-Lost,1-0,,,,,,
team,201609120was,pit,Turnovers,1,,,,,,
team,201609120was,was,Turnovers,2,,,,,,
team,201609120was,pit,Penalties-Yards,4-81,,,,,,
team,201609120was,was,Penalties-Yards,9-55,,,,,,
team,201609120was,pit,Third Down Conv.,9-14,,,,,,
team,201609120was,was,Third Down Conv.,3-10,,,,,,
team,201609120was,pit,Fourth Down Conv.,2-2,,,,,,
team,201609120was,was,Fourth Down Conv.,0-2,,,,,,
team,201609120was,pit,Time of Possession,33:18,,,,,,
team,201609120was,was,Time of Possession,26:42,,,,,,
player,201609120was,pit,RoetBe00,pass_cmp,27,,,,,
player,201609120was,pit,RoetBe00,pass_att,37,,,,,
player,201609120was,pit,RoetBe00,pass_yds,300,,,,,
player,201609120was,pit,RoetBe00,pass_td,3,,,,,
player,201609120was,pit,RoetBe00,pass_int,1,,,,,
player,201609120was,pit,RoetBe00,pass_sacked,1,,,,,
player,201609120was,pit,RoetBe00,pass_sacked_yds,10,,,,,
player,201609120was,pit,RoetBe00,pass_long,42,,,,,
player,201609120was,pit,RoetBe00,pass_rating,112.4,,,,,
player,201609120was,pit,RoetBe00,rush_att,1,,,,,
player,201609120was,pit,RoetBe00,rush_yds,-2,,,,,
player,201609120was,pit,RoetBe00,rush_td,0,,,,,
player,201609120was,pit,RoetBe00,rush_long,-2,,,,,
player,201609120was,pit,RoetBe00,targets,0,,,,,
player,201609120was,pit,RoetBe00,rec,0,,,,,
player,201609120was,pit,RoetBe00,rec_yds,0,,,,,
player,201609120was,pit,RoetBe00,rec_td,0,,,,,
player,201609120was,pit,RoetBe00,rec_long,0,,,,,
player,201609120was,pit,RoetBe00,fumbles,2,,,,,
player,201609120was,pit,RoetBe00,fumbles_lost,0,,,,,
player,201609120was,pit,WillDe02,pass_cmp,0,,,,,
player,201609120was,pit,WillDe02,pass_att,0,,,,,
player,201609120was,pit,WillDe02,pass_yds,0,,,,,
player,201609120was,pit,WillDe02,pass_td,0,,,,,
player,201609120was,pit,WillDe02,pass_int,0,,,,,
player,201609120was,pit,WillDe02,pass_sacked,0,,,,,
player,201609120was,pit,WillDe02,pass_sacked_yds,0,,,,,
player,201609120was,pit,WillDe02,pass_long,0,,,,,
player,201609120was,pit,WillDe02,pass_rating,,,,,,
player,201609120was,pit,WillDe02,rush_att,26,,,,,
player,201609120was,pit,WillDe02,rush_yds,143,,,,,
player,201609120was,pit,WillDe02,rush_td,2,,,,,
player,201609120was,pit,WillDe02,rush_long,17,,,,,
player,201609120was,pit,WillDe02,targets,9,,,,,
player,201609120was,pit,WillDe02,rec,6,,,,,
player,201609120was,pit,WillDe02,rec_yds,28,,,,,
player,201609120was,pit,WillDe02,rec_td,0,,,,,
player,201609120was,pit,WillDe02,rec_long,14,,,,,
player,201609120was,pit,WillDe02,fumbles,0,,,,,
player,201609120was,pit,WillDe02,fumbles_lost,0,,,,,
player,201609120was,pit,TousFi00,pass_cmp,0,,,,,
player,201609120was,pit,TousFi00,pass_att,0,,,,,
player,201609120was,pit,TousFi00,pass_yds,0,,,,,
player,201609120was,pit,TousFi00,pass_td,0,,,,,
player,201609120was,pit,TousFi00,pass_int,0,,,,,
player,201609120was,pit,TousFi00,pass_sacked,0,,,,,
player,201609120was,pit,TousFi00,pass_sacked_yds,0,,,,,
player,201609120was,pit,TousFi00,pass_long,0,,,,,
player,201609120was,pit,TousFi00,pass_rating,,,,,,
player,201609120was,pit,TousFi00,rush_att,3,,,,,
player,201609120was,pit,TousFi00,rush_yds,6,,,,,
player,201609120was,pit,TousFi00,rush_td,0,,,,,
player,201609120was,pit,TousFi00,rush_long,7,,,,,
player,201609120was,pit,TousFi00,targets,0,,,,,
player,201609120was,pit,TousFi00,rec,0,,,,,
player,201609120was,pit,TousFi00,rec_yds,0,,,,,
player,201609120was,pit,TousFi00,rec_td,0,,,,,
player,201609120was,pit,TousFi00,rec_long,0,,,,,
player,201609120was,pit,TousFi00,fumbles,0,,,,,
player,201609120was,pit,TousFi00,fumbles_lost,0,,,,,
player,201609120was,pit,BrowAn04,pass_cmp,0,,,,,
player,201609120was,pit,BrowAn04,pass_att,0,,,,,
player,201609120was,pit,BrowAn04,pass_yds,0,,,,,
player,201609120was,pit,BrowAn04,pass_td,0,,,,,
player,201609120was,pit,BrowAn04,pass_int,0,,,,,
player,201609120was,pit,BrowAn04,pass_sacked,0,,,,,
player,201609120was,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201609120was,pit,BrowAn04,pass_long,0,,,,,
player,201609120was,pit,BrowAn04,pass_rating,,,,,,
player,201609120was,pit,BrowAn04,rush_att,0,,,,,
player,201609120was,pit,BrowAn04,rush_yds,0,,,,,
player,201609120was,pit,BrowAn04,rush_td,0,,,,,
player,201609120was,pit,BrowAn04,rush_long,0,,,,,
player,201609120was,pit,BrowAn04,targets,11,,,,,
player,201609120was,pit,BrowAn04,rec,8,,,,,
player,201609120was,pit,BrowAn04,rec_yds,126,,,,,
player,201609120was,pit,BrowAn04,rec_td,2,,,,,
player,201609120was,pit,BrowAn04,rec_long,29,,,,,
player,201609120was,pit,BrowAn04,fumbles,0,,,,,
player,201609120was,pit,BrowAn04,fumbles_lost,0,,,,,
player,201609120was,pit,RogeEl00,pass_cmp,0,,,,,
player,201609120was,pit,RogeEl00,pass_att,0,,,,,
player,201609120was,pit,RogeEl00,pass_yds,0,,,,,
player,201609120was,pit,RogeEl00,pass_td,0,,,,,
player,201609120was,pit,RogeEl00,pass_int,0,,,,,
player,201609120was,pit,RogeEl00,pass_sacked,0,,,,,
player,201609120was,pit,RogeEl00,pass_sacked_yds,0,,,,,
player,201609120was,pit,RogeEl00,pass_long,0,,,,,
player,201609120was,pit,RogeEl00,pass_rating,,,,,,
player,201609120was,pit,RogeEl00,rush_att,0,,,,,
player,201609120was,pit,RogeEl00,rush_yds,0,,,,,
player,201609120was,pit,RogeEl00,rush_td,0,,,,,
player,201609120was,pit,RogeEl00,rush_long,0,,,,,
player,201609120was,pit,RogeEl00,targets,7,,,,,
player,201609120was,pit,RogeEl00,rec,6,,,,,
player,201609120was,pit,RogeEl00,rec_yds,59,,,,,
player,201609120was,pit,RogeEl00,rec_td,1,,,,,
player,201609120was,pit,RogeEl00,rec_long,20,,,,,
player,201609120was,pit,RogeEl00,fumbles,0,,,,,
player,201609120was,pit,RogeEl00,fumbles_lost,0,,,,,
player,201609120was,pit,CoatSa00,pass_cmp,0,,,,,
player,201609120was,pit,CoatSa00,pass_att,0,,,,,
player,201609120was,pit,CoatSa00,pass_yds,0,,,,,
player,201609120was,pit,CoatSa00,pass_td,0,,,,,
player,201609120was,pit,CoatSa00,pass_int,0,,,,,
player,201609120was,pit,CoatSa00,pass_sacked,0,,,,,
player,201609120was,pit,CoatSa00,pass_sacked_yds,0,,,,,
player,201609120was,pit,CoatSa00,pass_long,0,,,,,
player,201609120was,pit,CoatSa00,pass_rating,,,,,,
player,201609120was,pit,CoatSa00,rush_att,0,,,,,
player,201609120was,pit,CoatSa00,rush_yds,0,,,,,
player,201609120was,pit,CoatSa00,rush_td,0,,,,,
player,201609120was,pit,CoatSa00,rush_long,0,,,,,
player,201609120was,pit,CoatSa00,targets,3,,,,,
player,201609120was,pit,CoatSa00,rec,2,,,,,
player,201609120was,pit,CoatSa00,rec_yds,56,,,,,
player,201609120was,pit,CoatSa00,rec_td,0,,,,,
player,201609120was,pit,CoatSa00,rec_long,42,,,,,
player,201609120was,pit,CoatSa00,fumbles,0,,,,,
player,201609120was,pit,CoatSa00,fumbles_lost,0,,,,,
player,201609120was,pit,JameJe00,pass_cmp,0,,,,,
player,201609120was,pit,JameJe00,pass_att,0,,,,,
player,201609120was,pit,JameJe00,pass_yds,0,,,,,
player,201609120was,pit,JameJe00,pass_td,0,,,,,
player,201609120was,pit,JameJe00,pass_int,0,,,,,
player,201609120was,pit,JameJe00,pass_sacked,0,,,,,
player,201609120was,pit,JameJe00,pass_sacked_yds,0,,,,,
player,201609120was,pit,JameJe00,pass_long,0,,,,,
player,201609120was,pit,JameJe00,pass_rating,,,,,,
player,201609120was,pit,JameJe00,rush_att,0,,,,,
player,201609120was,pit,JameJe00,rush_yds,0,,,,,
player,201609120was,pit,JameJe00,rush_td,0,,,,,
player,201609120was,pit,JameJe00,rush_long,0,,,,,
player,201609120was,pit,JameJe00,targets,7,,,,,
player,201609120was,pit,JameJe00,rec,5,,,,,
player,201609120was,pit,JameJe00,rec_yds,31,,,,,
player,201609120was,pit,JameJe00,rec_td,0,,,,,
player,201609120was,pit,JameJe00,rec_long,8,,,,,
player,201609120was,pit,JameJe00,fumbles,0,,,,,
player,201609120was,pit,JameJe00,fumbles_lost,0,,,,,
player,201609120was,was,CousKi00,pass_cmp,30,,,,,
player,201609120was,was,CousKi00,pass_att,43,,,,,
player,201609120was,was,CousKi00,pass_yds,329,,,,,
player,201609120was,was,CousKi00,pass_td,0,,,,,
player,201609120was,was,CousKi00,pass_int,2,,,,,
player,201609120was,was,CousKi00,pass_sacked,0,,,,,
player,201609120was,was,CousKi00,pass_sacked_yds,0,,,,,
player,201609120was,was,CousKi00,pass_long,33,,,,,
player,201609120was,was,CousKi00,pass_rating,72.7,,,,,
player,201609120was,was,CousKi00,rush_att,1,,,,,
player,201609120was,was,CousKi00,rush_yds,8,,,,,
player,201609120was,was,CousKi00,rush_td,0,,,,,
