game,2016,9,20161106,201611060gnb,clt,"Indianapolis Colts",31,gnb,"Green Bay Packers",26
player,201611060gnb,clt,DoylJa00,pass_rating,,,,,,
player,201611060gnb,clt,DoylJa00,rush_att,0,,,,,
player,201611060gnb,clt,DoylJa00,rush_yds,0,,,,,
player,201611060gnb,clt,DoylJa00,rush_td,0,,,,,
player,201611060gnb,clt,DoylJa00,rush_long,0,,,,,
player,201611060gnb,clt,DoylJa00,targets,9,,,,,
player,201611060gnb,clt,DoylJa00,rec,5,,,,,
player,201611060gnb,clt,DoylJa00,rec_yds,61,,,,,
player,201611060gnb,clt,DoylJa00,rec_td,0,,,,,
player,201611060gnb,clt,DoylJa00,rec_long,20,,,,,
player,201611060gnb,clt,DoylJa00,fumbles,0,,,,,
player,201611060gnb,clt,DoylJa00,fumbles_lost,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_cmp,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_att,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_yds,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_td,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_int,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_sacked,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_long,0,,,,,
player,201611060gnb,clt,MoncDo00,pass_rating,,,,,,
player,201611060gnb,clt,MoncDo00,rush_att,0,,,,,
player,201611060gnb,clt,MoncDo00,rush_yds,0,,,,,
player,201611060gnb,clt,MoncDo00,rush_td,0,,,,,
player,201611060gnb,clt,MoncDo00,rush_long,0,,,,,
player,201611060gnb,clt,MoncDo00,targets,6,,,,,
player,201611060gnb,clt,MoncDo00,rec,3,,,,,
player,201611060gnb,clt,MoncDo00,rec_yds,55,,,,,
player,201611060gnb,clt,MoncDo00,rec_td,1,,,,,
player,201611060gnb,clt,MoncDo00,rec_long,39,,,,,
player,201611060gnb,clt,MoncDo00,fumbles,0,,,,,
player,201611060gnb,clt,MoncDo00,fumbles_lost,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_cmp,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_att,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_yds,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_td,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_int,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_sacked,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_sacked_yds,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_long,0,,,,,
player,201611060gnb,clt,DorsPh00,pass_rating,,,,,,
player,201611060gnb,clt,DorsPh00,rush_att,0,,,,,
player,201611060gnb,clt,DorsPh00,rush_yds,0,,,,,
player,201611060gnb,clt,DorsPh00,rush_td,0,,,,,
player,201611060gnb,clt,DorsPh00,rush_long,0,,,,,
player,201611060gnb,clt,DorsPh00,targets,4,,,,,
player,201611060gnb,clt,DorsPh00,rec,2,,,,,
player,201611060gnb,clt,DorsPh00,rec_yds,28,,,,,
player,201611060gnb,clt,DorsPh00,rec_td,0,,,,,
player,201611060gnb,clt,DorsPh00,rec_long,15,,,,,
player,201611060gnb,clt,DorsPh00,fumbles,0,,,,,
player,201611060gnb,clt,DorsPh00,fumbles_lost,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_cmp,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_att,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_yds,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_td,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_int,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_sacked,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_long,0,,,,,
player,201611060gnb,clt,AlleDw00,pass_rating,,,,,,
player,201611060gnb,clt,AlleDw00,rush_att,0,,,,,
player,201611060gnb,clt,AlleDw00,rush_yds,0,,,,,
player,201611060gnb,clt,AlleDw00,rush_td,0,,,,,
player,201611060gnb,clt,AlleDw00,rush_long,0,,,,,
player,201611060gnb,clt,AlleDw00,targets,2,,,,,
player,201611060gnb,clt,AlleDw00,rec,1,,,,,
player,201611060gnb,clt,AlleDw00,rec_yds,15,,,,,
player,201611060gnb,clt,AlleDw00,rec_td,0,,,,,
player,201611060gnb,clt,AlleDw00,rec_long,15,,,,,
player,201611060gnb,clt,AlleDw00,fumbles,0,,,,,
player,201611060gnb,clt,AlleDw00,fumbles_lost,0,,,,,
player,201611060gnb,clt,FergJo02,pass_cmp,0,,,,,
player,201611060gnb,clt,FergJo02,pass_att,0,,,,,
player,201611060gnb,clt,FergJo02,pass_yds,0,,,,,
player,201611060gnb,clt,FergJo02,pass_td,0,,,,,
player,201611060gnb,clt,FergJo02,pass_int,0,,,,,
player,201611060gnb,clt,FergJo02,pass_sacked,0,,,,,
player,201611060gnb,clt,FergJo02,pass_sacked_yds,0,,,,,
player,201611060gnb,clt,FergJo02,pass_long,0,,,,,
player,201611060gnb,clt,FergJo02,pass_rating,,,,,,
player,201611060gnb,clt,FergJo02,rush_att,0,,,,,
player,201611060gnb,clt,FergJo02,rush_yds,0,,,,,
player,201611060gnb,clt,FergJo02,rush_td,0,,,,,
player,201611060gnb,clt,FergJo02,rush_long,0,,,,,
player,201611060gnb,clt,FergJo02,targets,1,,,,,
player,201611060gnb,clt,FergJo02,rec,1,,,,,
player,201611060gnb,clt,FergJo02,rec_yds,9,,,,,
player,201611060gnb,clt,FergJo02,rec_td,0,,,,,
player,201611060gnb,clt,FergJo02,rec_long,9,,,,,
player,201611060gnb,clt,FergJo02,fumbles,0,,,,,
player,201611060gnb,clt,FergJo02,fumbles_lost,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_cmp,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_att,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_yds,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_td,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_int,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_sacked,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_sacked_yds,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_long,0,,,,,
player,201611060gnb,clt,SwooEr00,pass_rating,,,,,,
player,201611060gnb,clt,SwooEr00,rush_att,0,,,,,
player,201611060gnb,clt,SwooEr00,rush_yds,0,,,,,
player,201611060gnb,clt,SwooEr00,rush_td,0,,,,,
player,201611060gnb,clt,SwooEr00,rush_long,0,,,,,
player,201611060gnb,clt,SwooEr00,targets,1,,,,,
player,201611060gnb,clt,SwooEr00,rec,1,,,,,
player,201611060gnb,clt,SwooEr00,rec_yds,7,,,,,
player,201611060gnb,clt,SwooEr00,rec_td,0,,,,,
player,201611060gnb,clt,SwooEr00,rec_long,7,,,,,
player,201611060gnb,clt,SwooEr00,fumbles,0,,,,,
player,201611060gnb,clt,SwooEr00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,RodgAa00,pass_cmp,26,,,,,
player,201611060gnb,gnb,RodgAa00,pass_att,43,,,,,
player,201611060gnb,gnb,RodgAa00,pass_yds,297,,,,,
player,201611060gnb,gnb,RodgAa00,pass_td,3,,,,,
player,201611060gnb,gnb,RodgAa00,pass_int,1,,,,,
player,201611060gnb,gnb,RodgAa00,pass_sacked,3,,,,,
player,201611060gnb,gnb,RodgAa00,pass_sacked_yds,8,,,,,
player,201611060gnb,gnb,RodgAa00,pass_long,40,,,,,
player,201611060gnb,gnb,RodgAa00,pass_rating,94.8,,,,,
player,201611060gnb,gnb,RodgAa00,rush_att,6,,,,,
player,201611060gnb,gnb,RodgAa00,rush_yds,43,,,,,
player,201611060gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201611060gnb,gnb,RodgAa00,rush_long,21,,,,,
player,201611060gnb,gnb,RodgAa00,targets,0,,,,,
player,201611060gnb,gnb,RodgAa00,rec,0,,,,,
player,201611060gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201611060gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201611060gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201611060gnb,gnb,RodgAa00,fumbles,0,,,,,
player,201611060gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_cmp,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_att,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_yds,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_td,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_int,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_sacked,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_long,0,,,,,
player,201611060gnb,gnb,MontTy01,pass_rating,,,,,,
player,201611060gnb,gnb,MontTy01,rush_att,7,,,,,
player,201611060gnb,gnb,MontTy01,rush_yds,53,,,,,
player,201611060gnb,gnb,MontTy01,rush_td,0,,,,,
player,201611060gnb,gnb,MontTy01,rush_long,24,,,,,
player,201611060gnb,gnb,MontTy01,targets,3,,,,,
player,201611060gnb,gnb,MontTy01,rec,3,,,,,
player,201611060gnb,gnb,MontTy01,rec_yds,38,,,,,
player,201611060gnb,gnb,MontTy01,rec_td,0,,,,,
player,201611060gnb,gnb,MontTy01,rec_long,18,,,,,
player,201611060gnb,gnb,MontTy01,fumbles,0,,,,,
player,201611060gnb,gnb,MontTy01,fumbles_lost,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_cmp,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_att,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_yds,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_td,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_int,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_sacked,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_long,0,,,,,
player,201611060gnb,gnb,JackDo01,pass_rating,,,,,,
player,201611060gnb,gnb,JackDo01,rush_att,4,,,,,
player,201611060gnb,gnb,JackDo01,rush_yds,16,,,,,
player,201611060gnb,gnb,JackDo01,rush_td,0,,,,,
player,201611060gnb,gnb,JackDo01,rush_long,6,,,,,
player,201611060gnb,gnb,JackDo01,targets,0,,,,,
player,201611060gnb,gnb,JackDo01,rec,0,,,,,
player,201611060gnb,gnb,JackDo01,rec_yds,0,,,,,
player,201611060gnb,gnb,JackDo01,rec_td,0,,,,,
player,201611060gnb,gnb,JackDo01,rec_long,0,,,,,
player,201611060gnb,gnb,JackDo01,fumbles,0,,,,,
player,201611060gnb,gnb,JackDo01,fumbles_lost,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_cmp,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_att,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_yds,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_td,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_int,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_sacked,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_long,0,,,,,
player,201611060gnb,gnb,RipkAa00,pass_rating,,,,,,
player,201611060gnb,gnb,RipkAa00,rush_att,2,,,,,
player,201611060gnb,gnb,RipkAa00,rush_yds,4,,,,,
player,201611060gnb,gnb,RipkAa00,rush_td,0,,,,,
player,201611060gnb,gnb,RipkAa00,rush_long,2,,,,,
player,201611060gnb,gnb,RipkAa00,targets,1,,,,,
player,201611060gnb,gnb,RipkAa00,rec,1,,,,,
player,201611060gnb,gnb,RipkAa00,rec_yds,3,,,,,
player,201611060gnb,gnb,RipkAa00,rec_td,0,,,,,
player,201611060gnb,gnb,RipkAa00,rec_long,3,,,,,
player,201611060gnb,gnb,RipkAa00,fumbles,0,,,,,
player,201611060gnb,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_cmp,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_att,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_yds,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_td,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_int,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_sacked,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_long,0,,,,,
player,201611060gnb,gnb,NelsJo00,pass_rating,,,,,,
player,201611060gnb,gnb,NelsJo00,rush_att,0,,,,,
player,201611060gnb,gnb,NelsJo00,rush_yds,0,,,,,
player,201611060gnb,gnb,NelsJo00,rush_td,0,,,,,
player,201611060gnb,gnb,NelsJo00,rush_long,0,,,,,
player,201611060gnb,gnb,NelsJo00,targets,13,,,,,
player,201611060gnb,gnb,NelsJo00,rec,7,,,,,
player,201611060gnb,gnb,NelsJo00,rec_yds,94,,,,,
player,201611060gnb,gnb,NelsJo00,rec_td,1,,,,,
player,201611060gnb,gnb,NelsJo00,rec_long,26,,,,,
player,201611060gnb,gnb,NelsJo00,fumbles,0,,,,,
player,201611060gnb,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_cmp,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_att,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_yds,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_td,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_int,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_sacked,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_long,0,,,,,
player,201611060gnb,gnb,RodgRi00,pass_rating,,,,,,
