game,2016,3,20160925,201609250mia,cle,"Cleveland Browns",24,mia,"Miami Dolphins",30
team,201609250mia,cle,First Downs,21,,,,,,
team,201609250mia,mia,First Downs,23,,,,,,
team,201609250mia,cle,Rush-Yds-TDs,32-169-1,,,,,,
team,201609250mia,mia,Rush-Yds-TDs,25-115-1,,,,,,
team,201609250mia,cle,Cmp-Att-Yd-TD-INT,24-38-279-0-0,,,,,,
team,201609250mia,mia,Cmp-Att-Yd-TD-INT,25-39-319-3-2,,,,,,
team,201609250mia,cle,Sacked-Yards,4-18,,,,,,
team,201609250mia,mia,Sacked-Yards,1-8,,,,,,
team,201609250mia,cle,Net Pass Yards,261,,,,,,
team,201609250mia,mia,Net Pass Yards,311,,,,,,
team,201609250mia,cle,Total Yards,430,,,,,,
team,201609250mia,mia,Total Yards,426,,,,,,
team,201609250mia,cle,Fumbles-Lost,3-1,,,,,,
team,201609250mia,mia,Fumbles-Lost,1-1,,,,,,
team,201609250mia,cle,Turnovers,1,,,,,,
team,201609250mia,mia,Turnovers,3,,,,,,
team,201609250mia,cle,Penalties-Yards,13-91,,,,,,
team,201609250mia,mia,Penalties-Yards,8-67,,,,,,
team,201609250mia,cle,Third Down Conv.,4-15,,,,,,
team,201609250mia,mia,Third Down Conv.,2-10,,,,,,
team,201609250mia,cle,Fourth Down Conv.,0-0,,,,,,
team,201609250mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201609250mia,cle,Time of Possession,37:22,,,,,,
team,201609250mia,mia,Time of Possession,29:12,,,,,,
player,201609250mia,cle,KessCo00,pass_cmp,21,,,,,
player,201609250mia,cle,KessCo00,pass_att,33,,,,,
player,201609250mia,cle,KessCo00,pass_yds,244,,,,,
player,201609250mia,cle,KessCo00,pass_td,0,,,,,
player,201609250mia,cle,KessCo00,pass_int,0,,,,,
player,201609250mia,cle,KessCo00,pass_sacked,3,,,,,
player,201609250mia,cle,KessCo00,pass_sacked_yds,17,,,,,
player,201609250mia,cle,KessCo00,pass_long,40,,,,,
player,201609250mia,cle,KessCo00,pass_rating,85.9,,,,,
player,201609250mia,cle,KessCo00,rush_att,2,,,,,
player,201609250mia,cle,KessCo00,rush_yds,-1,,,,,
player,201609250mia,cle,KessCo00,rush_td,0,,,,,
player,201609250mia,cle,KessCo00,rush_long,0,,,,,
player,201609250mia,cle,KessCo00,targets,0,,,,,
player,201609250mia,cle,KessCo00,rec,0,,,,,
player,201609250mia,cle,KessCo00,rec_yds,0,,,,,
player,201609250mia,cle,KessCo00,rec_td,0,,,,,
player,201609250mia,cle,KessCo00,rec_long,0,,,,,
player,201609250mia,cle,KessCo00,fumbles,2,,,,,
player,201609250mia,cle,KessCo00,fumbles_lost,1,,,,,
player,201609250mia,cle,PryoTe00,pass_cmp,3,,,,,
player,201609250mia,cle,PryoTe00,pass_att,5,,,,,
