game,2016,11,20161120,201611200clt,oti,"Tennessee Titans",17,clt,"Indianapolis Colts",24
team,201611200clt,oti,First Downs,20,,,,,,
team,201611200clt,clt,First Downs,18,,,,,,
team,201611200clt,oti,Rush-Yds-TDs,27-97-0,,,,,,
team,201611200clt,clt,Rush-Yds-TDs,28-76-1,,,,,,
team,201611200clt,oti,Cmp-Att-Yd-TD-INT,25-38-290-2-0,,,,,,
team,201611200clt,clt,Cmp-Att-Yd-TD-INT,15-28-262-2-1,,,,,,
team,201611200clt,oti,Sacked-Yards,5-36,,,,,,
team,201611200clt,clt,Sacked-Yards,2-11,,,,,,
team,201611200clt,oti,Net Pass Yards,254,,,,,,
team,201611200clt,clt,Net Pass Yards,251,,,,,,
team,201611200clt,oti,Total Yards,351,,,,,,
team,201611200clt,clt,Total Yards,327,,,,,,
team,201611200clt,oti,Fumbles-Lost,0-0,,,,,,
team,201611200clt,clt,Fumbles-Lost,0-0,,,,,,
team,201611200clt,oti,Turnovers,0,,,,,,
team,201611200clt,clt,Turnovers,1,,,,,,
team,201611200clt,oti,Penalties-Yards,11-109,,,,,,
team,201611200clt,clt,Penalties-Yards,8-70,,,,,,
team,201611200clt,oti,Third Down Conv.,5-14,,,,,,
team,201611200clt,clt,Third Down Conv.,5-12,,,,,,
team,201611200clt,oti,Fourth Down Conv.,1-3,,,,,,
team,201611200clt,clt,Fourth Down Conv.,1-1,,,,,,
team,201611200clt,oti,Time of Possession,31:01,,,,,,
team,201611200clt,clt,Time of Possession,28:59,,,,,,
player,201611200clt,oti,MariMa01,pass_cmp,25,,,,,
player,201611200clt,oti,MariMa01,pass_att,38,,,,,
player,201611200clt,oti,MariMa01,pass_yds,290,,,,,
player,201611200clt,oti,MariMa01,pass_td,2,,,,,
player,201611200clt,oti,MariMa01,pass_int,0,,,,,
player,201611200clt,oti,MariMa01,pass_sacked,5,,,,,
player,201611200clt,oti,MariMa01,pass_sacked_yds,36,,,,,
player,201611200clt,oti,MariMa01,pass_long,35,,,,,
player,201611200clt,oti,MariMa01,pass_rating,106.2,,,,,
player,201611200clt,oti,MariMa01,rush_att,5,,,,,
player,201611200clt,oti,MariMa01,rush_yds,29,,,,,
player,201611200clt,oti,MariMa01,rush_td,0,,,,,
player,201611200clt,oti,MariMa01,rush_long,12,,,,,
player,201611200clt,oti,MariMa01,targets,0,,,,,
player,201611200clt,oti,MariMa01,rec,0,,,,,
player,201611200clt,oti,MariMa01,rec_yds,0,,,,,
player,201611200clt,oti,MariMa01,rec_td,0,,,,,
player,201611200clt,oti,MariMa01,rec_long,0,,,,,
player,201611200clt,oti,MariMa01,fumbles,0,,,,,
player,201611200clt,oti,MariMa01,fumbles_lost,0,,,,,
player,201611200clt,oti,MurrDe00,pass_cmp,0,,,,,
player,201611200clt,oti,MurrDe00,pass_att,0,,,,,
player,201611200clt,oti,MurrDe00,pass_yds,0,,,,,
player,201611200clt,oti,MurrDe00,pass_td,0,,,,,
player,201611200clt,oti,MurrDe00,pass_int,0,,,,,
player,201611200clt,oti,MurrDe00,pass_sacked,0,,,,,
player,201611200clt,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201611200clt,oti,MurrDe00,pass_long,0,,,,,
player,201611200clt,oti,MurrDe00,pass_rating,,,,,,
