game,2016,14,20161211,201612110oti,den,"Denver Broncos",10,oti,"Tennessee Titans",13
team,201612110oti,den,First Downs,19,,,,,,
team,201612110oti,oti,First Downs,16,,,,,,
team,201612110oti,den,Rush-Yds-TDs,9-18-0,,,,,,
team,201612110oti,oti,Rush-Yds-TDs,42-180-1,,,,,,
team,201612110oti,den,Cmp-Att-Yd-TD-INT,36-52-350-1-0,,,,,,
team,201612110oti,oti,Cmp-Att-Yd-TD-INT,6-21-88-0-0,,,,,,
team,201612110oti,den,Sacked-Yards,3-20,,,,,,
team,201612110oti,oti,Sacked-Yards,2-15,,,,,,
team,201612110oti,den,Net Pass Yards,330,,,,,,
team,201612110oti,oti,Net Pass Yards,73,,,,,,
team,201612110oti,den,Total Yards,348,,,,,,
team,201612110oti,oti,Total Yards,253,,,,,,
team,201612110oti,den,Fumbles-Lost,2-2,,,,,,
team,201612110oti,oti,Fumbles-Lost,1-0,,,,,,
team,201612110oti,den,Turnovers,2,,,,,,
team,201612110oti,oti,Turnovers,0,,,,,,
team,201612110oti,den,Penalties-Yards,9-87,,,,,,
team,201612110oti,oti,Penalties-Yards,5-55,,,,,,
team,201612110oti,den,Third Down Conv.,3-11,,,,,,
team,201612110oti,oti,Third Down Conv.,6-16,,,,,,
team,201612110oti,den,Fourth Down Conv.,1-2,,,,,,
team,201612110oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201612110oti,den,Time of Possession,27:33,,,,,,
team,201612110oti,oti,Time of Possession,32:27,,,,,,
player,201612110oti,den,SiemTr00,pass_cmp,35,,,,,
player,201612110oti,den,SiemTr00,pass_att,51,,,,,
player,201612110oti,den,SiemTr00,pass_yds,334,,,,,
player,201612110oti,den,SiemTr00,pass_td,1,,,,,
player,201612110oti,den,SiemTr00,pass_int,0,,,,,
player,201612110oti,den,SiemTr00,pass_sacked,3,,,,,
player,201612110oti,den,SiemTr00,pass_sacked_yds,20,,,,,
player,201612110oti,den,SiemTr00,pass_long,34,,,,,
player,201612110oti,den,SiemTr00,pass_rating,93.1,,,,,
player,201612110oti,den,SiemTr00,rush_att,0,,,,,
player,201612110oti,den,SiemTr00,rush_yds,0,,,,,
player,201612110oti,den,SiemTr00,rush_td,0,,,,,
player,201612110oti,den,SiemTr00,rush_long,0,,,,,
player,201612110oti,den,SiemTr00,targets,0,,,,,
player,201612110oti,den,SiemTr00,rec,0,,,,,
player,201612110oti,den,SiemTr00,rec_yds,0,,,,,
player,201612110oti,den,SiemTr00,rec_td,0,,,,,
player,201612110oti,den,SiemTr00,rec_long,0,,,,,
player,201612110oti,den,SiemTr00,fumbles,0,,,,,
player,201612110oti,den,SiemTr00,fumbles_lost,0,,,,,
player,201612110oti,den,DixoRi00,pass_cmp,1,,,,,
player,201612110oti,den,DixoRi00,pass_att,1,,,,,
player,201612110oti,den,DixoRi00,pass_yds,16,,,,,
player,201612110oti,den,DixoRi00,pass_td,0,,,,,
player,201612110oti,den,DixoRi00,pass_int,0,,,,,
player,201612110oti,den,DixoRi00,pass_sacked,0,,,,,
player,201612110oti,den,DixoRi00,pass_sacked_yds,0,,,,,
player,201612110oti,den,DixoRi00,pass_long,16,,,,,
player,201612110oti,den,DixoRi00,pass_rating,118.7,,,,,
player,201612110oti,den,DixoRi00,rush_att,0,,,,,
player,201612110oti,den,DixoRi00,rush_yds,0,,,,,
player,201612110oti,den,DixoRi00,rush_td,0,,,,,
player,201612110oti,den,DixoRi00,rush_long,0,,,,,
player,201612110oti,den,DixoRi00,targets,0,,,,,
player,201612110oti,den,DixoRi00,rec,0,,,,,
player,201612110oti,den,DixoRi00,rec_yds,0,,,,,
player,201612110oti,den,DixoRi00,rec_td,0,,,,,
player,201612110oti,den,DixoRi00,rec_long,0,,,,,
player,201612110oti,den,DixoRi00,fumbles,0,,,,,
player,201612110oti,den,DixoRi00,fumbles_lost,0,,,,,
player,201612110oti,den,ForsJu00,pass_cmp,0,,,,,
player,201612110oti,den,ForsJu00,pass_att,0,,,,,
player,201612110oti,den,ForsJu00,pass_yds,0,,,,,
player,201612110oti,den,ForsJu00,pass_td,0,,,,,
player,201612110oti,den,ForsJu00,pass_int,0,,,,,
player,201612110oti,den,ForsJu00,pass_sacked,0,,,,,
player,201612110oti,den,ForsJu00,pass_sacked_yds,0,,,,,
player,201612110oti,den,ForsJu00,pass_long,0,,,,,
player,201612110oti,den,ForsJu00,pass_rating,,,,,,
player,201612110oti,den,ForsJu00,rush_att,6,,,,,
player,201612110oti,den,ForsJu00,rush_yds,17,,,,,
player,201612110oti,den,ForsJu00,rush_td,0,,,,,
player,201612110oti,den,ForsJu00,rush_long,9,,,,,
player,201612110oti,den,ForsJu00,targets,3,,,,,
player,201612110oti,den,ForsJu00,rec,3,,,,,
player,201612110oti,den,ForsJu00,rec_yds,18,,,,,
player,201612110oti,den,ForsJu00,rec_td,0,,,,,
player,201612110oti,den,ForsJu00,rec_long,11,,,,,
player,201612110oti,den,ForsJu00,fumbles,1,,,,,
player,201612110oti,den,ForsJu00,fumbles_lost,1,,,,,
player,201612110oti,den,BookDe00,pass_cmp,0,,,,,
player,201612110oti,den,BookDe00,pass_att,0,,,,,
player,201612110oti,den,BookDe00,pass_yds,0,,,,,
player,201612110oti,den,BookDe00,pass_td,0,,,,,
player,201612110oti,den,BookDe00,pass_int,0,,,,,
player,201612110oti,den,BookDe00,pass_sacked,0,,,,,
player,201612110oti,den,BookDe00,pass_sacked_yds,0,,,,,
player,201612110oti,den,BookDe00,pass_long,0,,,,,
player,201612110oti,den,BookDe00,pass_rating,,,,,,
player,201612110oti,den,BookDe00,rush_att,3,,,,,
player,201612110oti,den,BookDe00,rush_yds,1,,,,,
player,201612110oti,den,BookDe00,rush_td,0,,,,,
player,201612110oti,den,BookDe00,rush_long,1,,,,,
player,201612110oti,den,BookDe00,targets,2,,,,,
player,201612110oti,den,BookDe00,rec,2,,,,,
player,201612110oti,den,BookDe00,rec_yds,10,,,,,
player,201612110oti,den,BookDe00,rec_td,0,,,,,
player,201612110oti,den,BookDe00,rec_long,6,,,,,
player,201612110oti,den,BookDe00,fumbles,0,,,,,
player,201612110oti,den,BookDe00,fumbles_lost,0,,,,,
player,201612110oti,den,ThomDe03,pass_cmp,0,,,,,
player,201612110oti,den,ThomDe03,pass_att,0,,,,,
player,201612110oti,den,ThomDe03,pass_yds,0,,,,,
player,201612110oti,den,ThomDe03,pass_td,0,,,,,
player,201612110oti,den,ThomDe03,pass_int,0,,,,,
player,201612110oti,den,ThomDe03,pass_sacked,0,,,,,
player,201612110oti,den,ThomDe03,pass_sacked_yds,0,,,,,
player,201612110oti,den,ThomDe03,pass_long,0,,,,,
player,201612110oti,den,ThomDe03,pass_rating,,,,,,
