game,2016,17,20170101,201701010det,gnb,"Green Bay Packers",31,det,"Detroit Lions",24
team,201701010det,gnb,First Downs,28,,,,,,
team,201701010det,det,First Downs,24,,,,,,
team,201701010det,gnb,Rush-Yds-TDs,31-153-0,,,,,,
team,201701010det,det,Rush-Yds-TDs,21-76-1,,,,,,
team,201701010det,gnb,Cmp-Att-Yd-TD-INT,27-39-300-4-0,,,,,,
team,201701010det,det,Cmp-Att-Yd-TD-INT,26-41-347-2-1,,,,,,
team,201701010det,gnb,Sacked-Yards,1-5,,,,,,
team,201701010det,det,Sacked-Yards,2-15,,,,,,
team,201701010det,gnb,Net Pass Yards,295,,,,,,
team,201701010det,det,Net Pass Yards,332,,,,,,
team,201701010det,gnb,Total Yards,448,,,,,,
team,201701010det,det,Total Yards,408,,,,,,
team,201701010det,gnb,Fumbles-Lost,0-0,,,,,,
team,201701010det,det,Fumbles-Lost,0-0,,,,,,
team,201701010det,gnb,Turnovers,0,,,,,,
team,201701010det,det,Turnovers,1,,,,,,
team,201701010det,gnb,Penalties-Yards,10-75,,,,,,
team,201701010det,det,Penalties-Yards,5-30,,,,,,
team,201701010det,gnb,Third Down Conv.,7-13,,,,,,
team,201701010det,det,Third Down Conv.,5-12,,,,,,
team,201701010det,gnb,Fourth Down Conv.,0-0,,,,,,
team,201701010det,det,Fourth Down Conv.,0-0,,,,,,
team,201701010det,gnb,Time of Possession,34:09,,,,,,
team,201701010det,det,Time of Possession,25:51,,,,,,
player,201701010det,gnb,RodgAa00,pass_cmp,27,,,,,
player,201701010det,gnb,RodgAa00,pass_att,39,,,,,
player,201701010det,gnb,RodgAa00,pass_yds,300,,,,,
player,201701010det,gnb,RodgAa00,pass_td,4,,,,,
player,201701010det,gnb,RodgAa00,pass_int,0,,,,,
player,201701010det,gnb,RodgAa00,pass_sacked,1,,,,,
player,201701010det,gnb,RodgAa00,pass_sacked_yds,5,,,,,
player,201701010det,gnb,RodgAa00,pass_long,39,,,,,
player,201701010det,gnb,RodgAa00,pass_rating,126.0,,,,,
player,201701010det,gnb,RodgAa00,rush_att,10,,,,,
player,201701010det,gnb,RodgAa00,rush_yds,42,,,,,
player,201701010det,gnb,RodgAa00,rush_td,0,,,,,
player,201701010det,gnb,RodgAa00,rush_long,13,,,,,
player,201701010det,gnb,RodgAa00,targets,0,,,,,
player,201701010det,gnb,RodgAa00,rec,0,,,,,
player,201701010det,gnb,RodgAa00,rec_yds,0,,,,,
player,201701010det,gnb,RodgAa00,rec_td,0,,,,,
player,201701010det,gnb,RodgAa00,rec_long,0,,,,,
player,201701010det,gnb,RodgAa00,fumbles,0,,,,,
player,201701010det,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201701010det,gnb,RipkAa00,pass_cmp,0,,,,,
player,201701010det,gnb,RipkAa00,pass_att,0,,,,,
player,201701010det,gnb,RipkAa00,pass_yds,0,,,,,
player,201701010det,gnb,RipkAa00,pass_td,0,,,,,
player,201701010det,gnb,RipkAa00,pass_int,0,,,,,
player,201701010det,gnb,RipkAa00,pass_sacked,0,,,,,
player,201701010det,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201701010det,gnb,RipkAa00,pass_long,0,,,,,
player,201701010det,gnb,RipkAa00,pass_rating,,,,,,
player,201701010det,gnb,RipkAa00,rush_att,9,,,,,
player,201701010det,gnb,RipkAa00,rush_yds,61,,,,,
player,201701010det,gnb,RipkAa00,rush_td,0,,,,,
player,201701010det,gnb,RipkAa00,rush_long,15,,,,,
player,201701010det,gnb,RipkAa00,targets,2,,,,,
player,201701010det,gnb,RipkAa00,rec,2,,,,,
player,201701010det,gnb,RipkAa00,rec_yds,15,,,,,
player,201701010det,gnb,RipkAa00,rec_td,1,,,,,
player,201701010det,gnb,RipkAa00,rec_long,8,,,,,
player,201701010det,gnb,RipkAa00,fumbles,0,,,,,
player,201701010det,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201701010det,gnb,MontTy01,pass_cmp,0,,,,,
player,201701010det,gnb,MontTy01,pass_att,0,,,,,
player,201701010det,gnb,MontTy01,pass_yds,0,,,,,
player,201701010det,gnb,MontTy01,pass_td,0,,,,,
player,201701010det,gnb,MontTy01,pass_int,0,,,,,
player,201701010det,gnb,MontTy01,pass_sacked,0,,,,,
player,201701010det,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201701010det,gnb,MontTy01,pass_long,0,,,,,
player,201701010det,gnb,MontTy01,pass_rating,,,,,,
player,201701010det,gnb,MontTy01,rush_att,8,,,,,
player,201701010det,gnb,MontTy01,rush_yds,44,,,,,
player,201701010det,gnb,MontTy01,rush_td,0,,,,,
player,201701010det,gnb,MontTy01,rush_long,11,,,,,
player,201701010det,gnb,MontTy01,targets,5,,,,,
player,201701010det,gnb,MontTy01,rec,3,,,,,
player,201701010det,gnb,MontTy01,rec_yds,17,,,,,
player,201701010det,gnb,MontTy01,rec_td,0,,,,,
player,201701010det,gnb,MontTy01,rec_long,9,,,,,
player,201701010det,gnb,MontTy01,fumbles,0,,,,,
player,201701010det,gnb,MontTy01,fumbles_lost,0,,,,,
player,201701010det,gnb,MichCh00,pass_cmp,0,,,,,
player,201701010det,gnb,MichCh00,pass_att,0,,,,,
player,201701010det,gnb,MichCh00,pass_yds,0,,,,,
player,201701010det,gnb,MichCh00,pass_td,0,,,,,
player,201701010det,gnb,MichCh00,pass_int,0,,,,,
player,201701010det,gnb,MichCh00,pass_sacked,0,,,,,
player,201701010det,gnb,MichCh00,pass_sacked_yds,0,,,,,
player,201701010det,gnb,MichCh00,pass_long,0,,,,,
player,201701010det,gnb,MichCh00,pass_rating,,,,,,
player,201701010det,gnb,MichCh00,rush_att,3,,,,,
player,201701010det,gnb,MichCh00,rush_yds,6,,,,,
player,201701010det,gnb,MichCh00,rush_td,0,,,,,
player,201701010det,gnb,MichCh00,rush_long,4,,,,,
player,201701010det,gnb,MichCh00,targets,2,,,,,
player,201701010det,gnb,MichCh00,rec,1,,,,,
player,201701010det,gnb,MichCh00,rec_yds,10,,,,,
player,201701010det,gnb,MichCh00,rec_td,0,,,,,
player,201701010det,gnb,MichCh00,rec_long,10,,,,,
player,201701010det,gnb,MichCh00,fumbles,0,,,,,
player,201701010det,gnb,MichCh00,fumbles_lost,0,,,,,
player,201701010det,gnb,AlliGe01,pass_cmp,0,,,,,
player,201701010det,gnb,AlliGe01,pass_att,0,,,,,
player,201701010det,gnb,AlliGe01,pass_yds,0,,,,,
player,201701010det,gnb,AlliGe01,pass_td,0,,,,,
player,201701010det,gnb,AlliGe01,pass_int,0,,,,,
player,201701010det,gnb,AlliGe01,pass_sacked,0,,,,,
player,201701010det,gnb,AlliGe01,pass_sacked_yds,0,,,,,
player,201701010det,gnb,AlliGe01,pass_long,0,,,,,
player,201701010det,gnb,AlliGe01,pass_rating,,,,,,
player,201701010det,gnb,AlliGe01,rush_att,0,,,,,
player,201701010det,gnb,AlliGe01,rush_yds,0,,,,,
player,201701010det,gnb,AlliGe01,rush_td,0,,,,,
player,201701010det,gnb,AlliGe01,rush_long,0,,,,,
player,201701010det,gnb,AlliGe01,targets,6,,,,,
player,201701010det,gnb,AlliGe01,rec,4,,,,,
player,201701010det,gnb,AlliGe01,rec_yds,91,,,,,
player,201701010det,gnb,AlliGe01,rec_td,1,,,,,
player,201701010det,gnb,AlliGe01,rec_long,39,,,,,
player,201701010det,gnb,AlliGe01,fumbles,0,,,,,
player,201701010det,gnb,AlliGe01,fumbles_lost,0,,,,,
player,201701010det,gnb,NelsJo00,pass_cmp,0,,,,,
player,201701010det,gnb,NelsJo00,pass_att,0,,,,,
player,201701010det,gnb,NelsJo00,pass_yds,0,,,,,
player,201701010det,gnb,NelsJo00,pass_td,0,,,,,
player,201701010det,gnb,NelsJo00,pass_int,0,,,,,
player,201701010det,gnb,NelsJo00,pass_sacked,0,,,,,
player,201701010det,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201701010det,gnb,NelsJo00,pass_long,0,,,,,
player,201701010det,gnb,NelsJo00,pass_rating,,,,,,
player,201701010det,gnb,NelsJo00,rush_att,0,,,,,
player,201701010det,gnb,NelsJo00,rush_yds,0,,,,,
player,201701010det,gnb,NelsJo00,rush_td,0,,,,,
player,201701010det,gnb,NelsJo00,rush_long,0,,,,,
player,201701010det,gnb,NelsJo00,targets,6,,,,,
player,201701010det,gnb,NelsJo00,rec,6,,,,,
player,201701010det,gnb,NelsJo00,rec_yds,66,,,,,
player,201701010det,gnb,NelsJo00,rec_td,0,,,,,
player,201701010det,gnb,NelsJo00,rec_long,20,,,,,
player,201701010det,gnb,NelsJo00,fumbles,0,,,,,
player,201701010det,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201701010det,gnb,CookJa02,pass_cmp,0,,,,,
player,201701010det,gnb,CookJa02,pass_att,0,,,,,
player,201701010det,gnb,CookJa02,pass_yds,0,,,,,
player,201701010det,gnb,CookJa02,pass_td,0,,,,,
player,201701010det,gnb,CookJa02,pass_int,0,,,,,
player,201701010det,gnb,CookJa02,pass_sacked,0,,,,,
player,201701010det,gnb,CookJa02,pass_sacked_yds,0,,,,,
player,201701010det,gnb,CookJa02,pass_long,0,,,,,
player,201701010det,gnb,CookJa02,pass_rating,,,,,,
player,201701010det,gnb,CookJa02,rush_att,0,,,,,
player,201701010det,gnb,CookJa02,rush_yds,0,,,,,
player,201701010det,gnb,CookJa02,rush_td,0,,,,,
player,201701010det,gnb,CookJa02,rush_long,0,,,,,
player,201701010det,gnb,CookJa02,targets,8,,,,,
player,201701010det,gnb,CookJa02,rec,4,,,,,
player,201701010det,gnb,CookJa02,rec_yds,56,,,,,
player,201701010det,gnb,CookJa02,rec_td,0,,,,,
player,201701010det,gnb,CookJa02,rec_long,24,,,,,
player,201701010det,gnb,CookJa02,fumbles,0,,,,,
player,201701010det,gnb,CookJa02,fumbles_lost,0,,,,,
player,201701010det,gnb,AdamDa01,pass_cmp,0,,,,,
player,201701010det,gnb,AdamDa01,pass_att,0,,,,,
player,201701010det,gnb,AdamDa01,pass_yds,0,,,,,
player,201701010det,gnb,AdamDa01,pass_td,0,,,,,
player,201701010det,gnb,AdamDa01,pass_int,0,,,,,
player,201701010det,gnb,AdamDa01,pass_sacked,0,,,,,
player,201701010det,gnb,AdamDa01,pass_sacked_yds,0,,,,,
player,201701010det,gnb,AdamDa01,pass_long,0,,,,,
player,201701010det,gnb,AdamDa01,pass_rating,,,,,,
player,201701010det,gnb,AdamDa01,rush_att,0,,,,,
player,201701010det,gnb,AdamDa01,rush_yds,0,,,,,
player,201701010det,gnb,AdamDa01,rush_td,0,,,,,
player,201701010det,gnb,AdamDa01,rush_long,0,,,,,
player,201701010det,gnb,AdamDa01,targets,9,,,,,
player,201701010det,gnb,AdamDa01,rec,6,,,,,
player,201701010det,gnb,AdamDa01,rec_yds,31,,,,,
player,201701010det,gnb,AdamDa01,rec_td,2,,,,,
player,201701010det,gnb,AdamDa01,rec_long,9,,,,,
player,201701010det,gnb,AdamDa01,fumbles,0,,,,,
player,201701010det,gnb,AdamDa01,fumbles_lost,0,,,,,
player,201701010det,gnb,RodgRi00,pass_cmp,0,,,,,
player,201701010det,gnb,RodgRi00,pass_att,0,,,,,
player,201701010det,gnb,RodgRi00,pass_yds,0,,,,,
player,201701010det,gnb,RodgRi00,pass_td,0,,,,,
player,201701010det,gnb,RodgRi00,pass_int,0,,,,,
player,201701010det,gnb,RodgRi00,pass_sacked,0,,,,,
player,201701010det,gnb,RodgRi00,pass_sacked_yds,0,,,,,
player,201701010det,gnb,RodgRi00,pass_long,0,,,,,
player,201701010det,gnb,RodgRi00,pass_rating,,,,,,
player,201701010det,gnb,RodgRi00,rush_att,0,,,,,
player,201701010det,gnb,RodgRi00,rush_yds,0,,,,,
player,201701010det,gnb,RodgRi00,rush_td,0,,,,,
player,201701010det,gnb,RodgRi00,rush_long,0,,,,,
player,201701010det,gnb,RodgRi00,targets,1,,,,,
player,201701010det,gnb,RodgRi00,rec,1,,,,,
player,201701010det,gnb,RodgRi00,rec_yds,14,,,,,
player,201701010det,gnb,RodgRi00,rec_td,0,,,,,
player,201701010det,gnb,RodgRi00,rec_long,14,,,,,
player,201701010det,gnb,RodgRi00,fumbles,0,,,,,
player,201701010det,gnb,RodgRi00,fumbles_lost,0,,,,,
player,201701010det,gnb,KerrJo00,pass_cmp,0,,,,,
player,201701010det,gnb,KerrJo00,pass_att,0,,,,,
player,201701010det,gnb,KerrJo00,pass_yds,0,,,,,
player,201701010det,gnb,KerrJo00,pass_td,0,,,,,
player,201701010det,gnb,KerrJo00,pass_int,0,,,,,
player,201701010det,gnb,KerrJo00,pass_sacked,0,,,,,
player,201701010det,gnb,KerrJo00,pass_sacked_yds,0,,,,,
player,201701010det,gnb,KerrJo00,pass_long,0,,,,,
player,201701010det,gnb,KerrJo00,pass_rating,,,,,,
player,201701010det,gnb,KerrJo00,rush_att,1,,,,,
player,201701010det,gnb,KerrJo00,rush_yds,0,,,,,
player,201701010det,gnb,KerrJo00,rush_td,0,,,,,
player,201701010det,gnb,KerrJo00,rush_long,0,,,,,
player,201701010det,gnb,KerrJo00,targets,0,,,,,
player,201701010det,gnb,KerrJo00,rec,0,,,,,
player,201701010det,gnb,KerrJo00,rec_yds,0,,,,,
player,201701010det,gnb,KerrJo00,rec_td,0,,,,,
player,201701010det,gnb,KerrJo00,rec_long,0,,,,,
player,201701010det,gnb,KerrJo00,fumbles,0,,,,,
player,201701010det,gnb,KerrJo00,fumbles_lost,0,,,,,
player,201701010det,det,StafMa00,pass_cmp,26,,,,,
player,201701010det,det,StafMa00,pass_att,41,,,,,
player,201701010det,det,StafMa00,pass_yds,347,,,,,
player,201701010det,det,StafMa00,pass_td,2,,,,,
player,201701010det,det,StafMa00,pass_int,1,,,,,
player,201701010det,det,StafMa00,pass_sacked,2,,,,,
player,201701010det,det,StafMa00,pass_sacked_yds,15,,,,,
player,201701010det,det,StafMa00,pass_long,35,,,,,
player,201701010det,det,StafMa00,pass_rating,96.3,,,,,
player,201701010det,det,StafMa00,rush_att,0,,,,,
player,201701010det,det,StafMa00,rush_yds,0,,,,,
player,201701010det,det,StafMa00,rush_td,0,,,,,
player,201701010det,det,StafMa00,rush_long,0,,,,,
player,201701010det,det,StafMa00,targets,0,,,,,
player,201701010det,det,StafMa00,rec,0,,,,,
player,201701010det,det,StafMa00,rec_yds,0,,,,,
player,201701010det,det,StafMa00,rec_td,0,,,,,
player,201701010det,det,StafMa00,rec_long,0,,,,,
player,201701010det,det,StafMa00,fumbles,0,,,,,
player,201701010det,det,StafMa00,fumbles_lost,0,,,,,
player,201701010det,det,ZennZa00,pass_cmp,0,,,,,
player,201701010det,det,ZennZa00,pass_att,0,,,,,
player,201701010det,det,ZennZa00,pass_yds,0,,,,,
player,201701010det,det,ZennZa00,pass_td,0,,,,,
player,201701010det,det,ZennZa00,pass_int,0,,,,,
player,201701010det,det,ZennZa00,pass_sacked,0,,,,,
player,201701010det,det,ZennZa00,pass_sacked_yds,0,,,,,
player,201701010det,det,ZennZa00,pass_long,0,,,,,
player,201701010det,det,ZennZa00,pass_rating,,,,,,
player,201701010det,det,ZennZa00,rush_att,20,,,,,
player,201701010det,det,ZennZa00,rush_yds,69,,,,,
player,201701010det,det,ZennZa00,rush_td,1,,,,,
player,201701010det,det,ZennZa00,rush_long,15,,,,,
player,201701010det,det,ZennZa00,targets,5,,,,,
player,201701010det,det,ZennZa00,rec,4,,,,,
player,201701010det,det,ZennZa00,rec_yds,41,,,,,
player,201701010det,det,ZennZa00,rec_td,0,,,,,
player,201701010det,det,ZennZa00,rec_long,16,,,,,
player,201701010det,det,ZennZa00,fumbles,0,,,,,
player,201701010det,det,ZennZa00,fumbles_lost,0,,,,,
player,201701010det,det,TateGo00,pass_cmp,0,,,,,
player,201701010det,det,TateGo00,pass_att,0,,,,,
player,201701010det,det,TateGo00,pass_yds,0,,,,,
player,201701010det,det,TateGo00,pass_td,0,,,,,
player,201701010det,det,TateGo00,pass_int,0,,,,,
player,201701010det,det,TateGo00,pass_sacked,0,,,,,
player,201701010det,det,TateGo00,pass_sacked_yds,0,,,,,
player,201701010det,det,TateGo00,pass_long,0,,,,,
player,201701010det,det,TateGo00,pass_rating,,,,,,
player,201701010det,det,TateGo00,rush_att,1,,,,,
player,201701010det,det,TateGo00,rush_yds,7,,,,,
player,201701010det,det,TateGo00,rush_td,0,,,,,
player,201701010det,det,TateGo00,rush_long,7,,,,,
player,201701010det,det,TateGo00,targets,10,,,,,
player,201701010det,det,TateGo00,rec,6,,,,,
player,201701010det,det,TateGo00,rec_yds,77,,,,,
player,201701010det,det,TateGo00,rec_td,1,,,,,
player,201701010det,det,TateGo00,rec_long,24,,,,,
player,201701010det,det,TateGo00,fumbles,0,,,,,
player,201701010det,det,TateGo00,fumbles_lost,0,,,,,
player,201701010det,det,JoneMa02,pass_cmp,0,,,,,
player,201701010det,det,JoneMa02,pass_att,0,,,,,
player,201701010det,det,JoneMa02,pass_yds,0,,,,,
player,201701010det,det,JoneMa02,pass_td,0,,,,,
player,201701010det,det,JoneMa02,pass_int,0,,,,,
player,201701010det,det,JoneMa02,pass_sacked,0,,,,,
player,201701010det,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201701010det,det,JoneMa02,pass_long,0,,,,,
player,201701010det,det,JoneMa02,pass_rating,,,,,,
player,201701010det,det,JoneMa02,rush_att,0,,,,,
player,201701010det,det,JoneMa02,rush_yds,0,,,,,
player,201701010det,det,JoneMa02,rush_td,0,,,,,
player,201701010det,det,JoneMa02,rush_long,0,,,,,
player,201701010det,det,JoneMa02,targets,9,,,,,
player,201701010det,det,JoneMa02,rec,5,,,,,
player,201701010det,det,JoneMa02,rec_yds,76,,,,,
player,201701010det,det,JoneMa02,rec_td,0,,,,,
player,201701010det,det,JoneMa02,rec_long,30,,,,,
player,201701010det,det,JoneMa02,fumbles,0,,,,,
player,201701010det,det,JoneMa02,fumbles_lost,0,,,,,
player,201701010det,det,EbroEr00,pass_cmp,0,,,,,
player,201701010det,det,EbroEr00,pass_att,0,,,,,
player,201701010det,det,EbroEr00,pass_yds,0,,,,,
player,201701010det,det,EbroEr00,pass_td,0,,,,,
player,201701010det,det,EbroEr00,pass_int,0,,,,,
