game,2016,1,20160911,201609110kan,sdg,"San Diego Chargers",27,kan,"Kansas City Chiefs",33
team,201609110kan,sdg,First Downs,25,,,,,,
team,201609110kan,kan,First Downs,26,,,,,,
team,201609110kan,sdg,Rush-Yds-TDs,32-155-2,,,,,,
team,201609110kan,kan,Rush-Yds-TDs,19-83-2,,,,,,
team,201609110kan,sdg,Cmp-Att-Yd-TD-INT,25-36-243-1-0,,,,,,
team,201609110kan,kan,Cmp-Att-Yd-TD-INT,34-48-363-2-1,,,,,,
team,201609110kan,sdg,Sacked-Yards,1-10,,,,,,
team,201609110kan,kan,Sacked-Yards,3-33,,,,,,
team,201609110kan,sdg,Net Pass Yards,233,,,,,,
team,201609110kan,kan,Net Pass Yards,330,,,,,,
team,201609110kan,sdg,Total Yards,388,,,,,,
team,201609110kan,kan,Total Yards,413,,,,,,
team,201609110kan,sdg,Fumbles-Lost,0-0,,,,,,
team,201609110kan,kan,Fumbles-Lost,0-0,,,,,,
team,201609110kan,sdg,Turnovers,0,,,,,,
team,201609110kan,kan,Turnovers,1,,,,,,
team,201609110kan,sdg,Penalties-Yards,5-30,,,,,,
team,201609110kan,kan,Penalties-Yards,6-46,,,,,,
team,201609110kan,sdg,Third Down Conv.,7-15,,,,,,
team,201609110kan,kan,Third Down Conv.,5-14,,,,,,
team,201609110kan,sdg,Fourth Down Conv.,0-0,,,,,,
team,201609110kan,kan,Fourth Down Conv.,2-2,,,,,,
team,201609110kan,sdg,Time of Possession,34:01,,,,,,
team,201609110kan,kan,Time of Possession,31:06,,,,,,
player,201609110kan,sdg,RivePh00,pass_cmp,25,,,,,
player,201609110kan,sdg,RivePh00,pass_att,36,,,,,
player,201609110kan,sdg,RivePh00,pass_yds,243,,,,,
player,201609110kan,sdg,RivePh00,pass_td,1,,,,,
player,201609110kan,sdg,RivePh00,pass_int,0,,,,,
player,201609110kan,sdg,RivePh00,pass_sacked,1,,,,,
player,201609110kan,sdg,RivePh00,pass_sacked_yds,10,,,,,
player,201609110kan,sdg,RivePh00,pass_long,38,,,,,
player,201609110kan,sdg,RivePh00,pass_rating,97.3,,,,,
player,201609110kan,sdg,RivePh00,rush_att,2,,,,,
player,201609110kan,sdg,RivePh00,rush_yds,9,,,,,
player,201609110kan,sdg,RivePh00,rush_td,0,,,,,
player,201609110kan,sdg,RivePh00,rush_long,10,,,,,
player,201609110kan,sdg,RivePh00,targets,0,,,,,
player,201609110kan,sdg,RivePh00,rec,0,,,,,
player,201609110kan,sdg,RivePh00,rec_yds,0,,,,,
player,201609110kan,sdg,RivePh00,rec_td,0,,,,,
player,201609110kan,sdg,RivePh00,rec_long,0,,,,,
player,201609110kan,sdg,RivePh00,fumbles,0,,,,,
player,201609110kan,sdg,RivePh00,fumbles_lost,0,,,,,
player,201609110kan,sdg,WoodDa02,pass_cmp,0,,,,,
player,201609110kan,sdg,WoodDa02,pass_att,0,,,,,
player,201609110kan,sdg,WoodDa02,pass_yds,0,,,,,
player,201609110kan,sdg,WoodDa02,pass_td,0,,,,,
player,201609110kan,sdg,WoodDa02,pass_int,0,,,,,
