game,2016,16,20161224,201612240ram,sfo,"San Francisco 49ers",22,ram,"Los Angeles Rams",21
team,201612240ram,sfo,First Downs,21,,,,,,
team,201612240ram,ram,First Downs,13,,,,,,
team,201612240ram,sfo,Rush-Yds-TDs,29-70-1,,,,,,
team,201612240ram,ram,Rush-Yds-TDs,29-99-2,,,,,,
team,201612240ram,sfo,Cmp-Att-Yd-TD-INT,28-37-266-2-1,,,,,,
team,201612240ram,ram,Cmp-Att-Yd-TD-INT,11-24-90-1-2,,,,,,
team,201612240ram,sfo,Sacked-Yards,4-13,,,,,,
team,201612240ram,ram,Sacked-Yards,4-12,,,,,,
team,201612240ram,sfo,Net Pass Yards,253,,,,,,
team,201612240ram,ram,Net Pass Yards,78,,,,,,
team,201612240ram,sfo,Total Yards,323,,,,,,
team,201612240ram,ram,Total Yards,177,,,,,,
team,201612240ram,sfo,Fumbles-Lost,2-1,,,,,,
team,201612240ram,ram,Fumbles-Lost,2-0,,,,,,
team,201612240ram,sfo,Turnovers,2,,,,,,
team,201612240ram,ram,Turnovers,2,,,,,,
team,201612240ram,sfo,Penalties-Yards,11-100,,,,,,
team,201612240ram,ram,Penalties-Yards,5-45,,,,,,
team,201612240ram,sfo,Third Down Conv.,6-16,,,,,,
team,201612240ram,ram,Third Down Conv.,4-13,,,,,,
team,201612240ram,sfo,Fourth Down Conv.,1-1,,,,,,
team,201612240ram,ram,Fourth Down Conv.,1-1,,,,,,
team,201612240ram,sfo,Time of Possession,31:03,,,,,,
team,201612240ram,ram,Time of Possession,28:57,,,,,,
player,201612240ram,sfo,KaepCo00,pass_cmp,28,,,,,
player,201612240ram,sfo,KaepCo00,pass_att,37,,,,,
player,201612240ram,sfo,KaepCo00,pass_yds,266,,,,,
player,201612240ram,sfo,KaepCo00,pass_td,2,,,,,
player,201612240ram,sfo,KaepCo00,pass_int,1,,,,,
player,201612240ram,sfo,KaepCo00,pass_sacked,4,,,,,
player,201612240ram,sfo,KaepCo00,pass_sacked_yds,13,,,,,
player,201612240ram,sfo,KaepCo00,pass_long,21,,,,,
player,201612240ram,sfo,KaepCo00,pass_rating,101.9,,,,,
player,201612240ram,sfo,KaepCo00,rush_att,6,,,,,
player,201612240ram,sfo,KaepCo00,rush_yds,15,,,,,
player,201612240ram,sfo,KaepCo00,rush_td,1,,,,,
player,201612240ram,sfo,KaepCo00,rush_long,13,,,,,
player,201612240ram,sfo,KaepCo00,targets,0,,,,,
player,201612240ram,sfo,KaepCo00,rec,0,,,,,
player,201612240ram,sfo,KaepCo00,rec_yds,0,,,,,
player,201612240ram,sfo,KaepCo00,rec_td,0,,,,,
player,201612240ram,sfo,KaepCo00,rec_long,0,,,,,
player,201612240ram,sfo,KaepCo00,fumbles,0,,,,,
player,201612240ram,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_cmp,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_att,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_yds,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_td,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_int,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_sacked,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_long,0,,,,,
player,201612240ram,sfo,HydeCa00,pass_rating,,,,,,
player,201612240ram,sfo,HydeCa00,rush_att,13,,,,,
player,201612240ram,sfo,HydeCa00,rush_yds,38,,,,,
player,201612240ram,sfo,HydeCa00,rush_td,0,,,,,
player,201612240ram,sfo,HydeCa00,rush_long,14,,,,,
player,201612240ram,sfo,HydeCa00,targets,3,,,,,
player,201612240ram,sfo,HydeCa00,rec,3,,,,,
player,201612240ram,sfo,HydeCa00,rec_yds,24,,,,,
player,201612240ram,sfo,HydeCa00,rec_td,1,,,,,
player,201612240ram,sfo,HydeCa00,rec_long,19,,,,,
player,201612240ram,sfo,HydeCa00,fumbles,2,,,,,
player,201612240ram,sfo,HydeCa00,fumbles_lost,1,,,,,
player,201612240ram,sfo,DrauSh00,pass_cmp,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_att,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_yds,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_td,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_int,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_sacked,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_long,0,,,,,
player,201612240ram,sfo,DrauSh00,pass_rating,,,,,,
player,201612240ram,sfo,DrauSh00,rush_att,10,,,,,
player,201612240ram,sfo,DrauSh00,rush_yds,17,,,,,
player,201612240ram,sfo,DrauSh00,rush_td,0,,,,,
player,201612240ram,sfo,DrauSh00,rush_long,3,,,,,
player,201612240ram,sfo,DrauSh00,targets,7,,,,,
player,201612240ram,sfo,DrauSh00,rec,6,,,,,
player,201612240ram,sfo,DrauSh00,rec_yds,48,,,,,
player,201612240ram,sfo,DrauSh00,rec_td,0,,,,,
player,201612240ram,sfo,DrauSh00,rec_long,11,,,,,
player,201612240ram,sfo,DrauSh00,fumbles,0,,,,,
player,201612240ram,sfo,DrauSh00,fumbles_lost,0,,,,,
player,201612240ram,sfo,StreRo00,pass_cmp,0,,,,,
player,201612240ram,sfo,StreRo00,pass_att,0,,,,,
player,201612240ram,sfo,StreRo00,pass_yds,0,,,,,
player,201612240ram,sfo,StreRo00,pass_td,0,,,,,
player,201612240ram,sfo,StreRo00,pass_int,0,,,,,
player,201612240ram,sfo,StreRo00,pass_sacked,0,,,,,
player,201612240ram,sfo,StreRo00,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,StreRo00,pass_long,0,,,,,
player,201612240ram,sfo,StreRo00,pass_rating,,,,,,
player,201612240ram,sfo,StreRo00,rush_att,0,,,,,
player,201612240ram,sfo,StreRo00,rush_yds,0,,,,,
player,201612240ram,sfo,StreRo00,rush_td,0,,,,,
player,201612240ram,sfo,StreRo00,rush_long,0,,,,,
player,201612240ram,sfo,StreRo00,targets,7,,,,,
player,201612240ram,sfo,StreRo00,rec,6,,,,,
player,201612240ram,sfo,StreRo00,rec_yds,63,,,,,
player,201612240ram,sfo,StreRo00,rec_td,1,,,,,
player,201612240ram,sfo,StreRo00,rec_long,17,,,,,
player,201612240ram,sfo,StreRo00,fumbles,0,,,,,
player,201612240ram,sfo,StreRo00,fumbles_lost,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_cmp,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_att,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_yds,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_td,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_int,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_sacked,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_long,0,,,,,
player,201612240ram,sfo,KerlJe00,pass_rating,,,,,,
player,201612240ram,sfo,KerlJe00,rush_att,0,,,,,
player,201612240ram,sfo,KerlJe00,rush_yds,0,,,,,
player,201612240ram,sfo,KerlJe00,rush_td,0,,,,,
player,201612240ram,sfo,KerlJe00,rush_long,0,,,,,
player,201612240ram,sfo,KerlJe00,targets,8,,,,,
player,201612240ram,sfo,KerlJe00,rec,5,,,,,
player,201612240ram,sfo,KerlJe00,rec_yds,62,,,,,
player,201612240ram,sfo,KerlJe00,rec_td,0,,,,,
player,201612240ram,sfo,KerlJe00,rec_long,21,,,,,
player,201612240ram,sfo,KerlJe00,fumbles,0,,,,,
player,201612240ram,sfo,KerlJe00,fumbles_lost,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_cmp,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_att,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_yds,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_td,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_int,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_sacked,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_long,0,,,,,
player,201612240ram,sfo,CeleGa00,pass_rating,,,,,,
player,201612240ram,sfo,CeleGa00,rush_att,0,,,,,
player,201612240ram,sfo,CeleGa00,rush_yds,0,,,,,
player,201612240ram,sfo,CeleGa00,rush_td,0,,,,,
player,201612240ram,sfo,CeleGa00,rush_long,0,,,,,
player,201612240ram,sfo,CeleGa00,targets,7,,,,,
player,201612240ram,sfo,CeleGa00,rec,4,,,,,
player,201612240ram,sfo,CeleGa00,rec_yds,39,,,,,
player,201612240ram,sfo,CeleGa00,rec_td,0,,,,,
player,201612240ram,sfo,CeleGa00,rec_long,12,,,,,
player,201612240ram,sfo,CeleGa00,fumbles,0,,,,,
player,201612240ram,sfo,CeleGa00,fumbles_lost,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_cmp,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_att,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_yds,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_td,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_int,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_sacked,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_long,0,,,,,
player,201612240ram,sfo,BurbAa00,pass_rating,,,,,,
player,201612240ram,sfo,BurbAa00,rush_att,0,,,,,
player,201612240ram,sfo,BurbAa00,rush_yds,0,,,,,
player,201612240ram,sfo,BurbAa00,rush_td,0,,,,,
player,201612240ram,sfo,BurbAa00,rush_long,0,,,,,
player,201612240ram,sfo,BurbAa00,targets,3,,,,,
player,201612240ram,sfo,BurbAa00,rec,2,,,,,
player,201612240ram,sfo,BurbAa00,rec_yds,15,,,,,
player,201612240ram,sfo,BurbAa00,rec_td,0,,,,,
player,201612240ram,sfo,BurbAa00,rec_long,13,,,,,
player,201612240ram,sfo,BurbAa00,fumbles,0,,,,,
player,201612240ram,sfo,BurbAa00,fumbles_lost,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_cmp,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_att,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_yds,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_td,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_int,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_sacked,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_long,0,,,,,
player,201612240ram,sfo,HarrDu01,pass_rating,,,,,,
player,201612240ram,sfo,HarrDu01,rush_att,0,,,,,
player,201612240ram,sfo,HarrDu01,rush_yds,0,,,,,
player,201612240ram,sfo,HarrDu01,rush_td,0,,,,,
player,201612240ram,sfo,HarrDu01,rush_long,0,,,,,
player,201612240ram,sfo,HarrDu01,targets,1,,,,,
player,201612240ram,sfo,HarrDu01,rec,1,,,,,
player,201612240ram,sfo,HarrDu01,rec_yds,14,,,,,
player,201612240ram,sfo,HarrDu01,rec_td,0,,,,,
player,201612240ram,sfo,HarrDu01,rec_long,14,,,,,
player,201612240ram,sfo,HarrDu01,fumbles,0,,,,,
player,201612240ram,sfo,HarrDu01,fumbles_lost,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_cmp,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_att,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_yds,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_td,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_int,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_sacked,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_sacked_yds,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_long,0,,,,,
player,201612240ram,sfo,HarpCh01,pass_rating,,,,,,
player,201612240ram,sfo,HarpCh01,rush_att,0,,,,,
player,201612240ram,sfo,HarpCh01,rush_yds,0,,,,,
player,201612240ram,sfo,HarpCh01,rush_td,0,,,,,
player,201612240ram,sfo,HarpCh01,rush_long,0,,,,,
player,201612240ram,sfo,HarpCh01,targets,1,,,,,
player,201612240ram,sfo,HarpCh01,rec,1,,,,,
player,201612240ram,sfo,HarpCh01,rec_yds,1,,,,,
player,201612240ram,sfo,HarpCh01,rec_td,0,,,,,
player,201612240ram,sfo,HarpCh01,rec_long,1,,,,,
player,201612240ram,sfo,HarpCh01,fumbles,0,,,,,
player,201612240ram,sfo,HarpCh01,fumbles_lost,0,,,,,
player,201612240ram,ram,GoffJa00,pass_cmp,11,,,,,
player,201612240ram,ram,GoffJa00,pass_att,24,,,,,
player,201612240ram,ram,GoffJa00,pass_yds,90,,,,,
player,201612240ram,ram,GoffJa00,pass_td,1,,,,,
player,201612240ram,ram,GoffJa00,pass_int,2,,,,,
player,201612240ram,ram,GoffJa00,pass_sacked,4,,,,,
player,201612240ram,ram,GoffJa00,pass_sacked_yds,12,,,,,
player,201612240ram,ram,GoffJa00,pass_long,24,,,,,
player,201612240ram,ram,GoffJa00,pass_rating,35.1,,,,,
player,201612240ram,ram,GoffJa00,rush_att,2,,,,,
player,201612240ram,ram,GoffJa00,rush_yds,4,,,,,
player,201612240ram,ram,GoffJa00,rush_td,0,,,,,
player,201612240ram,ram,GoffJa00,rush_long,5,,,,,
player,201612240ram,ram,GoffJa00,targets,0,,,,,
player,201612240ram,ram,GoffJa00,rec,0,,,,,
player,201612240ram,ram,GoffJa00,rec_yds,0,,,,,
player,201612240ram,ram,GoffJa00,rec_td,0,,,,,
player,201612240ram,ram,GoffJa00,rec_long,0,,,,,
player,201612240ram,ram,GoffJa00,fumbles,0,,,,,
player,201612240ram,ram,GoffJa00,fumbles_lost,0,,,,,
player,201612240ram,ram,GurlTo01,pass_cmp,0,,,,,
player,201612240ram,ram,GurlTo01,pass_att,0,,,,,
player,201612240ram,ram,GurlTo01,pass_yds,0,,,,,
player,201612240ram,ram,GurlTo01,pass_td,0,,,,,
