game,2016,5,20161009,201610090min,htx,"Houston Texans",13,min,"Minnesota Vikings",31
team,201610090min,htx,First Downs,16,,,,,,
team,201610090min,min,First Downs,22,,,,,,
team,201610090min,htx,Rush-Yds-TDs,14-59-0,,,,,,
team,201610090min,min,Rush-Yds-TDs,37-96-1,,,,,,
team,201610090min,htx,Cmp-Att-Yd-TD-INT,19-42-184-1-1,,,,,,
team,201610090min,min,Cmp-Att-Yd-TD-INT,22-30-271-2-0,,,,,,
team,201610090min,htx,Sacked-Yards,4-29,,,,,,
team,201610090min,min,Sacked-Yards,2-16,,,,,,
team,201610090min,htx,Net Pass Yards,155,,,,,,
team,201610090min,min,Net Pass Yards,255,,,,,,
team,201610090min,htx,Total Yards,214,,,,,,
team,201610090min,min,Total Yards,351,,,,,,
team,201610090min,htx,Fumbles-Lost,1-0,,,,,,
team,201610090min,min,Fumbles-Lost,0-0,,,,,,
team,201610090min,htx,Turnovers,1,,,,,,
team,201610090min,min,Turnovers,0,,,,,,
team,201610090min,htx,Penalties-Yards,4-15,,,,,,
team,201610090min,min,Penalties-Yards,9-97,,,,,,
team,201610090min,htx,Third Down Conv.,1-13,,,,,,
team,201610090min,min,Third Down Conv.,7-14,,,,,,
team,201610090min,htx,Fourth Down Conv.,0-1,,,,,,
team,201610090min,min,Fourth Down Conv.,0-0,,,,,,
team,201610090min,htx,Time of Possession,22:32,,,,,,
team,201610090min,min,Time of Possession,37:28,,,,,,
player,201610090min,htx,OsweBr00,pass_cmp,19,,,,,
player,201610090min,htx,OsweBr00,pass_att,42,,,,,
player,201610090min,htx,OsweBr00,pass_yds,184,,,,,
player,201610090min,htx,OsweBr00,pass_td,1,,,,,
player,201610090min,htx,OsweBr00,pass_int,1,,,,,
player,201610090min,htx,OsweBr00,pass_sacked,4,,,,,
player,201610090min,htx,OsweBr00,pass_sacked_yds,29,,,,,
player,201610090min,htx,OsweBr00,pass_long,25,,,,,
player,201610090min,htx,OsweBr00,pass_rating,56.1,,,,,
player,201610090min,htx,OsweBr00,rush_att,0,,,,,
player,201610090min,htx,OsweBr00,rush_yds,0,,,,,
player,201610090min,htx,OsweBr00,rush_td,0,,,,,
player,201610090min,htx,OsweBr00,rush_long,0,,,,,
player,201610090min,htx,OsweBr00,targets,0,,,,,
player,201610090min,htx,OsweBr00,rec,0,,,,,
player,201610090min,htx,OsweBr00,rec_yds,0,,,,,
player,201610090min,htx,OsweBr00,rec_td,0,,,,,
player,201610090min,htx,OsweBr00,rec_long,0,,,,,
player,201610090min,htx,OsweBr00,fumbles,1,,,,,
player,201610090min,htx,OsweBr00,fumbles_lost,0,,,,,
player,201610090min,htx,BlueAl00,pass_cmp,0,,,,,
player,201610090min,htx,BlueAl00,pass_att,0,,,,,
player,201610090min,htx,BlueAl00,pass_yds,0,,,,,
player,201610090min,htx,BlueAl00,pass_td,0,,,,,
player,201610090min,htx,BlueAl00,pass_int,0,,,,,
player,201610090min,htx,BlueAl00,pass_sacked,0,,,,,
player,201610090min,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201610090min,htx,BlueAl00,pass_long,0,,,,,
player,201610090min,htx,BlueAl00,pass_rating,,,,,,
player,201610090min,htx,BlueAl00,rush_att,6,,,,,
player,201610090min,htx,BlueAl00,rush_yds,39,,,,,
player,201610090min,htx,BlueAl00,rush_td,0,,,,,
player,201610090min,htx,BlueAl00,rush_long,13,,,,,
player,201610090min,htx,BlueAl00,targets,0,,,,,
player,201610090min,htx,BlueAl00,rec,0,,,,,
player,201610090min,htx,BlueAl00,rec_yds,0,,,,,
player,201610090min,htx,BlueAl00,rec_td,0,,,,,
player,201610090min,htx,BlueAl00,rec_long,0,,,,,
player,201610090min,htx,BlueAl00,fumbles,0,,,,,
player,201610090min,htx,BlueAl00,fumbles_lost,0,,,,,
player,201610090min,htx,MillLa01,pass_cmp,0,,,,,
player,201610090min,htx,MillLa01,pass_att,0,,,,,
player,201610090min,htx,MillLa01,pass_yds,0,,,,,
player,201610090min,htx,MillLa01,pass_td,0,,,,,
player,201610090min,htx,MillLa01,pass_int,0,,,,,
player,201610090min,htx,MillLa01,pass_sacked,0,,,,,
player,201610090min,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201610090min,htx,MillLa01,pass_long,0,,,,,
player,201610090min,htx,MillLa01,pass_rating,,,,,,
player,201610090min,htx,MillLa01,rush_att,8,,,,,
player,201610090min,htx,MillLa01,rush_yds,20,,,,,
player,201610090min,htx,MillLa01,rush_td,0,,,,,
player,201610090min,htx,MillLa01,rush_long,4,,,,,
player,201610090min,htx,MillLa01,targets,3,,,,,
player,201610090min,htx,MillLa01,rec,1,,,,,
player,201610090min,htx,MillLa01,rec_yds,4,,,,,
player,201610090min,htx,MillLa01,rec_td,0,,,,,
player,201610090min,htx,MillLa01,rec_long,4,,,,,
player,201610090min,htx,MillLa01,fumbles,0,,,,,
player,201610090min,htx,MillLa01,fumbles_lost,0,,,,,
player,201610090min,htx,FiedC.00,pass_cmp,0,,,,,
player,201610090min,htx,FiedC.00,pass_att,0,,,,,
player,201610090min,htx,FiedC.00,pass_yds,0,,,,,
player,201610090min,htx,FiedC.00,pass_td,0,,,,,
player,201610090min,htx,FiedC.00,pass_int,0,,,,,
player,201610090min,htx,FiedC.00,pass_sacked,0,,,,,
player,201610090min,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201610090min,htx,FiedC.00,pass_long,0,,,,,
player,201610090min,htx,FiedC.00,pass_rating,,,,,,
player,201610090min,htx,FiedC.00,rush_att,0,,,,,
player,201610090min,htx,FiedC.00,rush_yds,0,,,,,
player,201610090min,htx,FiedC.00,rush_td,0,,,,,
player,201610090min,htx,FiedC.00,rush_long,0,,,,,
player,201610090min,htx,FiedC.00,targets,8,,,,,
player,201610090min,htx,FiedC.00,rec,4,,,,,
player,201610090min,htx,FiedC.00,rec_yds,61,,,,,
player,201610090min,htx,FiedC.00,rec_td,0,,,,,
player,201610090min,htx,FiedC.00,rec_long,22,,,,,
player,201610090min,htx,FiedC.00,fumbles,0,,,,,
player,201610090min,htx,FiedC.00,fumbles_lost,0,,,,,
player,201610090min,htx,HopkDe00,pass_cmp,0,,,,,
player,201610090min,htx,HopkDe00,pass_att,0,,,,,
player,201610090min,htx,HopkDe00,pass_yds,0,,,,,
player,201610090min,htx,HopkDe00,pass_td,0,,,,,
player,201610090min,htx,HopkDe00,pass_int,0,,,,,
player,201610090min,htx,HopkDe00,pass_sacked,0,,,,,
player,201610090min,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201610090min,htx,HopkDe00,pass_long,0,,,,,
player,201610090min,htx,HopkDe00,pass_rating,,,,,,
player,201610090min,htx,HopkDe00,rush_att,0,,,,,
player,201610090min,htx,HopkDe00,rush_yds,0,,,,,
player,201610090min,htx,HopkDe00,rush_td,0,,,,,
player,201610090min,htx,HopkDe00,rush_long,0,,,,,
