game,2016,7,20161024,201610240den,htx,"Houston Texans",9,den,"Denver Broncos",27
team,201610240den,htx,First Downs,14,,,,,,
team,201610240den,den,First Downs,19,,,,,,
team,201610240den,htx,Rush-Yds-TDs,25-140-0,,,,,,
team,201610240den,den,Rush-Yds-TDs,35-190-2,,,,,,
team,201610240den,htx,Cmp-Att-Yd-TD-INT,22-41-131-0-0,,,,,,
team,201610240den,den,Cmp-Att-Yd-TD-INT,14-25-157-1-0,,,,,,
team,201610240den,htx,Sacked-Yards,1-0,,,,,,
team,201610240den,den,Sacked-Yards,0-0,,,,,,
team,201610240den,htx,Net Pass Yards,131,,,,,,
team,201610240den,den,Net Pass Yards,157,,,,,,
team,201610240den,htx,Total Yards,271,,,,,,
team,201610240den,den,Total Yards,347,,,,,,
team,201610240den,htx,Fumbles-Lost,4-2,,,,,,
team,201610240den,den,Fumbles-Lost,1-0,,,,,,
team,201610240den,htx,Turnovers,2,,,,,,
team,201610240den,den,Turnovers,0,,,,,,
team,201610240den,htx,Penalties-Yards,2-15,,,,,,
team,201610240den,den,Penalties-Yards,7-83,,,,,,
team,201610240den,htx,Third Down Conv.,7-18,,,,,,
team,201610240den,den,Third Down Conv.,3-11,,,,,,
team,201610240den,htx,Fourth Down Conv.,0-2,,,,,,
team,201610240den,den,Fourth Down Conv.,0-0,,,,,,
team,201610240den,htx,Time of Possession,29:22,,,,,,
team,201610240den,den,Time of Possession,30:38,,,,,,
player,201610240den,htx,OsweBr00,pass_cmp,22,,,,,
player,201610240den,htx,OsweBr00,pass_att,41,,,,,
player,201610240den,htx,OsweBr00,pass_yds,131,,,,,
player,201610240den,htx,OsweBr00,pass_td,0,,,,,
player,201610240den,htx,OsweBr00,pass_int,0,,,,,
player,201610240den,htx,OsweBr00,pass_sacked,1,,,,,
player,201610240den,htx,OsweBr00,pass_sacked_yds,0,,,,,
player,201610240den,htx,OsweBr00,pass_long,13,,,,,
player,201610240den,htx,OsweBr00,pass_rating,60.1,,,,,
player,201610240den,htx,OsweBr00,rush_att,3,,,,,
player,201610240den,htx,OsweBr00,rush_yds,16,,,,,
player,201610240den,htx,OsweBr00,rush_td,0,,,,,
player,201610240den,htx,OsweBr00,rush_long,10,,,,,
player,201610240den,htx,OsweBr00,targets,0,,,,,
player,201610240den,htx,OsweBr00,rec,0,,,,,
player,201610240den,htx,OsweBr00,rec_yds,0,,,,,
player,201610240den,htx,OsweBr00,rec_td,0,,,,,
player,201610240den,htx,OsweBr00,rec_long,0,,,,,
player,201610240den,htx,OsweBr00,fumbles,3,,,,,
player,201610240den,htx,OsweBr00,fumbles_lost,1,,,,,
player,201610240den,htx,BlueAl00,pass_cmp,0,,,,,
player,201610240den,htx,BlueAl00,pass_att,0,,,,,
player,201610240den,htx,BlueAl00,pass_yds,0,,,,,
player,201610240den,htx,BlueAl00,pass_td,0,,,,,
player,201610240den,htx,BlueAl00,pass_int,0,,,,,
player,201610240den,htx,BlueAl00,pass_sacked,0,,,,,
player,201610240den,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201610240den,htx,BlueAl00,pass_long,0,,,,,
player,201610240den,htx,BlueAl00,pass_rating,,,,,,
player,201610240den,htx,BlueAl00,rush_att,11,,,,,
player,201610240den,htx,BlueAl00,rush_yds,63,,,,,
player,201610240den,htx,BlueAl00,rush_td,0,,,,,
player,201610240den,htx,BlueAl00,rush_long,17,,,,,
player,201610240den,htx,BlueAl00,targets,3,,,,,
player,201610240den,htx,BlueAl00,rec,0,,,,,
player,201610240den,htx,BlueAl00,rec_yds,0,,,,,
player,201610240den,htx,BlueAl00,rec_td,0,,,,,
player,201610240den,htx,BlueAl00,rec_long,0,,,,,
player,201610240den,htx,BlueAl00,fumbles,1,,,,,
player,201610240den,htx,BlueAl00,fumbles_lost,1,,,,,
player,201610240den,htx,MillLa01,pass_cmp,0,,,,,
player,201610240den,htx,MillLa01,pass_att,0,,,,,
player,201610240den,htx,MillLa01,pass_yds,0,,,,,
player,201610240den,htx,MillLa01,pass_td,0,,,,,
player,201610240den,htx,MillLa01,pass_int,0,,,,,
