game,2016,2,20160919,201609190chi,phi,"Philadelphia Eagles",29,chi,"Chicago Bears",14
team,201609190chi,phi,First Downs,21,,,,,,
team,201609190chi,chi,First Downs,16,,,,,,
team,201609190chi,phi,Rush-Yds-TDs,32-100-2,,,,,,
team,201609190chi,chi,Rush-Yds-TDs,18-64-1,,,,,,
team,201609190chi,phi,Cmp-Att-Yd-TD-INT,21-34-190-1-0,,,,,,
team,201609190chi,chi,Cmp-Att-Yd-TD-INT,21-29-235-0-1,,,,,,
team,201609190chi,phi,Sacked-Yards,2-10,,,,,,
team,201609190chi,chi,Sacked-Yards,3-15,,,,,,
team,201609190chi,phi,Net Pass Yards,180,,,,,,
team,201609190chi,chi,Net Pass Yards,220,,,,,,
team,201609190chi,phi,Total Yards,280,,,,,,
team,201609190chi,chi,Total Yards,284,,,,,,
team,201609190chi,phi,Fumbles-Lost,0-0,,,,,,
team,201609190chi,chi,Fumbles-Lost,2-2,,,,,,
team,201609190chi,phi,Turnovers,0,,,,,,
team,201609190chi,chi,Turnovers,3,,,,,,
team,201609190chi,phi,Penalties-Yards,5-34,,,,,,
team,201609190chi,chi,Penalties-Yards,7-60,,,,,,
team,201609190chi,phi,Third Down Conv.,3-15,,,,,,
team,201609190chi,chi,Third Down Conv.,4-10,,,,,,
team,201609190chi,phi,Fourth Down Conv.,3-3,,,,,,
team,201609190chi,chi,Fourth Down Conv.,0-1,,,,,,
team,201609190chi,phi,Time of Possession,36:05,,,,,,
team,201609190chi,chi,Time of Possession,23:55,,,,,,
player,201609190chi,phi,WentCa00,pass_cmp,21,,,,,
player,201609190chi,phi,WentCa00,pass_att,34,,,,,
player,201609190chi,phi,WentCa00,pass_yds,190,,,,,
player,201609190chi,phi,WentCa00,pass_td,1,,,,,
player,201609190chi,phi,WentCa00,pass_int,0,,,,,
player,201609190chi,phi,WentCa00,pass_sacked,2,,,,,
player,201609190chi,phi,WentCa00,pass_sacked_yds,10,,,,,
player,201609190chi,phi,WentCa00,pass_long,32,,,,,
player,201609190chi,phi,WentCa00,pass_rating,86.6,,,,,
