game,2016,5,20161009,201610090cle,nwe,"New England Patriots",33,cle,"Cleveland Browns",13
team,201610090cle,nwe,First Downs,24,,,,,,
team,201610090cle,cle,First Downs,17,,,,,,
team,201610090cle,nwe,Rush-Yds-TDs,35-98-1,,,,,,
team,201610090cle,cle,Rush-Yds-TDs,22-27-0,,,,,,
team,201610090cle,nwe,Cmp-Att-Yd-TD-INT,28-41-406-3-0,,,,,,
team,201610090cle,cle,Cmp-Att-Yd-TD-INT,20-35-249-2-1,,,,,,
team,201610090cle,nwe,Sacked-Yards,1-3,,,,,,
team,201610090cle,cle,Sacked-Yards,2-14,,,,,,
team,201610090cle,nwe,Net Pass Yards,403,,,,,,
team,201610090cle,cle,Net Pass Yards,235,,,,,,
team,201610090cle,nwe,Total Yards,501,,,,,,
team,201610090cle,cle,Total Yards,262,,,,,,
team,201610090cle,nwe,Fumbles-Lost,0-0,,,,,,
team,201610090cle,cle,Fumbles-Lost,2-0,,,,,,
team,201610090cle,nwe,Turnovers,0,,,,,,
team,201610090cle,cle,Turnovers,1,,,,,,
team,201610090cle,nwe,Penalties-Yards,5-61,,,,,,
team,201610090cle,cle,Penalties-Yards,5-35,,,,,,
team,201610090cle,nwe,Third Down Conv.,9-17,,,,,,
team,201610090cle,cle,Third Down Conv.,5-13,,,,,,
team,201610090cle,nwe,Fourth Down Conv.,0-1,,,,,,
team,201610090cle,cle,Fourth Down Conv.,0-1,,,,,,
team,201610090cle,nwe,Time of Possession,34:39,,,,,,
team,201610090cle,cle,Time of Possession,25:21,,,,,,
player,201610090cle,nwe,BradTo00,pass_cmp,28,,,,,
player,201610090cle,nwe,BradTo00,pass_att,40,,,,,
player,201610090cle,nwe,BradTo00,pass_yds,406,,,,,
player,201610090cle,nwe,BradTo00,pass_td,3,,,,,
player,201610090cle,nwe,BradTo00,pass_int,0,,,,,
player,201610090cle,nwe,BradTo00,pass_sacked,1,,,,,
player,201610090cle,nwe,BradTo00,pass_sacked_yds,3,,,,,
player,201610090cle,nwe,BradTo00,pass_long,63,,,,,
player,201610090cle,nwe,BradTo00,pass_rating,127.7,,,,,
player,201610090cle,nwe,BradTo00,rush_att,2,,,,,
player,201610090cle,nwe,BradTo00,rush_yds,14,,,,,
player,201610090cle,nwe,BradTo00,rush_td,0,,,,,
player,201610090cle,nwe,BradTo00,rush_long,10,,,,,
player,201610090cle,nwe,BradTo00,targets,0,,,,,
player,201610090cle,nwe,BradTo00,rec,0,,,,,
player,201610090cle,nwe,BradTo00,rec_yds,0,,,,,
player,201610090cle,nwe,BradTo00,rec_td,0,,,,,
player,201610090cle,nwe,BradTo00,rec_long,0,,,,,
player,201610090cle,nwe,BradTo00,fumbles,0,,,,,
player,201610090cle,nwe,BradTo00,fumbles_lost,0,,,,,
player,201610090cle,nwe,GaroJi00,pass_cmp,0,,,,,
player,201610090cle,nwe,GaroJi00,pass_att,1,,,,,
player,201610090cle,nwe,GaroJi00,pass_yds,0,,,,,
player,201610090cle,nwe,GaroJi00,pass_td,0,,,,,
player,201610090cle,nwe,GaroJi00,pass_int,0,,,,,
player,201610090cle,nwe,GaroJi00,pass_sacked,0,,,,,
