game,2016,8,20161030,201610300htx,det,"Detroit Lions",13,htx,"Houston Texans",20
team,201610300htx,det,First Downs,19,,,,,,
team,201610300htx,htx,First Downs,20,,,,,,
team,201610300htx,det,Rush-Yds-TDs,14-58-0,,,,,,
team,201610300htx,htx,Rush-Yds-TDs,31-105-1,,,,,,
team,201610300htx,det,Cmp-Att-Yd-TD-INT,27-41-240-1-0,,,,,,
team,201610300htx,htx,Cmp-Att-Yd-TD-INT,20-29-186-1-1,,,,,,
team,201610300htx,det,Sacked-Yards,1-9,,,,,,
team,201610300htx,htx,Sacked-Yards,3-22,,,,,,
team,201610300htx,det,Net Pass Yards,231,,,,,,
team,201610300htx,htx,Net Pass Yards,164,,,,,,
team,201610300htx,det,Total Yards,289,,,,,,
team,201610300htx,htx,Total Yards,269,,,,,,
team,201610300htx,det,Fumbles-Lost,0-0,,,,,,
team,201610300htx,htx,Fumbles-Lost,1-0,,,,,,
team,201610300htx,det,Turnovers,0,,,,,,
team,201610300htx,htx,Turnovers,1,,,,,,
team,201610300htx,det,Penalties-Yards,8-75,,,,,,
team,201610300htx,htx,Penalties-Yards,6-49,,,,,,
team,201610300htx,det,Third Down Conv.,3-11,,,,,,
team,201610300htx,htx,Third Down Conv.,6-15,,,,,,
team,201610300htx,det,Fourth Down Conv.,0-1,,,,,,
team,201610300htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201610300htx,det,Time of Possession,26:02,,,,,,
team,201610300htx,htx,Time of Possession,33:58,,,,,,
player,201610300htx,det,StafMa00,pass_cmp,27,,,,,
player,201610300htx,det,StafMa00,pass_att,41,,,,,
player,201610300htx,det,StafMa00,pass_yds,240,,,,,
player,201610300htx,det,StafMa00,pass_td,1,,,,,
player,201610300htx,det,StafMa00,pass_int,0,,,,,
player,201610300htx,det,StafMa00,pass_sacked,1,,,,,
player,201610300htx,det,StafMa00,pass_sacked_yds,9,,,,,
player,201610300htx,det,StafMa00,pass_long,34,,,,,
player,201610300htx,det,StafMa00,pass_rating,89.5,,,,,
