game,2016,16,20161224,201612240car,atl,"Atlanta Falcons",33,car,"Carolina Panthers",16
team,201612240car,atl,First Downs,21,,,,,,
team,201612240car,car,First Downs,17,,,,,,
team,201612240car,atl,Rush-Yds-TDs,24-152-1,,,,,,
team,201612240car,car,Rush-Yds-TDs,23-119-0,,,,,,
team,201612240car,atl,Cmp-Att-Yd-TD-INT,27-33-277-2-0,,,,,,
team,201612240car,car,Cmp-Att-Yd-TD-INT,18-43-198-1-2,,,,,,
team,201612240car,atl,Sacked-Yards,4-21,,,,,,
team,201612240car,car,Sacked-Yards,2-15,,,,,,
team,201612240car,atl,Net Pass Yards,256,,,,,,
team,201612240car,car,Net Pass Yards,183,,,,,,
team,201612240car,atl,Total Yards,408,,,,,,
team,201612240car,car,Total Yards,302,,,,,,
team,201612240car,atl,Fumbles-Lost,1-0,,,,,,
team,201612240car,car,Fumbles-Lost,0-0,,,,,,
team,201612240car,atl,Turnovers,0,,,,,,
team,201612240car,car,Turnovers,2,,,,,,
team,201612240car,atl,Penalties-Yards,6-45,,,,,,
team,201612240car,car,Penalties-Yards,4-24,,,,,,
team,201612240car,atl,Third Down Conv.,6-14,,,,,,
team,201612240car,car,Third Down Conv.,4-15,,,,,,
team,201612240car,atl,Fourth Down Conv.,0-0,,,,,,
team,201612240car,car,Fourth Down Conv.,3-4,,,,,,
team,201612240car,atl,Time of Possession,32:45,,,,,,
team,201612240car,car,Time of Possession,27:15,,,,,,
player,201612240car,atl,RyanMa00,pass_cmp,27,,,,,
player,201612240car,atl,RyanMa00,pass_att,33,,,,,
player,201612240car,atl,RyanMa00,pass_yds,277,,,,,
player,201612240car,atl,RyanMa00,pass_td,2,,,,,
player,201612240car,atl,RyanMa00,pass_int,0,,,,,
player,201612240car,atl,RyanMa00,pass_sacked,4,,,,,
player,201612240car,atl,RyanMa00,pass_sacked_yds,21,,,,,
player,201612240car,atl,RyanMa00,pass_long,31,,,,,
player,201612240car,atl,RyanMa00,pass_rating,121.8,,,,,
player,201612240car,atl,RyanMa00,rush_att,2,,,,,
player,201612240car,atl,RyanMa00,rush_yds,9,,,,,
player,201612240car,atl,RyanMa00,rush_td,0,,,,,
player,201612240car,atl,RyanMa00,rush_long,7,,,,,
player,201612240car,atl,RyanMa00,targets,0,,,,,
player,201612240car,atl,RyanMa00,rec,0,,,,,
player,201612240car,atl,RyanMa00,rec_yds,0,,,,,
player,201612240car,atl,RyanMa00,rec_td,0,,,,,
player,201612240car,atl,RyanMa00,rec_long,0,,,,,
player,201612240car,atl,RyanMa00,fumbles,1,,,,,
player,201612240car,atl,RyanMa00,fumbles_lost,0,,,,,
player,201612240car,atl,ColeTe01,pass_cmp,0,,,,,
player,201612240car,atl,ColeTe01,pass_att,0,,,,,
player,201612240car,atl,ColeTe01,pass_yds,0,,,,,
player,201612240car,atl,ColeTe01,pass_td,0,,,,,
player,201612240car,atl,ColeTe01,pass_int,0,,,,,
player,201612240car,atl,ColeTe01,pass_sacked,0,,,,,
player,201612240car,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201612240car,atl,ColeTe01,pass_long,0,,,,,
player,201612240car,atl,ColeTe01,pass_rating,,,,,,
player,201612240car,atl,ColeTe01,rush_att,9,,,,,
player,201612240car,atl,ColeTe01,rush_yds,90,,,,,
player,201612240car,atl,ColeTe01,rush_td,1,,,,,
player,201612240car,atl,ColeTe01,rush_long,55,,,,,
