game,2016,12,20161127,201611270nor,ram,"Los Angeles Rams",21,nor,"New Orleans Saints",49
team,201611270nor,ram,First Downs,13,,,,,,
team,201611270nor,nor,First Downs,27,,,,,,
team,201611270nor,ram,Rush-Yds-TDs,17-69-0,,,,,,
team,201611270nor,nor,Rush-Yds-TDs,32-209-2,,,,,,
team,201611270nor,ram,Cmp-Att-Yd-TD-INT,20-32-214-3-1,,,,,,
team,201611270nor,nor,Cmp-Att-Yd-TD-INT,29-37-360-5-0,,,,,,
team,201611270nor,ram,Sacked-Yards,3-36,,,,,,
team,201611270nor,nor,Sacked-Yards,2-14,,,,,,
team,201611270nor,ram,Net Pass Yards,178,,,,,,
team,201611270nor,nor,Net Pass Yards,346,,,,,,
team,201611270nor,ram,Total Yards,247,,,,,,
team,201611270nor,nor,Total Yards,555,,,,,,
team,201611270nor,ram,Fumbles-Lost,1-1,,,,,,
team,201611270nor,nor,Fumbles-Lost,2-1,,,,,,
team,201611270nor,ram,Turnovers,2,,,,,,
team,201611270nor,nor,Turnovers,1,,,,,,
team,201611270nor,ram,Penalties-Yards,6-62,,,,,,
team,201611270nor,nor,Penalties-Yards,6-45,,,,,,
team,201611270nor,ram,Third Down Conv.,2-10,,,,,,
team,201611270nor,nor,Third Down Conv.,6-13,,,,,,
team,201611270nor,ram,Fourth Down Conv.,0-1,,,,,,
team,201611270nor,nor,Fourth Down Conv.,2-2,,,,,,
team,201611270nor,ram,Time of Possession,24:04,,,,,,
team,201611270nor,nor,Time of Possession,35:56,,,,,,
player,201611270nor,ram,GoffJa00,pass_cmp,20,,,,,
player,201611270nor,ram,GoffJa00,pass_att,32,,,,,
player,201611270nor,ram,GoffJa00,pass_yds,214,,,,,
player,201611270nor,ram,GoffJa00,pass_td,3,,,,,
player,201611270nor,ram,GoffJa00,pass_int,1,,,,,
player,201611270nor,ram,GoffJa00,pass_sacked,3,,,,,
player,201611270nor,ram,GoffJa00,pass_sacked_yds,36,,,,,
player,201611270nor,ram,GoffJa00,pass_long,31,,,,,
player,201611270nor,ram,GoffJa00,pass_rating,100.3,,,,,
player,201611270nor,ram,GoffJa00,rush_att,0,,,,,
player,201611270nor,ram,GoffJa00,rush_yds,0,,,,,
player,201611270nor,ram,GoffJa00,rush_td,0,,,,,
player,201611270nor,ram,GoffJa00,rush_long,0,,,,,
player,201611270nor,ram,GoffJa00,targets,0,,,,,
player,201611270nor,ram,GoffJa00,rec,0,,,,,
player,201611270nor,ram,GoffJa00,rec_yds,0,,,,,
player,201611270nor,ram,GoffJa00,rec_td,0,,,,,
player,201611270nor,ram,GoffJa00,rec_long,0,,,,,
