game,2016,13,20161204,201612040sea,car,"Carolina Panthers",7,sea,"Seattle Seahawks",40
team,201612040sea,car,First Downs,14,,,,,,
team,201612040sea,sea,First Downs,29,,,,,,
team,201612040sea,car,Rush-Yds-TDs,21-89-0,,,,,,
team,201612040sea,sea,Rush-Yds-TDs,29-240-3,,,,,,
team,201612040sea,car,Cmp-Att-Yd-TD-INT,14-33-182-1-1,,,,,,
team,201612040sea,sea,Cmp-Att-Yd-TD-INT,28-39-315-1-1,,,,,,
team,201612040sea,car,Sacked-Yards,0-0,,,,,,
team,201612040sea,sea,Sacked-Yards,3-21,,,,,,
team,201612040sea,car,Net Pass Yards,182,,,,,,
team,201612040sea,sea,Net Pass Yards,294,,,,,,
team,201612040sea,car,Total Yards,271,,,,,,
team,201612040sea,sea,Total Yards,534,,,,,,
team,201612040sea,car,Fumbles-Lost,1-1,,,,,,
team,201612040sea,sea,Fumbles-Lost,1-0,,,,,,
team,201612040sea,car,Turnovers,2,,,,,,
team,201612040sea,sea,Turnovers,1,,,,,,
team,201612040sea,car,Penalties-Yards,6-63,,,,,,
team,201612040sea,sea,Penalties-Yards,6-37,,,,,,
team,201612040sea,car,Third Down Conv.,5-12,,,,,,
team,201612040sea,sea,Third Down Conv.,7-14,,,,,,
team,201612040sea,car,Fourth Down Conv.,0-1,,,,,,
team,201612040sea,sea,Fourth Down Conv.,0-1,,,,,,
team,201612040sea,car,Time of Possession,25:59,,,,,,
team,201612040sea,sea,Time of Possession,34:01,,,,,,
player,201612040sea,car,NewtCa00,pass_cmp,14,,,,,
player,201612040sea,car,NewtCa00,pass_att,32,,,,,
player,201612040sea,car,NewtCa00,pass_yds,182,,,,,
player,201612040sea,car,NewtCa00,pass_td,1,,,,,
player,201612040sea,car,NewtCa00,pass_int,0,,,,,
player,201612040sea,car,NewtCa00,pass_sacked,0,,,,,
player,201612040sea,car,NewtCa00,pass_sacked_yds,0,,,,,
player,201612040sea,car,NewtCa00,pass_long,55,,,,,
player,201612040sea,car,NewtCa00,pass_rating,72.7,,,,,
player,201612040sea,car,NewtCa00,rush_att,3,,,,,
player,201612040sea,car,NewtCa00,rush_yds,12,,,,,
player,201612040sea,car,NewtCa00,rush_td,0,,,,,
player,201612040sea,car,NewtCa00,rush_long,9,,,,,
player,201612040sea,car,NewtCa00,targets,0,,,,,
player,201612040sea,car,NewtCa00,rec,0,,,,,
player,201612040sea,car,NewtCa00,rec_yds,0,,,,,
player,201612040sea,car,NewtCa00,rec_td,0,,,,,
player,201612040sea,car,NewtCa00,rec_long,0,,,,,
player,201612040sea,car,NewtCa00,fumbles,0,,,,,
player,201612040sea,car,NewtCa00,fumbles_lost,0,,,,,
player,201612040sea,car,AndeDe00,pass_cmp,0,,,,,
player,201612040sea,car,AndeDe00,pass_att,1,,,,,
player,201612040sea,car,AndeDe00,pass_yds,0,,,,,
player,201612040sea,car,AndeDe00,pass_td,0,,,,,
player,201612040sea,car,AndeDe00,pass_int,1,,,,,
player,201612040sea,car,AndeDe00,pass_sacked,0,,,,,
player,201612040sea,car,AndeDe00,pass_sacked_yds,0,,,,,
player,201612040sea,car,AndeDe00,pass_long,0,,,,,
player,201612040sea,car,AndeDe00,pass_rating,0.0,,,,,
player,201612040sea,car,AndeDe00,rush_att,0,,,,,
player,201612040sea,car,AndeDe00,rush_yds,0,,,,,
player,201612040sea,car,AndeDe00,rush_td,0,,,,,
player,201612040sea,car,AndeDe00,rush_long,0,,,,,
player,201612040sea,car,AndeDe00,targets,0,,,,,
player,201612040sea,car,AndeDe00,rec,0,,,,,
player,201612040sea,car,AndeDe00,rec_yds,0,,,,,
player,201612040sea,car,AndeDe00,rec_td,0,,,,,
player,201612040sea,car,AndeDe00,rec_long,0,,,,,
player,201612040sea,car,AndeDe00,fumbles,0,,,,,
player,201612040sea,car,AndeDe00,fumbles_lost,0,,,,,
player,201612040sea,car,StewJo00,pass_cmp,0,,,,,
player,201612040sea,car,StewJo00,pass_att,0,,,,,
player,201612040sea,car,StewJo00,pass_yds,0,,,,,
player,201612040sea,car,StewJo00,pass_td,0,,,,,
player,201612040sea,car,StewJo00,pass_int,0,,,,,
player,201612040sea,car,StewJo00,pass_sacked,0,,,,,
player,201612040sea,car,StewJo00,pass_sacked_yds,0,,,,,
player,201612040sea,car,StewJo00,pass_long,0,,,,,
player,201612040sea,car,StewJo00,pass_rating,,,,,,
player,201612040sea,car,StewJo00,rush_att,11,,,,,
player,201612040sea,car,StewJo00,rush_yds,50,,,,,
player,201612040sea,car,StewJo00,rush_td,0,,,,,
player,201612040sea,car,StewJo00,rush_long,29,,,,,
player,201612040sea,car,StewJo00,targets,1,,,,,
player,201612040sea,car,StewJo00,rec,1,,,,,
player,201612040sea,car,StewJo00,rec_yds,3,,,,,
player,201612040sea,car,StewJo00,rec_td,0,,,,,
player,201612040sea,car,StewJo00,rec_long,3,,,,,
player,201612040sea,car,StewJo00,fumbles,1,,,,,
player,201612040sea,car,StewJo00,fumbles_lost,1,,,,,
player,201612040sea,car,TolbMi00,pass_cmp,0,,,,,
player,201612040sea,car,TolbMi00,pass_att,0,,,,,
player,201612040sea,car,TolbMi00,pass_yds,0,,,,,
player,201612040sea,car,TolbMi00,pass_td,0,,,,,
player,201612040sea,car,TolbMi00,pass_int,0,,,,,
player,201612040sea,car,TolbMi00,pass_sacked,0,,,,,
player,201612040sea,car,TolbMi00,pass_sacked_yds,0,,,,,
player,201612040sea,car,TolbMi00,pass_long,0,,,,,
player,201612040sea,car,TolbMi00,pass_rating,,,,,,
player,201612040sea,car,TolbMi00,rush_att,4,,,,,
player,201612040sea,car,TolbMi00,rush_yds,21,,,,,
player,201612040sea,car,TolbMi00,rush_td,0,,,,,
player,201612040sea,car,TolbMi00,rush_long,11,,,,,
player,201612040sea,car,TolbMi00,targets,1,,,,,
player,201612040sea,car,TolbMi00,rec,0,,,,,
player,201612040sea,car,TolbMi00,rec_yds,0,,,,,
player,201612040sea,car,TolbMi00,rec_td,0,,,,,
player,201612040sea,car,TolbMi00,rec_long,0,,,,,
player,201612040sea,car,TolbMi00,fumbles,0,,,,,
player,201612040sea,car,TolbMi00,fumbles_lost,0,,,,,
player,201612040sea,car,GinnTe00,pass_cmp,0,,,,,
player,201612040sea,car,GinnTe00,pass_att,0,,,,,
player,201612040sea,car,GinnTe00,pass_yds,0,,,,,
player,201612040sea,car,GinnTe00,pass_td,0,,,,,
player,201612040sea,car,GinnTe00,pass_int,0,,,,,
player,201612040sea,car,GinnTe00,pass_sacked,0,,,,,
player,201612040sea,car,GinnTe00,pass_sacked_yds,0,,,,,
player,201612040sea,car,GinnTe00,pass_long,0,,,,,
player,201612040sea,car,GinnTe00,pass_rating,,,,,,
player,201612040sea,car,GinnTe00,rush_att,1,,,,,
player,201612040sea,car,GinnTe00,rush_yds,6,,,,,
player,201612040sea,car,GinnTe00,rush_td,0,,,,,
player,201612040sea,car,GinnTe00,rush_long,6,,,,,
player,201612040sea,car,GinnTe00,targets,6,,,,,
player,201612040sea,car,GinnTe00,rec,5,,,,,
player,201612040sea,car,GinnTe00,rec_yds,80,,,,,
player,201612040sea,car,GinnTe00,rec_td,1,,,,,
player,201612040sea,car,GinnTe00,rec_long,55,,,,,
player,201612040sea,car,GinnTe00,fumbles,0,,,,,
player,201612040sea,car,GinnTe00,fumbles_lost,0,,,,,
player,201612040sea,car,WhitFo00,pass_cmp,0,,,,,
player,201612040sea,car,WhitFo00,pass_att,0,,,,,
player,201612040sea,car,WhitFo00,pass_yds,0,,,,,
player,201612040sea,car,WhitFo00,pass_td,0,,,,,
player,201612040sea,car,WhitFo00,pass_int,0,,,,,
player,201612040sea,car,WhitFo00,pass_sacked,0,,,,,
