game,2016,5,20161009,201610090den,atl,"Atlanta Falcons",23,den,"Denver Broncos",16
team,201610090den,atl,First Downs,19,,,,,,
team,201610090den,den,First Downs,18,,,,,,
team,201610090den,atl,Rush-Yds-TDs,32-122-1,,,,,,
team,201610090den,den,Rush-Yds-TDs,24-84-0,,,,,,
team,201610090den,atl,Cmp-Att-Yd-TD-INT,15-28-267-1-0,,,,,,
team,201610090den,den,Cmp-Att-Yd-TD-INT,23-35-223-1-1,,,,,,
team,201610090den,atl,Sacked-Yards,2-17,,,,,,
team,201610090den,den,Sacked-Yards,6-40,,,,,,
team,201610090den,atl,Net Pass Yards,250,,,,,,
team,201610090den,den,Net Pass Yards,183,,,,,,
team,201610090den,atl,Total Yards,372,,,,,,
team,201610090den,den,Total Yards,267,,,,,,
team,201610090den,atl,Fumbles-Lost,1-1,,,,,,
team,201610090den,den,Fumbles-Lost,3-0,,,,,,
team,201610090den,atl,Turnovers,1,,,,,,
team,201610090den,den,Turnovers,1,,,,,,
team,201610090den,atl,Penalties-Yards,7-78,,,,,,
team,201610090den,den,Penalties-Yards,8-57,,,,,,
team,201610090den,atl,Third Down Conv.,2-12,,,,,,
team,201610090den,den,Third Down Conv.,4-16,,,,,,
team,201610090den,atl,Fourth Down Conv.,2-3,,,,,,
team,201610090den,den,Fourth Down Conv.,4-4,,,,,,
team,201610090den,atl,Time of Possession,28:52,,,,,,
team,201610090den,den,Time of Possession,31:08,,,,,,
player,201610090den,atl,RyanMa00,pass_cmp,15,,,,,
player,201610090den,atl,RyanMa00,pass_att,28,,,,,
player,201610090den,atl,RyanMa00,pass_yds,267,,,,,
player,201610090den,atl,RyanMa00,pass_td,1,,,,,
player,201610090den,atl,RyanMa00,pass_int,0,,,,,
player,201610090den,atl,RyanMa00,pass_sacked,2,,,,,
player,201610090den,atl,RyanMa00,pass_sacked_yds,17,,,,,
player,201610090den,atl,RyanMa00,pass_long,0,,,,,
player,201610090den,atl,RyanMa00,pass_rating,98.4,,,,,
player,201610090den,atl,RyanMa00,rush_att,3,,,,,
player,201610090den,atl,RyanMa00,rush_yds,3,,,,,
player,201610090den,atl,RyanMa00,rush_td,0,,,,,
player,201610090den,atl,RyanMa00,rush_long,2,,,,,
player,201610090den,atl,RyanMa00,targets,0,,,,,
player,201610090den,atl,RyanMa00,rec,0,,,,,
player,201610090den,atl,RyanMa00,rec_yds,0,,,,,
player,201610090den,atl,RyanMa00,rec_td,0,,,,,
player,201610090den,atl,RyanMa00,rec_long,0,,,,,
player,201610090den,atl,RyanMa00,fumbles,0,,,,,
player,201610090den,atl,RyanMa00,fumbles_lost,0,,,,,
player,201610090den,atl,FreeDe00,pass_cmp,0,,,,,
player,201610090den,atl,FreeDe00,pass_att,0,,,,,
player,201610090den,atl,FreeDe00,pass_yds,0,,,,,
player,201610090den,atl,FreeDe00,pass_td,0,,,,,
