game,2016,7,20161023,201610230oti,clt,"Indianapolis Colts",34,oti,"Tennessee Titans",26
team,201610230oti,clt,First Downs,26,,,,,,
team,201610230oti,oti,First Downs,26,,,,,,
team,201610230oti,clt,Rush-Yds-TDs,24-81-0,,,,,,
team,201610230oti,oti,Rush-Yds-TDs,28-124-1,,,,,,
team,201610230oti,clt,Cmp-Att-Yd-TD-INT,27-39-353-3-0,,,,,,
team,201610230oti,oti,Cmp-Att-Yd-TD-INT,22-37-232-2-0,,,,,,
team,201610230oti,clt,Sacked-Yards,2-12,,,,,,
team,201610230oti,oti,Sacked-Yards,3-25,,,,,,
team,201610230oti,clt,Net Pass Yards,341,,,,,,
team,201610230oti,oti,Net Pass Yards,207,,,,,,
team,201610230oti,clt,Total Yards,422,,,,,,
team,201610230oti,oti,Total Yards,331,,,,,,
team,201610230oti,clt,Fumbles-Lost,0-0,,,,,,
team,201610230oti,oti,Fumbles-Lost,2-1,,,,,,
team,201610230oti,clt,Turnovers,0,,,,,,
team,201610230oti,oti,Turnovers,1,,,,,,
team,201610230oti,clt,Penalties-Yards,12-131,,,,,,
team,201610230oti,oti,Penalties-Yards,6-38,,,,,,
team,201610230oti,clt,Third Down Conv.,4-10,,,,,,
team,201610230oti,oti,Third Down Conv.,9-15,,,,,,
team,201610230oti,clt,Fourth Down Conv.,0-0,,,,,,
team,201610230oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201610230oti,clt,Time of Possession,32:30,,,,,,
team,201610230oti,oti,Time of Possession,27:30,,,,,,
player,201610230oti,clt,LuckAn00,pass_cmp,27,,,,,
player,201610230oti,clt,LuckAn00,pass_att,39,,,,,
player,201610230oti,clt,LuckAn00,pass_yds,353,,,,,
player,201610230oti,clt,LuckAn00,pass_td,3,,,,,
player,201610230oti,clt,LuckAn00,pass_int,0,,,,,
player,201610230oti,clt,LuckAn00,pass_sacked,2,,,,,
player,201610230oti,clt,LuckAn00,pass_sacked_yds,12,,,,,
player,201610230oti,clt,LuckAn00,pass_long,37,,,,,
player,201610230oti,clt,LuckAn00,pass_rating,123.1,,,,,
player,201610230oti,clt,LuckAn00,rush_att,5,,,,,
player,201610230oti,clt,LuckAn00,rush_yds,17,,,,,
player,201610230oti,clt,LuckAn00,rush_td,0,,,,,
player,201610230oti,clt,LuckAn00,rush_long,9,,,,,
player,201610230oti,clt,LuckAn00,targets,0,,,,,
player,201610230oti,clt,LuckAn00,rec,0,,,,,
player,201610230oti,clt,LuckAn00,rec_yds,0,,,,,
player,201610230oti,clt,LuckAn00,rec_td,0,,,,,
player,201610230oti,clt,LuckAn00,rec_long,0,,,,,
player,201610230oti,clt,LuckAn00,fumbles,0,,,,,
