game,2016,14,20161211,201612110phi,was,"Washington Redskins",27,phi,"Philadelphia Eagles",22
team,201612110phi,was,First Downs,16,,,,,,
team,201612110phi,phi,First Downs,24,,,,,,
team,201612110phi,was,Rush-Yds-TDs,23-107-2,,,,,,
team,201612110phi,phi,Rush-Yds-TDs,26-95-0,,,,,,
team,201612110phi,was,Cmp-Att-Yd-TD-INT,14-21-234-2-1,,,,,,
team,201612110phi,phi,Cmp-Att-Yd-TD-INT,32-46-314-1-1,,,,,,
team,201612110phi,was,Sacked-Yards,2-7,,,,,,
team,201612110phi,phi,Sacked-Yards,4-26,,,,,,
team,201612110phi,was,Net Pass Yards,227,,,,,,
team,201612110phi,phi,Net Pass Yards,288,,,,,,
team,201612110phi,was,Total Yards,334,,,,,,
team,201612110phi,phi,Total Yards,383,,,,,,
team,201612110phi,was,Fumbles-Lost,0-0,,,,,,
team,201612110phi,phi,Fumbles-Lost,3-1,,,,,,
team,201612110phi,was,Turnovers,1,,,,,,
team,201612110phi,phi,Turnovers,2,,,,,,
team,201612110phi,was,Penalties-Yards,5-86,,,,,,
team,201612110phi,phi,Penalties-Yards,5-54,,,,,,
team,201612110phi,was,Third Down Conv.,2-7,,,,,,
team,201612110phi,phi,Third Down Conv.,9-18,,,,,,
team,201612110phi,was,Fourth Down Conv.,1-1,,,,,,
team,201612110phi,phi,Fourth Down Conv.,2-3,,,,,,
team,201612110phi,was,Time of Possession,23:22,,,,,,
team,201612110phi,phi,Time of Possession,36:38,,,,,,
player,201612110phi,was,CousKi00,pass_cmp,14,,,,,
player,201612110phi,was,CousKi00,pass_att,21,,,,,
player,201612110phi,was,CousKi00,pass_yds,234,,,,,
player,201612110phi,was,CousKi00,pass_td,2,,,,,
player,201612110phi,was,CousKi00,pass_int,1,,,,,
player,201612110phi,was,CousKi00,pass_sacked,2,,,,,
player,201612110phi,was,CousKi00,pass_sacked_yds,7,,,,,
player,201612110phi,was,CousKi00,pass_long,80,,,,,
player,201612110phi,was,CousKi00,pass_rating,116.0,,,,,
player,201612110phi,was,CousKi00,rush_att,4,,,,,
player,201612110phi,was,CousKi00,rush_yds,6,,,,,
player,201612110phi,was,CousKi00,rush_td,0,,,,,
player,201612110phi,was,CousKi00,rush_long,6,,,,,
player,201612110phi,was,CousKi00,targets,0,,,,,
player,201612110phi,was,CousKi00,rec,0,,,,,
player,201612110phi,was,CousKi00,rec_yds,0,,,,,
player,201612110phi,was,CousKi00,rec_td,0,,,,,
player,201612110phi,was,CousKi00,rec_long,0,,,,,
player,201612110phi,was,CousKi00,fumbles,0,,,,,
player,201612110phi,was,CousKi00,fumbles_lost,0,,,,,
player,201612110phi,was,KellRo00,pass_cmp,0,,,,,
player,201612110phi,was,KellRo00,pass_att,0,,,,,
player,201612110phi,was,KellRo00,pass_yds,0,,,,,
player,201612110phi,was,KellRo00,pass_td,0,,,,,
player,201612110phi,was,KellRo00,pass_int,0,,,,,
player,201612110phi,was,KellRo00,pass_sacked,0,,,,,
player,201612110phi,was,KellRo00,pass_sacked_yds,0,,,,,
player,201612110phi,was,KellRo00,pass_long,0,,,,,
player,201612110phi,was,KellRo00,pass_rating,,,,,,
player,201612110phi,was,KellRo00,rush_att,16,,,,,
player,201612110phi,was,KellRo00,rush_yds,63,,,,,
