game,2016,7,20161023,201610230atl,sdg,"San Diego Chargers",33,atl,"Atlanta Falcons",30
team,201610230atl,sdg,First Downs,26,,,,,,
team,201610230atl,atl,First Downs,21,,,,,,
team,201610230atl,sdg,Rush-Yds-TDs,26-78-2,,,,,,
team,201610230atl,atl,Rush-Yds-TDs,26-130-1,,,,,,
team,201610230atl,sdg,Cmp-Att-Yd-TD-INT,27-45-371-1-1,,,,,,
team,201610230atl,atl,Cmp-Att-Yd-TD-INT,22-34-273-1-1,,,,,,
team,201610230atl,sdg,Sacked-Yards,4-23,,,,,,
team,201610230atl,atl,Sacked-Yards,3-17,,,,,,
team,201610230atl,sdg,Net Pass Yards,348,,,,,,
team,201610230atl,atl,Net Pass Yards,256,,,,,,
team,201610230atl,sdg,Total Yards,426,,,,,,
team,201610230atl,atl,Total Yards,386,,,,,,
team,201610230atl,sdg,Fumbles-Lost,1-1,,,,,,
team,201610230atl,atl,Fumbles-Lost,0-0,,,,,,
team,201610230atl,sdg,Turnovers,2,,,,,,
team,201610230atl,atl,Turnovers,1,,,,,,
team,201610230atl,sdg,Penalties-Yards,3-14,,,,,,
team,201610230atl,atl,Penalties-Yards,9-70,,,,,,
team,201610230atl,sdg,Third Down Conv.,9-16,,,,,,
team,201610230atl,atl,Third Down Conv.,6-12,,,,,,
team,201610230atl,sdg,Fourth Down Conv.,1-1,,,,,,
team,201610230atl,atl,Fourth Down Conv.,0-1,,,,,,
team,201610230atl,sdg,Time of Possession,35:29,,,,,,
team,201610230atl,atl,Time of Possession,30:30,,,,,,
player,201610230atl,sdg,RivePh00,pass_cmp,27,,,,,
player,201610230atl,sdg,RivePh00,pass_att,44,,,,,
player,201610230atl,sdg,RivePh00,pass_yds,371,,,,,
player,201610230atl,sdg,RivePh00,pass_td,1,,,,,
player,201610230atl,sdg,RivePh00,pass_int,1,,,,,
player,201610230atl,sdg,RivePh00,pass_sacked,4,,,,,
player,201610230atl,sdg,RivePh00,pass_sacked_yds,23,,,,,
player,201610230atl,sdg,RivePh00,pass_long,49,,,,,
player,201610230atl,sdg,RivePh00,pass_rating,86.5,,,,,
player,201610230atl,sdg,RivePh00,rush_att,1,,,,,
player,201610230atl,sdg,RivePh00,rush_yds,-2,,,,,
player,201610230atl,sdg,RivePh00,rush_td,0,,,,,
player,201610230atl,sdg,RivePh00,rush_long,-2,,,,,
player,201610230atl,sdg,RivePh00,targets,0,,,,,
player,201610230atl,sdg,RivePh00,rec,0,,,,,
player,201610230atl,sdg,RivePh00,rec_yds,0,,,,,
