game,2016,15,20161218,201612180crd,nor,"New Orleans Saints",48,crd,"Arizona Cardinals",41
team,201612180crd,nor,First Downs,33,,,,,,
team,201612180crd,crd,First Downs,26,,,,,,
team,201612180crd,nor,Rush-Yds-TDs,32-130-2,,,,,,
team,201612180crd,crd,Rush-Yds-TDs,15-116-3,,,,,,
team,201612180crd,nor,Cmp-Att-Yd-TD-INT,37-48-389-4-0,,,,,,
team,201612180crd,crd,Cmp-Att-Yd-TD-INT,28-40-318-2-0,,,,,,
team,201612180crd,nor,Sacked-Yards,3-31,,,,,,
team,201612180crd,crd,Sacked-Yards,1-9,,,,,,
team,201612180crd,nor,Net Pass Yards,358,,,,,,
team,201612180crd,crd,Net Pass Yards,309,,,,,,
team,201612180crd,nor,Total Yards,488,,,,,,
team,201612180crd,crd,Total Yards,425,,,,,,
team,201612180crd,nor,Fumbles-Lost,1-1,,,,,,
team,201612180crd,crd,Fumbles-Lost,2-2,,,,,,
team,201612180crd,nor,Turnovers,1,,,,,,
team,201612180crd,crd,Turnovers,2,,,,,,
team,201612180crd,nor,Penalties-Yards,5-46,,,,,,
team,201612180crd,crd,Penalties-Yards,7-52,,,,,,
team,201612180crd,nor,Third Down Conv.,9-14,,,,,,
team,201612180crd,crd,Third Down Conv.,5-10,,,,,,
team,201612180crd,nor,Fourth Down Conv.,1-1,,,,,,
team,201612180crd,crd,Fourth Down Conv.,1-1,,,,,,
team,201612180crd,nor,Time of Possession,37:13,,,,,,
team,201612180crd,crd,Time of Possession,22:47,,,,,,
player,201612180crd,nor,BreeDr00,pass_cmp,37,,,,,
player,201612180crd,nor,BreeDr00,pass_att,48,,,,,
player,201612180crd,nor,BreeDr00,pass_yds,389,,,,,
player,201612180crd,nor,BreeDr00,pass_td,4,,,,,
player,201612180crd,nor,BreeDr00,pass_int,0,,,,,
player,201612180crd,nor,BreeDr00,pass_sacked,3,,,,,
player,201612180crd,nor,BreeDr00,pass_sacked_yds,31,,,,,
player,201612180crd,nor,BreeDr00,pass_long,65,,,,,
player,201612180crd,nor,BreeDr00,pass_rating,127.9,,,,,
player,201612180crd,nor,BreeDr00,rush_att,2,,,,,
player,201612180crd,nor,BreeDr00,rush_yds,-2,,,,,
player,201612180crd,nor,BreeDr00,rush_td,0,,,,,
player,201612180crd,nor,BreeDr00,rush_long,-1,,,,,
player,201612180crd,nor,BreeDr00,targets,0,,,,,
player,201612180crd,nor,BreeDr00,rec,0,,,,,
player,201612180crd,nor,BreeDr00,rec_yds,0,,,,,
player,201612180crd,nor,BreeDr00,rec_td,0,,,,,
player,201612180crd,nor,BreeDr00,rec_long,0,,,,,
player,201612180crd,nor,BreeDr00,fumbles,1,,,,,
player,201612180crd,nor,BreeDr00,fumbles_lost,1,,,,,
player,201612180crd,nor,IngrMa01,pass_cmp,0,,,,,
player,201612180crd,nor,IngrMa01,pass_att,0,,,,,
player,201612180crd,nor,IngrMa01,pass_yds,0,,,,,
player,201612180crd,nor,IngrMa01,pass_td,0,,,,,
player,201612180crd,nor,IngrMa01,pass_int,0,,,,,
player,201612180crd,nor,IngrMa01,pass_sacked,0,,,,,
player,201612180crd,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201612180crd,nor,IngrMa01,pass_long,0,,,,,
player,201612180crd,nor,IngrMa01,pass_rating,,,,,,
player,201612180crd,nor,IngrMa01,rush_att,17,,,,,
player,201612180crd,nor,IngrMa01,rush_yds,78,,,,,
player,201612180crd,nor,IngrMa01,rush_td,0,,,,,
player,201612180crd,nor,IngrMa01,rush_long,14,,,,,
player,201612180crd,nor,IngrMa01,targets,4,,,,,
player,201612180crd,nor,IngrMa01,rec,2,,,,,
player,201612180crd,nor,IngrMa01,rec_yds,14,,,,,
player,201612180crd,nor,IngrMa01,rec_td,0,,,,,
player,201612180crd,nor,IngrMa01,rec_long,17,,,,,
player,201612180crd,nor,IngrMa01,fumbles,0,,,,,
player,201612180crd,nor,IngrMa01,fumbles_lost,0,,,,,
player,201612180crd,nor,HighTi00,pass_cmp,0,,,,,
player,201612180crd,nor,HighTi00,pass_att,0,,,,,
player,201612180crd,nor,HighTi00,pass_yds,0,,,,,
player,201612180crd,nor,HighTi00,pass_td,0,,,,,
player,201612180crd,nor,HighTi00,pass_int,0,,,,,
player,201612180crd,nor,HighTi00,pass_sacked,0,,,,,
player,201612180crd,nor,HighTi00,pass_sacked_yds,0,,,,,
player,201612180crd,nor,HighTi00,pass_long,0,,,,,
player,201612180crd,nor,HighTi00,pass_rating,,,,,,
player,201612180crd,nor,HighTi00,rush_att,11,,,,,
player,201612180crd,nor,HighTi00,rush_yds,37,,,,,
player,201612180crd,nor,HighTi00,rush_td,2,,,,,
player,201612180crd,nor,HighTi00,rush_long,9,,,,,
player,201612180crd,nor,HighTi00,targets,3,,,,,
player,201612180crd,nor,HighTi00,rec,3,,,,,
player,201612180crd,nor,HighTi00,rec_yds,11,,,,,
player,201612180crd,nor,HighTi00,rec_td,0,,,,,
player,201612180crd,nor,HighTi00,rec_long,5,,,,,
player,201612180crd,nor,HighTi00,fumbles,0,,,,,
player,201612180crd,nor,HighTi00,fumbles_lost,0,,,,,
player,201612180crd,nor,CadeTr00,pass_cmp,0,,,,,
player,201612180crd,nor,CadeTr00,pass_att,0,,,,,
player,201612180crd,nor,CadeTr00,pass_yds,0,,,,,
player,201612180crd,nor,CadeTr00,pass_td,0,,,,,
player,201612180crd,nor,CadeTr00,pass_int,0,,,,,
player,201612180crd,nor,CadeTr00,pass_sacked,0,,,,,
player,201612180crd,nor,CadeTr00,pass_sacked_yds,0,,,,,
player,201612180crd,nor,CadeTr00,pass_long,0,,,,,
player,201612180crd,nor,CadeTr00,pass_rating,,,,,,
player,201612180crd,nor,CadeTr00,rush_att,1,,,,,
player,201612180crd,nor,CadeTr00,rush_yds,16,,,,,
player,201612180crd,nor,CadeTr00,rush_td,0,,,,,
player,201612180crd,nor,CadeTr00,rush_long,16,,,,,
player,201612180crd,nor,CadeTr00,targets,5,,,,,
player,201612180crd,nor,CadeTr00,rec,5,,,,,
player,201612180crd,nor,CadeTr00,rec_yds,30,,,,,
player,201612180crd,nor,CadeTr00,rec_td,1,,,,,
player,201612180crd,nor,CadeTr00,rec_long,10,,,,,
player,201612180crd,nor,CadeTr00,fumbles,0,,,,,
player,201612180crd,nor,CadeTr00,fumbles_lost,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_cmp,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_att,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_yds,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_td,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_int,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_sacked,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_sacked_yds,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_long,0,,,,,
player,201612180crd,nor,KuhnJo00,pass_rating,,,,,,
player,201612180crd,nor,KuhnJo00,rush_att,1,,,,,
player,201612180crd,nor,KuhnJo00,rush_yds,1,,,,,
player,201612180crd,nor,KuhnJo00,rush_td,0,,,,,
player,201612180crd,nor,KuhnJo00,rush_long,1,,,,,
player,201612180crd,nor,KuhnJo00,targets,2,,,,,
player,201612180crd,nor,KuhnJo00,rec,2,,,,,
player,201612180crd,nor,KuhnJo00,rec_yds,1,,,,,
player,201612180crd,nor,KuhnJo00,rec_td,0,,,,,
player,201612180crd,nor,KuhnJo00,rec_long,3,,,,,
player,201612180crd,nor,KuhnJo00,fumbles,0,,,,,
player,201612180crd,nor,KuhnJo00,fumbles_lost,0,,,,,
player,201612180crd,nor,CookBr00,pass_cmp,0,,,,,
player,201612180crd,nor,CookBr00,pass_att,0,,,,,
player,201612180crd,nor,CookBr00,pass_yds,0,,,,,
