game,2016,16,20161224,201612240rai,clt,"Indianapolis Colts",25,rai,"Oakland Raiders",33
team,201612240rai,clt,First Downs,20,,,,,,
team,201612240rai,rai,First Downs,27,,,,,,
team,201612240rai,clt,Rush-Yds-TDs,24-102-1,,,,,,
team,201612240rai,rai,Rush-Yds-TDs,37-210-2,,,,,,
team,201612240rai,clt,Cmp-Att-Yd-TD-INT,19-29-288-2-2,,,,,,
team,201612240rai,rai,Cmp-Att-Yd-TD-INT,23-34-261-3-0,,,,,,
team,201612240rai,clt,Sacked-Yards,0-0,,,,,,
team,201612240rai,rai,Sacked-Yards,1-8,,,,,,
team,201612240rai,clt,Net Pass Yards,288,,,,,,
team,201612240rai,rai,Net Pass Yards,253,,,,,,
team,201612240rai,clt,Total Yards,390,,,,,,
team,201612240rai,rai,Total Yards,463,,,,,,
team,201612240rai,clt,Fumbles-Lost,1-1,,,,,,
team,201612240rai,rai,Fumbles-Lost,1-0,,,,,,
team,201612240rai,clt,Turnovers,3,,,,,,
team,201612240rai,rai,Turnovers,0,,,,,,
team,201612240rai,clt,Penalties-Yards,4-22,,,,,,
team,201612240rai,rai,Penalties-Yards,10-93,,,,,,
team,201612240rai,clt,Third Down Conv.,4-8,,,,,,
team,201612240rai,rai,Third Down Conv.,9-15,,,,,,
team,201612240rai,clt,Fourth Down Conv.,0-1,,,,,,
team,201612240rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201612240rai,clt,Time of Possession,23:55,,,,,,
team,201612240rai,rai,Time of Possession,36:05,,,,,,
player,201612240rai,clt,LuckAn00,pass_cmp,19,,,,,
player,201612240rai,clt,LuckAn00,pass_att,29,,,,,
player,201612240rai,clt,LuckAn00,pass_yds,288,,,,,
player,201612240rai,clt,LuckAn00,pass_td,2,,,,,
player,201612240rai,clt,LuckAn00,pass_int,2,,,,,
player,201612240rai,clt,LuckAn00,pass_sacked,0,,,,,
player,201612240rai,clt,LuckAn00,pass_sacked_yds,0,,,,,
player,201612240rai,clt,LuckAn00,pass_long,45,,,,,
player,201612240rai,clt,LuckAn00,pass_rating,92.3,,,,,
player,201612240rai,clt,LuckAn00,rush_att,4,,,,,
player,201612240rai,clt,LuckAn00,rush_yds,12,,,,,
