game,2016,3,20160925,201609250clt,sdg,"San Diego Chargers",22,clt,"Indianapolis Colts",26
team,201609250clt,sdg,First Downs,17,,,,,,
team,201609250clt,clt,First Downs,24,,,,,,
team,201609250clt,sdg,Rush-Yds-TDs,17-37-1,,,,,,
team,201609250clt,clt,Rush-Yds-TDs,26-93-2,,,,,,
team,201609250clt,sdg,Cmp-Att-Yd-TD-INT,26-39-326-0-0,,,,,,
team,201609250clt,clt,Cmp-Att-Yd-TD-INT,24-37-331-1-1,,,,,,
team,201609250clt,sdg,Sacked-Yards,2-11,,,,,,
team,201609250clt,clt,Sacked-Yards,2-14,,,,,,
team,201609250clt,sdg,Net Pass Yards,315,,,,,,
team,201609250clt,clt,Net Pass Yards,317,,,,,,
team,201609250clt,sdg,Total Yards,352,,,,,,
team,201609250clt,clt,Total Yards,410,,,,,,
team,201609250clt,sdg,Fumbles-Lost,4-3,,,,,,
team,201609250clt,clt,Fumbles-Lost,2-1,,,,,,
team,201609250clt,sdg,Turnovers,3,,,,,,
team,201609250clt,clt,Turnovers,2,,,,,,
team,201609250clt,sdg,Penalties-Yards,10-80,,,,,,
team,201609250clt,clt,Penalties-Yards,11-66,,,,,,
team,201609250clt,sdg,Third Down Conv.,4-11,,,,,,
team,201609250clt,clt,Third Down Conv.,2-9,,,,,,
team,201609250clt,sdg,Fourth Down Conv.,0-0,,,,,,
team,201609250clt,clt,Fourth Down Conv.,1-1,,,,,,
team,201609250clt,sdg,Time of Possession,27:17,,,,,,
team,201609250clt,clt,Time of Possession,32:43,,,,,,
player,201609250clt,sdg,RivePh00,pass_cmp,26,,,,,
player,201609250clt,sdg,RivePh00,pass_att,39,,,,,
player,201609250clt,sdg,RivePh00,pass_yds,326,,,,,
player,201609250clt,sdg,RivePh00,pass_td,0,,,,,
player,201609250clt,sdg,RivePh00,pass_int,0,,,,,
player,201609250clt,sdg,RivePh00,pass_sacked,2,,,,,
player,201609250clt,sdg,RivePh00,pass_sacked_yds,11,,,,,
player,201609250clt,sdg,RivePh00,pass_long,43,,,,,
player,201609250clt,sdg,RivePh00,pass_rating,92.5,,,,,
player,201609250clt,sdg,RivePh00,rush_att,1,,,,,
player,201609250clt,sdg,RivePh00,rush_yds,2,,,,,
player,201609250clt,sdg,RivePh00,rush_td,0,,,,,
player,201609250clt,sdg,RivePh00,rush_long,2,,,,,
player,201609250clt,sdg,RivePh00,targets,0,,,,,
player,201609250clt,sdg,RivePh00,rec,0,,,,,
player,201609250clt,sdg,RivePh00,rec_yds,0,,,,,
player,201609250clt,sdg,RivePh00,rec_td,0,,,,,
player,201609250clt,sdg,RivePh00,rec_long,0,,,,,
player,201609250clt,sdg,RivePh00,fumbles,1,,,,,
player,201609250clt,sdg,RivePh00,fumbles_lost,1,,,,,
