game,2016,16,20161224,201612240chi,was,"Washington Redskins",41,chi,"Chicago Bears",21
team,201612240chi,was,First Downs,21,,,,,,
team,201612240chi,chi,First Downs,31,,,,,,
team,201612240chi,was,Rush-Yds-TDs,35-208-4,,,,,,
team,201612240chi,chi,Rush-Yds-TDs,26-140-1,,,,,,
team,201612240chi,was,Cmp-Att-Yd-TD-INT,18-29-270-1-0,,,,,,
team,201612240chi,chi,Cmp-Att-Yd-TD-INT,24-40-323-2-5,,,,,,
team,201612240chi,was,Sacked-Yards,0-0,,,,,,
team,201612240chi,chi,Sacked-Yards,1-5,,,,,,
team,201612240chi,was,Net Pass Yards,270,,,,,,
team,201612240chi,chi,Net Pass Yards,318,,,,,,
team,201612240chi,was,Total Yards,478,,,,,,
team,201612240chi,chi,Total Yards,458,,,,,,
team,201612240chi,was,Fumbles-Lost,0-0,,,,,,
team,201612240chi,chi,Fumbles-Lost,0-0,,,,,,
team,201612240chi,was,Turnovers,0,,,,,,
team,201612240chi,chi,Turnovers,5,,,,,,
team,201612240chi,was,Penalties-Yards,7-73,,,,,,
team,201612240chi,chi,Penalties-Yards,4-52,,,,,,
team,201612240chi,was,Third Down Conv.,8-13,,,,,,
team,201612240chi,chi,Third Down Conv.,7-10,,,,,,
team,201612240chi,was,Fourth Down Conv.,0-1,,,,,,
team,201612240chi,chi,Fourth Down Conv.,1-1,,,,,,
team,201612240chi,was,Time of Possession,32:35,,,,,,
team,201612240chi,chi,Time of Possession,27:25,,,,,,
player,201612240chi,was,CousKi00,pass_cmp,18,,,,,
player,201612240chi,was,CousKi00,pass_att,29,,,,,
player,201612240chi,was,CousKi00,pass_yds,270,,,,,
player,201612240chi,was,CousKi00,pass_td,1,,,,,
player,201612240chi,was,CousKi00,pass_int,0,,,,,
player,201612240chi,was,CousKi00,pass_sacked,0,,,,,
player,201612240chi,was,CousKi00,pass_sacked_yds,0,,,,,
player,201612240chi,was,CousKi00,pass_long,57,,,,,
player,201612240chi,was,CousKi00,pass_rating,104.1,,,,,
player,201612240chi,was,CousKi00,rush_att,5,,,,,
player,201612240chi,was,CousKi00,rush_yds,30,,,,,
player,201612240chi,was,CousKi00,rush_td,2,,,,,
player,201612240chi,was,CousKi00,rush_long,13,,,,,
player,201612240chi,was,CousKi00,targets,0,,,,,
player,201612240chi,was,CousKi00,rec,0,,,,,
player,201612240chi,was,CousKi00,rec_yds,0,,,,,
player,201612240chi,was,CousKi00,rec_td,0,,,,,
