game,2016,1,20160911,201609110sea,mia,"Miami Dolphins",10,sea,"Seattle Seahawks",12
team,201609110sea,mia,First Downs,11,,,,,,
team,201609110sea,sea,First Downs,21,,,,,,
team,201609110sea,mia,Rush-Yds-TDs,20-64-1,,,,,,
team,201609110sea,sea,Rush-Yds-TDs,32-112-0,,,,,,
team,201609110sea,mia,Cmp-Att-Yd-TD-INT,16-29-186-0-0,,,,,,
team,201609110sea,sea,Cmp-Att-Yd-TD-INT,27-43-258-1-1,,,,,,
team,201609110sea,mia,Sacked-Yards,5-36,,,,,,
team,201609110sea,sea,Sacked-Yards,3-18,,,,,,
team,201609110sea,mia,Net Pass Yards,150,,,,,,
team,201609110sea,sea,Net Pass Yards,240,,,,,,
team,201609110sea,mia,Total Yards,214,,,,,,
team,201609110sea,sea,Total Yards,352,,,,,,
team,201609110sea,mia,Fumbles-Lost,2-0,,,,,,
team,201609110sea,sea,Fumbles-Lost,1-1,,,,,,
team,201609110sea,mia,Turnovers,0,,,,,,
team,201609110sea,sea,Turnovers,2,,,,,,
team,201609110sea,mia,Penalties-Yards,4-40,,,,,,
team,201609110sea,sea,Penalties-Yards,8-69,,,,,,
team,201609110sea,mia,Third Down Conv.,3-13,,,,,,
team,201609110sea,sea,Third Down Conv.,5-16,,,,,,
team,201609110sea,mia,Fourth Down Conv.,0-1,,,,,,
team,201609110sea,sea,Fourth Down Conv.,2-3,,,,,,
team,201609110sea,mia,Time of Possession,25:28,,,,,,
team,201609110sea,sea,Time of Possession,34:32,,,,,,
player,201609110sea,mia,TannRy00,pass_cmp,16,,,,,
player,201609110sea,mia,TannRy00,pass_att,29,,,,,
player,201609110sea,mia,TannRy00,pass_yds,186,,,,,
player,201609110sea,mia,TannRy00,pass_td,0,,,,,
player,201609110sea,mia,TannRy00,pass_int,0,,,,,
player,201609110sea,mia,TannRy00,pass_sacked,5,,,,,
player,201609110sea,mia,TannRy00,pass_sacked_yds,36,,,,,
player,201609110sea,mia,TannRy00,pass_long,50,,,,,
player,201609110sea,mia,TannRy00,pass_rating,74.8,,,,,
player,201609110sea,mia,TannRy00,rush_att,5,,,,,
player,201609110sea,mia,TannRy00,rush_yds,17,,,,,
player,201609110sea,mia,TannRy00,rush_td,1,,,,,
player,201609110sea,mia,TannRy00,rush_long,11,,,,,
player,201609110sea,mia,TannRy00,targets,0,,,,,
player,201609110sea,mia,TannRy00,rec,0,,,,,
player,201609110sea,mia,TannRy00,rec_yds,0,,,,,
player,201609110sea,mia,TannRy00,rec_td,0,,,,,
player,201609110sea,mia,TannRy00,rec_long,0,,,,,
player,201609110sea,mia,TannRy00,fumbles,1,,,,,
player,201609110sea,mia,TannRy00,fumbles_lost,0,,,,,
player,201609110sea,mia,FostAr00,pass_cmp,0,,,,,
player,201609110sea,mia,FostAr00,pass_att,0,,,,,
player,201609110sea,mia,FostAr00,pass_yds,0,,,,,
player,201609110sea,mia,FostAr00,pass_td,0,,,,,
player,201609110sea,mia,FostAr00,pass_int,0,,,,,
player,201609110sea,mia,FostAr00,pass_sacked,0,,,,,
player,201609110sea,mia,FostAr00,pass_sacked_yds,0,,,,,
player,201609110sea,mia,FostAr00,pass_long,0,,,,,
player,201609110sea,mia,FostAr00,pass_rating,,,,,,
player,201609110sea,mia,FostAr00,rush_att,13,,,,,
player,201609110sea,mia,FostAr00,rush_yds,38,,,,,
player,201609110sea,mia,FostAr00,rush_td,0,,,,,
player,201609110sea,mia,FostAr00,rush_long,9,,,,,
player,201609110sea,mia,FostAr00,targets,5,,,,,
player,201609110sea,mia,FostAr00,rec,3,,,,,
player,201609110sea,mia,FostAr00,rec_yds,62,,,,,
player,201609110sea,mia,FostAr00,rec_td,0,,,,,
player,201609110sea,mia,FostAr00,rec_long,50,,,,,
player,201609110sea,mia,FostAr00,fumbles,1,,,,,
player,201609110sea,mia,FostAr00,fumbles_lost,0,,,,,
player,201609110sea,mia,WillDa05,pass_cmp,0,,,,,
player,201609110sea,mia,WillDa05,pass_att,0,,,,,
player,201609110sea,mia,WillDa05,pass_yds,0,,,,,
player,201609110sea,mia,WillDa05,pass_td,0,,,,,
player,201609110sea,mia,WillDa05,pass_int,0,,,,,
player,201609110sea,mia,WillDa05,pass_sacked,0,,,,,
player,201609110sea,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201609110sea,mia,WillDa05,pass_long,0,,,,,
player,201609110sea,mia,WillDa05,pass_rating,,,,,,
player,201609110sea,mia,WillDa05,rush_att,2,,,,,
player,201609110sea,mia,WillDa05,rush_yds,9,,,,,
player,201609110sea,mia,WillDa05,rush_td,0,,,,,
player,201609110sea,mia,WillDa05,rush_long,5,,,,,
player,201609110sea,mia,WillDa05,targets,2,,,,,
player,201609110sea,mia,WillDa05,rec,1,,,,,
player,201609110sea,mia,WillDa05,rec_yds,29,,,,,
player,201609110sea,mia,WillDa05,rec_td,0,,,,,
player,201609110sea,mia,WillDa05,rec_long,29,,,,,
player,201609110sea,mia,WillDa05,fumbles,0,,,,,
player,201609110sea,mia,WillDa05,fumbles_lost,0,,,,,
player,201609110sea,mia,LandJa00,pass_cmp,0,,,,,
player,201609110sea,mia,LandJa00,pass_att,0,,,,,
player,201609110sea,mia,LandJa00,pass_yds,0,,,,,
player,201609110sea,mia,LandJa00,pass_td,0,,,,,
player,201609110sea,mia,LandJa00,pass_int,0,,,,,
player,201609110sea,mia,LandJa00,pass_sacked,0,,,,,
player,201609110sea,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201609110sea,mia,LandJa00,pass_long,0,,,,,
player,201609110sea,mia,LandJa00,pass_rating,,,,,,
player,201609110sea,mia,LandJa00,rush_att,0,,,,,
player,201609110sea,mia,LandJa00,rush_yds,0,,,,,
player,201609110sea,mia,LandJa00,rush_td,0,,,,,
player,201609110sea,mia,LandJa00,rush_long,0,,,,,
player,201609110sea,mia,LandJa00,targets,10,,,,,
player,201609110sea,mia,LandJa00,rec,7,,,,,
player,201609110sea,mia,LandJa00,rec_yds,59,,,,,
player,201609110sea,mia,LandJa00,rec_td,0,,,,,
player,201609110sea,mia,LandJa00,rec_long,28,,,,,
player,201609110sea,mia,LandJa00,fumbles,0,,,,,
player,201609110sea,mia,LandJa00,fumbles_lost,0,,,,,
player,201609110sea,mia,StilKe00,pass_cmp,0,,,,,
player,201609110sea,mia,StilKe00,pass_att,0,,,,,
player,201609110sea,mia,StilKe00,pass_yds,0,,,,,
player,201609110sea,mia,StilKe00,pass_td,0,,,,,
player,201609110sea,mia,StilKe00,pass_int,0,,,,,
player,201609110sea,mia,StilKe00,pass_sacked,0,,,,,
player,201609110sea,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201609110sea,mia,StilKe00,pass_long,0,,,,,
player,201609110sea,mia,StilKe00,pass_rating,,,,,,
player,201609110sea,mia,StilKe00,rush_att,0,,,,,
player,201609110sea,mia,StilKe00,rush_yds,0,,,,,
player,201609110sea,mia,StilKe00,rush_td,0,,,,,
player,201609110sea,mia,StilKe00,rush_long,0,,,,,
player,201609110sea,mia,StilKe00,targets,5,,,,,
player,201609110sea,mia,StilKe00,rec,1,,,,,
