game,2016,2,20160918,201609180nyg,nor,"New Orleans Saints",13,nyg,"New York Giants",16
player,201609180nyg,nor,KuhnJo00,pass_td,0,,,,,
player,201609180nyg,nor,KuhnJo00,pass_int,0,,,,,
player,201609180nyg,nor,KuhnJo00,pass_sacked,0,,,,,
player,201609180nyg,nor,KuhnJo00,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,KuhnJo00,pass_long,0,,,,,
player,201609180nyg,nor,KuhnJo00,pass_rating,,,,,,
player,201609180nyg,nor,KuhnJo00,rush_att,1,,,,,
player,201609180nyg,nor,KuhnJo00,rush_yds,2,,,,,
player,201609180nyg,nor,KuhnJo00,rush_td,0,,,,,
player,201609180nyg,nor,KuhnJo00,rush_long,2,,,,,
player,201609180nyg,nor,KuhnJo00,targets,2,,,,,
player,201609180nyg,nor,KuhnJo00,rec,2,,,,,
player,201609180nyg,nor,KuhnJo00,rec_yds,8,,,,,
player,201609180nyg,nor,KuhnJo00,rec_td,0,,,,,
player,201609180nyg,nor,KuhnJo00,rec_long,5,,,,,
player,201609180nyg,nor,KuhnJo00,fumbles,0,,,,,
player,201609180nyg,nor,KuhnJo00,fumbles_lost,0,,,,,
player,201609180nyg,nor,CookBr00,pass_cmp,0,,,,,
player,201609180nyg,nor,CookBr00,pass_att,0,,,,,
player,201609180nyg,nor,CookBr00,pass_yds,0,,,,,
player,201609180nyg,nor,CookBr00,pass_td,0,,,,,
player,201609180nyg,nor,CookBr00,pass_int,0,,,,,
player,201609180nyg,nor,CookBr00,pass_sacked,0,,,,,
player,201609180nyg,nor,CookBr00,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,CookBr00,pass_long,0,,,,,
player,201609180nyg,nor,CookBr00,pass_rating,,,,,,
player,201609180nyg,nor,CookBr00,rush_att,0,,,,,
player,201609180nyg,nor,CookBr00,rush_yds,0,,,,,
player,201609180nyg,nor,CookBr00,rush_td,0,,,,,
player,201609180nyg,nor,CookBr00,rush_long,0,,,,,
player,201609180nyg,nor,CookBr00,targets,9,,,,,
player,201609180nyg,nor,CookBr00,rec,7,,,,,
player,201609180nyg,nor,CookBr00,rec_yds,68,,,,,
player,201609180nyg,nor,CookBr00,rec_td,0,,,,,
player,201609180nyg,nor,CookBr00,rec_long,18,,,,,
player,201609180nyg,nor,CookBr00,fumbles,0,,,,,
player,201609180nyg,nor,CookBr00,fumbles_lost,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_cmp,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_att,0,,,,,
player,201609180nyg,nor,ThomMi05,pass_yds,0,,,,,
