game,2016,12,20161127,201611270chi,oti,"Tennessee Titans",27,chi,"Chicago Bears",21
team,201611270chi,oti,First Downs,18,,,,,,
team,201611270chi,chi,First Downs,25,,,,,,
team,201611270chi,oti,Rush-Yds-TDs,29-149-1,,,,,,
team,201611270chi,chi,Rush-Yds-TDs,22-95-0,,,,,,
team,201611270chi,oti,Cmp-Att-Yd-TD-INT,15-23-226-2-0,,,,,,
team,201611270chi,chi,Cmp-Att-Yd-TD-INT,28-54-316-3-2,,,,,,
team,201611270chi,oti,Sacked-Yards,0-0,,,,,,
team,201611270chi,chi,Sacked-Yards,0-0,,,,,,
team,201611270chi,oti,Net Pass Yards,226,,,,,,
team,201611270chi,chi,Net Pass Yards,316,,,,,,
team,201611270chi,oti,Total Yards,375,,,,,,
team,201611270chi,chi,Total Yards,411,,,,,,
team,201611270chi,oti,Fumbles-Lost,1-0,,,,,,
team,201611270chi,chi,Fumbles-Lost,2-0,,,,,,
team,201611270chi,oti,Turnovers,0,,,,,,
team,201611270chi,chi,Turnovers,2,,,,,,
team,201611270chi,oti,Penalties-Yards,6-118,,,,,,
team,201611270chi,chi,Penalties-Yards,7-48,,,,,,
team,201611270chi,oti,Third Down Conv.,5-11,,,,,,
team,201611270chi,chi,Third Down Conv.,9-17,,,,,,
team,201611270chi,oti,Fourth Down Conv.,0-0,,,,,,
team,201611270chi,chi,Fourth Down Conv.,1-3,,,,,,
team,201611270chi,oti,Time of Possession,29:25,,,,,,
team,201611270chi,chi,Time of Possession,30:35,,,,,,
player,201611270chi,oti,MariMa01,pass_cmp,15,,,,,
player,201611270chi,oti,MariMa01,pass_att,23,,,,,
player,201611270chi,oti,MariMa01,pass_yds,226,,,,,
player,201611270chi,oti,MariMa01,pass_td,2,,,,,
player,201611270chi,oti,MariMa01,pass_int,0,,,,,
player,201611270chi,oti,MariMa01,pass_sacked,0,,,,,
player,201611270chi,oti,MariMa01,pass_sacked_yds,0,,,,,
player,201611270chi,oti,MariMa01,pass_long,38,,,,,
player,201611270chi,oti,MariMa01,pass_rating,126.4,,,,,
player,201611270chi,oti,MariMa01,rush_att,4,,,,,
player,201611270chi,oti,MariMa01,rush_yds,46,,,,,
player,201611270chi,oti,MariMa01,rush_td,0,,,,,
player,201611270chi,oti,MariMa01,rush_long,29,,,,,
player,201611270chi,oti,MariMa01,targets,0,,,,,
player,201611270chi,oti,MariMa01,rec,0,,,,,
player,201611270chi,oti,MariMa01,rec_yds,0,,,,,
player,201611270chi,oti,MariMa01,rec_td,0,,,,,
player,201611270chi,oti,MariMa01,rec_long,0,,,,,
player,201611270chi,oti,MariMa01,fumbles,0,,,,,
player,201611270chi,oti,MariMa01,fumbles_lost,0,,,,,
player,201611270chi,oti,HenrDe00,pass_cmp,0,,,,,
player,201611270chi,oti,HenrDe00,pass_att,0,,,,,
player,201611270chi,oti,HenrDe00,pass_yds,0,,,,,
player,201611270chi,oti,HenrDe00,pass_td,0,,,,,
player,201611270chi,oti,HenrDe00,pass_int,0,,,,,
player,201611270chi,oti,HenrDe00,pass_sacked,0,,,,,
player,201611270chi,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201611270chi,oti,HenrDe00,pass_long,0,,,,,
player,201611270chi,oti,HenrDe00,pass_rating,,,,,,
player,201611270chi,oti,HenrDe00,rush_att,8,,,,,
player,201611270chi,oti,HenrDe00,rush_yds,60,,,,,
player,201611270chi,oti,HenrDe00,rush_td,1,,,,,
player,201611270chi,oti,HenrDe00,rush_long,17,,,,,
player,201611270chi,oti,HenrDe00,targets,0,,,,,
player,201611270chi,oti,HenrDe00,rec,0,,,,,
player,201611270chi,oti,HenrDe00,rec_yds,0,,,,,
player,201611270chi,oti,HenrDe00,rec_td,0,,,,,
player,201611270chi,oti,HenrDe00,rec_long,0,,,,,
player,201611270chi,oti,HenrDe00,fumbles,0,,,,,
player,201611270chi,oti,HenrDe00,fumbles_lost,0,,,,,
player,201611270chi,oti,MurrDe00,pass_cmp,0,,,,,
player,201611270chi,oti,MurrDe00,pass_att,0,,,,,
player,201611270chi,oti,MurrDe00,pass_yds,0,,,,,
player,201611270chi,oti,MurrDe00,pass_td,0,,,,,
player,201611270chi,oti,MurrDe00,pass_int,0,,,,,
player,201611270chi,oti,MurrDe00,pass_sacked,0,,,,,
player,201611270chi,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201611270chi,oti,MurrDe00,pass_long,0,,,,,
player,201611270chi,oti,MurrDe00,pass_rating,,,,,,
player,201611270chi,oti,MurrDe00,rush_att,17,,,,,
player,201611270chi,oti,MurrDe00,rush_yds,43,,,,,
player,201611270chi,oti,MurrDe00,rush_td,0,,,,,
player,201611270chi,oti,MurrDe00,rush_long,10,,,,,
player,201611270chi,oti,MurrDe00,targets,5,,,,,
player,201611270chi,oti,MurrDe00,rec,5,,,,,
