game,2016,15,20161218,201612180rav,phi,"Philadelphia Eagles",26,rav,"Baltimore Ravens",27
team,201612180rav,phi,First Downs,27,,,,,,
team,201612180rav,rav,First Downs,18,,,,,,
team,201612180rav,phi,Rush-Yds-TDs,38-169-2,,,,,,
team,201612180rav,rav,Rush-Yds-TDs,24-151-1,,,,,,
team,201612180rav,phi,Cmp-Att-Yd-TD-INT,22-42-170-0-1,,,,,,
team,201612180rav,rav,Cmp-Att-Yd-TD-INT,16-30-206-2-1,,,,,,
team,201612180rav,phi,Sacked-Yards,1-11,,,,,,
team,201612180rav,rav,Sacked-Yards,3-17,,,,,,
team,201612180rav,phi,Net Pass Yards,159,,,,,,
team,201612180rav,rav,Net Pass Yards,189,,,,,,
team,201612180rav,phi,Total Yards,328,,,,,,
team,201612180rav,rav,Total Yards,340,,,,,,
team,201612180rav,phi,Fumbles-Lost,3-0,,,,,,
team,201612180rav,rav,Fumbles-Lost,2-1,,,,,,
team,201612180rav,phi,Turnovers,1,,,,,,
team,201612180rav,rav,Turnovers,2,,,,,,
team,201612180rav,phi,Penalties-Yards,3-30,,,,,,
team,201612180rav,rav,Penalties-Yards,7-62,,,,,,
team,201612180rav,phi,Third Down Conv.,8-18,,,,,,
team,201612180rav,rav,Third Down Conv.,4-11,,,,,,
team,201612180rav,phi,Fourth Down Conv.,1-3,,,,,,
team,201612180rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201612180rav,phi,Time of Possession,36:38,,,,,,
team,201612180rav,rav,Time of Possession,23:22,,,,,,
player,201612180rav,phi,WentCa00,pass_cmp,22,,,,,
player,201612180rav,phi,WentCa00,pass_att,42,,,,,
player,201612180rav,phi,WentCa00,pass_yds,170,,,,,
player,201612180rav,phi,WentCa00,pass_td,0,,,,,
player,201612180rav,phi,WentCa00,pass_int,1,,,,,
player,201612180rav,phi,WentCa00,pass_sacked,1,,,,,
player,201612180rav,phi,WentCa00,pass_sacked_yds,11,,,,,
player,201612180rav,phi,WentCa00,pass_long,24,,,,,
player,201612180rav,phi,WentCa00,pass_rating,52.7,,,,,
player,201612180rav,phi,WentCa00,rush_att,4,,,,,
player,201612180rav,phi,WentCa00,rush_yds,8,,,,,
player,201612180rav,phi,WentCa00,rush_td,1,,,,,
player,201612180rav,phi,WentCa00,rush_long,5,,,,,
