game,2016,4,20161002,201610020htx,oti,"Tennessee Titans",20,htx,"Houston Texans",27
player,201610020htx,oti,MattRi00,pass_long,0,,,,,
player,201610020htx,oti,MattRi00,pass_rating,,,,,,
player,201610020htx,oti,MattRi00,rush_att,0,,,,,
player,201610020htx,oti,MattRi00,rush_yds,0,,,,,
player,201610020htx,oti,MattRi00,rush_td,0,,,,,
player,201610020htx,oti,MattRi00,rush_long,0,,,,,
player,201610020htx,oti,MattRi00,targets,2,,,,,
player,201610020htx,oti,MattRi00,rec,2,,,,,
player,201610020htx,oti,MattRi00,rec_yds,82,,,,,
player,201610020htx,oti,MattRi00,rec_td,0,,,,,
player,201610020htx,oti,MattRi00,rec_long,60,,,,,
player,201610020htx,oti,MattRi00,fumbles,0,,,,,
player,201610020htx,oti,MattRi00,fumbles_lost,0,,,,,
player,201610020htx,oti,WalkHu00,pass_cmp,0,,,,,
player,201610020htx,oti,WalkHu00,pass_att,0,,,,,
player,201610020htx,oti,WalkHu00,pass_yds,0,,,,,
player,201610020htx,oti,WalkHu00,pass_td,0,,,,,
player,201610020htx,oti,WalkHu00,pass_int,0,,,,,
player,201610020htx,oti,WalkHu00,pass_sacked,0,,,,,
player,201610020htx,oti,WalkHu00,pass_sacked_yds,0,,,,,
player,201610020htx,oti,WalkHu00,pass_long,0,,,,,
player,201610020htx,oti,WalkHu00,pass_rating,,,,,,
player,201610020htx,oti,WalkHu00,rush_att,0,,,,,
player,201610020htx,oti,WalkHu00,rush_yds,0,,,,,
player,201610020htx,oti,WalkHu00,rush_td,0,,,,,
player,201610020htx,oti,WalkHu00,rush_long,0,,,,,
player,201610020htx,oti,WalkHu00,targets,8,,,,,
player,201610020htx,oti,WalkHu00,rec,2,,,,,
player,201610020htx,oti,WalkHu00,rec_yds,34,,,,,
player,201610020htx,oti,WalkHu00,rec_td,0,,,,,
player,201610020htx,oti,WalkHu00,rec_long,24,,,,,
player,201610020htx,oti,WalkHu00,fumbles,0,,,,,
player,201610020htx,oti,WalkHu00,fumbles_lost,0,,,,,
player,201610020htx,oti,JohnAn02,pass_cmp,0,,,,,
player,201610020htx,oti,JohnAn02,pass_att,0,,,,,
player,201610020htx,oti,JohnAn02,pass_yds,0,,,,,
player,201610020htx,oti,JohnAn02,pass_td,0,,,,,
player,201610020htx,oti,JohnAn02,pass_int,0,,,,,
player,201610020htx,oti,JohnAn02,pass_sacked,0,,,,,
player,201610020htx,oti,JohnAn02,pass_sacked_yds,0,,,,,
player,201610020htx,oti,JohnAn02,pass_long,0,,,,,
player,201610020htx,oti,JohnAn02,pass_rating,,,,,,
player,201610020htx,oti,JohnAn02,rush_att,0,,,,,
