game,2016,12,20161127,201611270mia,sfo,"San Francisco 49ers",24,mia,"Miami Dolphins",31
team,201611270mia,sfo,First Downs,25,,,,,,
team,201611270mia,mia,First Downs,19,,,,,,
team,201611270mia,sfo,Rush-Yds-TDs,25-193-0,,,,,,
team,201611270mia,mia,Rush-Yds-TDs,26-95-1,,,,,,
team,201611270mia,sfo,Cmp-Att-Yd-TD-INT,29-46-296-3-1,,,,,,
team,201611270mia,mia,Cmp-Att-Yd-TD-INT,20-30-285-3-0,,,,,,
team,201611270mia,sfo,Sacked-Yards,2-14,,,,,,
team,201611270mia,mia,Sacked-Yards,2-22,,,,,,
team,201611270mia,sfo,Net Pass Yards,282,,,,,,
team,201611270mia,mia,Net Pass Yards,263,,,,,,
team,201611270mia,sfo,Total Yards,475,,,,,,
team,201611270mia,mia,Total Yards,358,,,,,,
team,201611270mia,sfo,Fumbles-Lost,1-1,,,,,,
team,201611270mia,mia,Fumbles-Lost,2-0,,,,,,
team,201611270mia,sfo,Turnovers,2,,,,,,
team,201611270mia,mia,Turnovers,0,,,,,,
team,201611270mia,sfo,Penalties-Yards,7-65,,,,,,
team,201611270mia,mia,Penalties-Yards,4-42,,,,,,
team,201611270mia,sfo,Third Down Conv.,7-14,,,,,,
team,201611270mia,mia,Third Down Conv.,6-12,,,,,,
team,201611270mia,sfo,Fourth Down Conv.,2-2,,,,,,
team,201611270mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201611270mia,sfo,Time of Possession,29:28,,,,,,
team,201611270mia,mia,Time of Possession,30:32,,,,,,
player,201611270mia,sfo,KaepCo00,pass_cmp,29,,,,,
player,201611270mia,sfo,KaepCo00,pass_att,46,,,,,
player,201611270mia,sfo,KaepCo00,pass_yds,296,,,,,
player,201611270mia,sfo,KaepCo00,pass_td,3,,,,,
player,201611270mia,sfo,KaepCo00,pass_int,1,,,,,
player,201611270mia,sfo,KaepCo00,pass_sacked,2,,,,,
player,201611270mia,sfo,KaepCo00,pass_sacked_yds,14,,,,,
player,201611270mia,sfo,KaepCo00,pass_long,35,,,,,
player,201611270mia,sfo,KaepCo00,pass_rating,94.1,,,,,
player,201611270mia,sfo,KaepCo00,rush_att,10,,,,,
player,201611270mia,sfo,KaepCo00,rush_yds,113,,,,,
player,201611270mia,sfo,KaepCo00,rush_td,0,,,,,
player,201611270mia,sfo,KaepCo00,rush_long,30,,,,,
player,201611270mia,sfo,KaepCo00,targets,0,,,,,
player,201611270mia,sfo,KaepCo00,rec,0,,,,,
player,201611270mia,sfo,KaepCo00,rec_yds,0,,,,,
player,201611270mia,sfo,KaepCo00,rec_td,0,,,,,
player,201611270mia,sfo,KaepCo00,rec_long,0,,,,,
player,201611270mia,sfo,KaepCo00,fumbles,0,,,,,
player,201611270mia,sfo,KaepCo00,fumbles_lost,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_cmp,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_att,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_yds,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_td,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_int,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_sacked,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_sacked_yds,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_long,0,,,,,
player,201611270mia,sfo,HydeCa00,pass_rating,,,,,,
player,201611270mia,sfo,HydeCa00,rush_att,13,,,,,
player,201611270mia,sfo,HydeCa00,rush_yds,65,,,,,
player,201611270mia,sfo,HydeCa00,rush_td,0,,,,,
player,201611270mia,sfo,HydeCa00,rush_long,24,,,,,
player,201611270mia,sfo,HydeCa00,targets,6,,,,,
player,201611270mia,sfo,HydeCa00,rec,5,,,,,
player,201611270mia,sfo,HydeCa00,rec_yds,30,,,,,
player,201611270mia,sfo,HydeCa00,rec_td,1,,,,,
player,201611270mia,sfo,HydeCa00,rec_long,11,,,,,
player,201611270mia,sfo,HydeCa00,fumbles,0,,,,,
player,201611270mia,sfo,HydeCa00,fumbles_lost,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_cmp,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_att,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_yds,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_td,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_int,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_sacked,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_sacked_yds,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_long,0,,,,,
player,201611270mia,sfo,HarrDu01,pass_rating,,,,,,
player,201611270mia,sfo,HarrDu01,rush_att,2,,,,,
player,201611270mia,sfo,HarrDu01,rush_yds,15,,,,,
player,201611270mia,sfo,HarrDu01,rush_td,0,,,,,
player,201611270mia,sfo,HarrDu01,rush_long,8,,,,,
player,201611270mia,sfo,HarrDu01,targets,0,,,,,
player,201611270mia,sfo,HarrDu01,rec,0,,,,,
player,201611270mia,sfo,HarrDu01,rec_yds,0,,,,,
player,201611270mia,sfo,HarrDu01,rec_td,0,,,,,
player,201611270mia,sfo,HarrDu01,rec_long,0,,,,,
player,201611270mia,sfo,HarrDu01,fumbles,0,,,,,
player,201611270mia,sfo,HarrDu01,fumbles_lost,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_cmp,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_att,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_yds,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_td,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_int,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_sacked,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_sacked_yds,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_long,0,,,,,
player,201611270mia,sfo,McDoVa00,pass_rating,,,,,,
player,201611270mia,sfo,McDoVa00,rush_att,0,,,,,
player,201611270mia,sfo,McDoVa00,rush_yds,0,,,,,
player,201611270mia,sfo,McDoVa00,rush_td,0,,,,,
player,201611270mia,sfo,McDoVa00,rush_long,0,,,,,
player,201611270mia,sfo,McDoVa00,targets,8,,,,,
player,201611270mia,sfo,McDoVa00,rec,4,,,,,
player,201611270mia,sfo,McDoVa00,rec_yds,60,,,,,
player,201611270mia,sfo,McDoVa00,rec_td,0,,,,,
player,201611270mia,sfo,McDoVa00,rec_long,35,,,,,
player,201611270mia,sfo,McDoVa00,fumbles,0,,,,,
player,201611270mia,sfo,McDoVa00,fumbles_lost,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_cmp,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_att,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_yds,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_td,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_int,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_sacked,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_sacked_yds,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_long,0,,,,,
player,201611270mia,sfo,DrauSh00,pass_rating,,,,,,
player,201611270mia,sfo,DrauSh00,rush_att,0,,,,,
player,201611270mia,sfo,DrauSh00,rush_yds,0,,,,,
player,201611270mia,sfo,DrauSh00,rush_td,0,,,,,
player,201611270mia,sfo,DrauSh00,rush_long,0,,,,,
player,201611270mia,sfo,DrauSh00,targets,6,,,,,
player,201611270mia,sfo,DrauSh00,rec,6,,,,,
player,201611270mia,sfo,DrauSh00,rec_yds,49,,,,,
player,201611270mia,sfo,DrauSh00,rec_td,0,,,,,
player,201611270mia,sfo,DrauSh00,rec_long,16,,,,,
player,201611270mia,sfo,DrauSh00,fumbles,0,,,,,
player,201611270mia,sfo,DrauSh00,fumbles_lost,0,,,,,
player,201611270mia,sfo,StreRo00,pass_cmp,0,,,,,
player,201611270mia,sfo,StreRo00,pass_att,0,,,,,
player,201611270mia,sfo,StreRo00,pass_yds,0,,,,,
player,201611270mia,sfo,StreRo00,pass_td,0,,,,,
player,201611270mia,sfo,StreRo00,pass_int,0,,,,,
player,201611270mia,sfo,StreRo00,pass_sacked,0,,,,,
player,201611270mia,sfo,StreRo00,pass_sacked_yds,0,,,,,
player,201611270mia,sfo,StreRo00,pass_long,0,,,,,
player,201611270mia,sfo,StreRo00,pass_rating,,,,,,
player,201611270mia,sfo,StreRo00,rush_att,0,,,,,
player,201611270mia,sfo,StreRo00,rush_yds,0,,,,,
player,201611270mia,sfo,StreRo00,rush_td,0,,,,,
player,201611270mia,sfo,StreRo00,rush_long,0,,,,,
player,201611270mia,sfo,StreRo00,targets,5,,,,,
player,201611270mia,sfo,StreRo00,rec,4,,,,,
player,201611270mia,sfo,StreRo00,rec_yds,46,,,,,
player,201611270mia,sfo,StreRo00,rec_td,0,,,,,
player,201611270mia,sfo,StreRo00,rec_long,25,,,,,
player,201611270mia,sfo,StreRo00,fumbles,0,,,,,
player,201611270mia,sfo,StreRo00,fumbles_lost,0,,,,,
player,201611270mia,sfo,HarpCh01,pass_cmp,0,,,,,
player,201611270mia,sfo,HarpCh01,pass_att,0,,,,,
player,201611270mia,sfo,HarpCh01,pass_yds,0,,,,,
