game,2016,2,20160918,201609180den,clt,"Indianapolis Colts",20,den,"Denver Broncos",34
team,201609180den,clt,First Downs,19,,,,,,
team,201609180den,den,First Downs,24,,,,,,
team,201609180den,clt,Rush-Yds-TDs,21-83-1,,,,,,
team,201609180den,den,Rush-Yds-TDs,31-134-1,,,,,,
team,201609180den,clt,Cmp-Att-Yd-TD-INT,21-40-197-1-1,,,,,,
team,201609180den,den,Cmp-Att-Yd-TD-INT,22-33-266-0-1,,,,,,
team,201609180den,clt,Sacked-Yards,5-27,,,,,,
team,201609180den,den,Sacked-Yards,1-0,,,,,,
team,201609180den,clt,Net Pass Yards,170,,,,,,
team,201609180den,den,Net Pass Yards,266,,,,,,
team,201609180den,clt,Total Yards,253,,,,,,
team,201609180den,den,Total Yards,400,,,,,,
team,201609180den,clt,Fumbles-Lost,1-1,,,,,,
team,201609180den,den,Fumbles-Lost,0-0,,,,,,
team,201609180den,clt,Turnovers,2,,,,,,
team,201609180den,den,Turnovers,1,,,,,,
team,201609180den,clt,Penalties-Yards,8-94,,,,,,
team,201609180den,den,Penalties-Yards,8-54,,,,,,
team,201609180den,clt,Third Down Conv.,6-14,,,,,,
team,201609180den,den,Third Down Conv.,5-11,,,,,,
team,201609180den,clt,Fourth Down Conv.,1-1,,,,,,
team,201609180den,den,Fourth Down Conv.,0-0,,,,,,
team,201609180den,clt,Time of Possession,29:19,,,,,,
team,201609180den,den,Time of Possession,30:41,,,,,,
player,201609180den,clt,LuckAn00,pass_cmp,21,,,,,
player,201609180den,clt,LuckAn00,pass_att,40,,,,,
player,201609180den,clt,LuckAn00,pass_yds,197,,,,,
player,201609180den,clt,LuckAn00,pass_td,1,,,,,
player,201609180den,clt,LuckAn00,pass_int,1,,,,,
player,201609180den,clt,LuckAn00,pass_sacked,5,,,,,
player,201609180den,clt,LuckAn00,pass_sacked_yds,27,,,,,
player,201609180den,clt,LuckAn00,pass_long,30,,,,,
player,201609180den,clt,LuckAn00,pass_rating,64.3,,,,,
player,201609180den,clt,LuckAn00,rush_att,3,,,,,
player,201609180den,clt,LuckAn00,rush_yds,22,,,,,
player,201609180den,clt,LuckAn00,rush_td,0,,,,,
player,201609180den,clt,LuckAn00,rush_long,21,,,,,
player,201609180den,clt,LuckAn00,targets,0,,,,,
player,201609180den,clt,LuckAn00,rec,0,,,,,
player,201609180den,clt,LuckAn00,rec_yds,0,,,,,
player,201609180den,clt,LuckAn00,rec_td,0,,,,,
player,201609180den,clt,LuckAn00,rec_long,0,,,,,
player,201609180den,clt,LuckAn00,fumbles,1,,,,,
player,201609180den,clt,LuckAn00,fumbles_lost,1,,,,,
player,201609180den,clt,GoreFr00,pass_cmp,0,,,,,
player,201609180den,clt,GoreFr00,pass_att,0,,,,,
player,201609180den,clt,GoreFr00,pass_yds,0,,,,,
player,201609180den,clt,GoreFr00,pass_td,0,,,,,
player,201609180den,clt,GoreFr00,pass_int,0,,,,,
player,201609180den,clt,GoreFr00,pass_sacked,0,,,,,
player,201609180den,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201609180den,clt,GoreFr00,pass_long,0,,,,,
player,201609180den,clt,GoreFr00,pass_rating,,,,,,
player,201609180den,clt,GoreFr00,rush_att,13,,,,,
player,201609180den,clt,GoreFr00,rush_yds,44,,,,,
player,201609180den,clt,GoreFr00,rush_td,0,,,,,
player,201609180den,clt,GoreFr00,rush_long,8,,,,,
player,201609180den,clt,GoreFr00,targets,3,,,,,
player,201609180den,clt,GoreFr00,rec,3,,,,,
player,201609180den,clt,GoreFr00,rec_yds,19,,,,,
player,201609180den,clt,GoreFr00,rec_td,1,,,,,
player,201609180den,clt,GoreFr00,rec_long,7,,,,,
player,201609180den,clt,GoreFr00,fumbles,0,,,,,
player,201609180den,clt,GoreFr00,fumbles_lost,0,,,,,
player,201609180den,clt,TurbRo00,pass_cmp,0,,,,,
player,201609180den,clt,TurbRo00,pass_att,0,,,,,
player,201609180den,clt,TurbRo00,pass_yds,0,,,,,
player,201609180den,clt,TurbRo00,pass_td,0,,,,,
player,201609180den,clt,TurbRo00,pass_int,0,,,,,
player,201609180den,clt,TurbRo00,pass_sacked,0,,,,,
player,201609180den,clt,TurbRo00,pass_sacked_yds,0,,,,,
player,201609180den,clt,TurbRo00,pass_long,0,,,,,
player,201609180den,clt,TurbRo00,pass_rating,,,,,,
player,201609180den,clt,TurbRo00,rush_att,3,,,,,
player,201609180den,clt,TurbRo00,rush_yds,10,,,,,
player,201609180den,clt,TurbRo00,rush_td,1,,,,,
player,201609180den,clt,TurbRo00,rush_long,5,,,,,
player,201609180den,clt,TurbRo00,targets,1,,,,,
player,201609180den,clt,TurbRo00,rec,0,,,,,
player,201609180den,clt,TurbRo00,rec_yds,0,,,,,
player,201609180den,clt,TurbRo00,rec_td,0,,,,,
player,201609180den,clt,TurbRo00,rec_long,0,,,,,
player,201609180den,clt,TurbRo00,fumbles,0,,,,,
player,201609180den,clt,TurbRo00,fumbles_lost,0,,,,,
player,201609180den,clt,FergJo02,pass_cmp,0,,,,,
player,201609180den,clt,FergJo02,pass_att,0,,,,,
player,201609180den,clt,FergJo02,pass_yds,0,,,,,
player,201609180den,clt,FergJo02,pass_td,0,,,,,
player,201609180den,clt,FergJo02,pass_int,0,,,,,
player,201609180den,clt,FergJo02,pass_sacked,0,,,,,
player,201609180den,clt,FergJo02,pass_sacked_yds,0,,,,,
player,201609180den,clt,FergJo02,pass_long,0,,,,,
player,201609180den,clt,FergJo02,pass_rating,,,,,,
player,201609180den,clt,FergJo02,rush_att,2,,,,,
player,201609180den,clt,FergJo02,rush_yds,7,,,,,
player,201609180den,clt,FergJo02,rush_td,0,,,,,
player,201609180den,clt,FergJo02,rush_long,6,,,,,
player,201609180den,clt,FergJo02,targets,5,,,,,
player,201609180den,clt,FergJo02,rec,5,,,,,
player,201609180den,clt,FergJo02,rec_yds,29,,,,,
player,201609180den,clt,FergJo02,rec_td,0,,,,,
player,201609180den,clt,FergJo02,rec_long,11,,,,,
