game,2016,12,20161127,201611270den,kan,"Kansas City Chiefs",30,den,"Denver Broncos",27
team,201611270den,kan,First Downs,23,,,,,,
team,201611270den,den,First Downs,21,,,,,,
team,201611270den,kan,Rush-Yds-TDs,26-83-1,,,,,,
team,201611270den,den,Rush-Yds-TDs,38-124-0,,,,,,
team,201611270den,kan,Cmp-Att-Yd-TD-INT,26-44-220-1-0,,,,,,
team,201611270den,den,Cmp-Att-Yd-TD-INT,20-34-368-3-0,,,,,,
team,201611270den,kan,Sacked-Yards,6-30,,,,,,
team,201611270den,den,Sacked-Yards,5-28,,,,,,
team,201611270den,kan,Net Pass Yards,190,,,,,,
team,201611270den,den,Net Pass Yards,340,,,,,,
team,201611270den,kan,Total Yards,273,,,,,,
team,201611270den,den,Total Yards,464,,,,,,
team,201611270den,kan,Fumbles-Lost,0-0,,,,,,
team,201611270den,den,Fumbles-Lost,3-1,,,,,,
team,201611270den,kan,Turnovers,0,,,,,,
team,201611270den,den,Turnovers,1,,,,,,
team,201611270den,kan,Penalties-Yards,9-71,,,,,,
team,201611270den,den,Penalties-Yards,15-97,,,,,,
team,201611270den,kan,Third Down Conv.,5-17,,,,,,
team,201611270den,den,Third Down Conv.,9-20,,,,,,
team,201611270den,kan,Fourth Down Conv.,1-1,,,,,,
team,201611270den,den,Fourth Down Conv.,1-1,,,,,,
team,201611270den,kan,Time of Possession,37:39,,,,,,
team,201611270den,den,Time of Possession,37:19,,,,,,
player,201611270den,kan,SmitAl03,pass_cmp,26,,,,,
player,201611270den,kan,SmitAl03,pass_att,44,,,,,
player,201611270den,kan,SmitAl03,pass_yds,220,,,,,
player,201611270den,kan,SmitAl03,pass_td,1,,,,,
player,201611270den,kan,SmitAl03,pass_int,0,,,,,
player,201611270den,kan,SmitAl03,pass_sacked,6,,,,,
player,201611270den,kan,SmitAl03,pass_sacked_yds,30,,,,,
player,201611270den,kan,SmitAl03,pass_long,21,,,,,
player,201611270den,kan,SmitAl03,pass_rating,79.7,,,,,
player,201611270den,kan,SmitAl03,rush_att,2,,,,,
player,201611270den,kan,SmitAl03,rush_yds,2,,,,,
player,201611270den,kan,SmitAl03,rush_td,0,,,,,
player,201611270den,kan,SmitAl03,rush_long,3,,,,,
player,201611270den,kan,SmitAl03,targets,0,,,,,
player,201611270den,kan,SmitAl03,rec,0,,,,,
player,201611270den,kan,SmitAl03,rec_yds,0,,,,,
player,201611270den,kan,SmitAl03,rec_td,0,,,,,
player,201611270den,kan,SmitAl03,rec_long,0,,,,,
player,201611270den,kan,SmitAl03,fumbles,0,,,,,
player,201611270den,kan,SmitAl03,fumbles_lost,0,,,,,
player,201611270den,kan,WareSp00,pass_cmp,0,,,,,
player,201611270den,kan,WareSp00,pass_att,0,,,,,
player,201611270den,kan,WareSp00,pass_yds,0,,,,,
player,201611270den,kan,WareSp00,pass_td,0,,,,,
player,201611270den,kan,WareSp00,pass_int,0,,,,,
player,201611270den,kan,WareSp00,pass_sacked,0,,,,,
player,201611270den,kan,WareSp00,pass_sacked_yds,0,,,,,
player,201611270den,kan,WareSp00,pass_long,0,,,,,
player,201611270den,kan,WareSp00,pass_rating,,,,,,
player,201611270den,kan,WareSp00,rush_att,17,,,,,
player,201611270den,kan,WareSp00,rush_yds,64,,,,,
player,201611270den,kan,WareSp00,rush_td,0,,,,,
player,201611270den,kan,WareSp00,rush_long,7,,,,,
player,201611270den,kan,WareSp00,targets,2,,,,,
player,201611270den,kan,WareSp00,rec,2,,,,,
player,201611270den,kan,WareSp00,rec_yds,32,,,,,
player,201611270den,kan,WareSp00,rec_td,0,,,,,
player,201611270den,kan,WareSp00,rec_long,18,,,,,
player,201611270den,kan,WareSp00,fumbles,0,,,,,
player,201611270den,kan,WareSp00,fumbles_lost,0,,,,,
player,201611270den,kan,WestCh01,pass_cmp,0,,,,,
player,201611270den,kan,WestCh01,pass_att,0,,,,,
player,201611270den,kan,WestCh01,pass_yds,0,,,,,
player,201611270den,kan,WestCh01,pass_td,0,,,,,
player,201611270den,kan,WestCh01,pass_int,0,,,,,
player,201611270den,kan,WestCh01,pass_sacked,0,,,,,
player,201611270den,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201611270den,kan,WestCh01,pass_long,0,,,,,
player,201611270den,kan,WestCh01,pass_rating,,,,,,
player,201611270den,kan,WestCh01,rush_att,3,,,,,
player,201611270den,kan,WestCh01,rush_yds,8,,,,,
player,201611270den,kan,WestCh01,rush_td,0,,,,,
player,201611270den,kan,WestCh01,rush_long,4,,,,,
player,201611270den,kan,WestCh01,targets,1,,,,,
player,201611270den,kan,WestCh01,rec,0,,,,,
player,201611270den,kan,WestCh01,rec_yds,0,,,,,
player,201611270den,kan,WestCh01,rec_td,0,,,,,
player,201611270den,kan,WestCh01,rec_long,0,,,,,
player,201611270den,kan,WestCh01,fumbles,0,,,,,
player,201611270den,kan,WestCh01,fumbles_lost,0,,,,,
player,201611270den,kan,DaviKn00,pass_cmp,0,,,,,
player,201611270den,kan,DaviKn00,pass_att,0,,,,,
player,201611270den,kan,DaviKn00,pass_yds,0,,,,,
player,201611270den,kan,DaviKn00,pass_td,0,,,,,
player,201611270den,kan,DaviKn00,pass_int,0,,,,,
player,201611270den,kan,DaviKn00,pass_sacked,0,,,,,
player,201611270den,kan,DaviKn00,pass_sacked_yds,0,,,,,
player,201611270den,kan,DaviKn00,pass_long,0,,,,,
player,201611270den,kan,DaviKn00,pass_rating,,,,,,
