game,2016,15,20161218,201612180min,clt,"Indianapolis Colts",34,min,"Minnesota Vikings",6
player,201612180min,clt,TodmJo00,fumbles_lost,0,,,,,
player,201612180min,clt,FergJo02,pass_cmp,0,,,,,
player,201612180min,clt,FergJo02,pass_att,0,,,,,
player,201612180min,clt,FergJo02,pass_yds,0,,,,,
player,201612180min,clt,FergJo02,pass_td,0,,,,,
player,201612180min,clt,FergJo02,pass_int,0,,,,,
player,201612180min,clt,FergJo02,pass_sacked,0,,,,,
player,201612180min,clt,FergJo02,pass_sacked_yds,0,,,,,
player,201612180min,clt,FergJo02,pass_long,0,,,,,
player,201612180min,clt,FergJo02,pass_rating,,,,,,
player,201612180min,clt,FergJo02,rush_att,2,,,,,
player,201612180min,clt,FergJo02,rush_yds,1,,,,,
player,201612180min,clt,FergJo02,rush_td,0,,,,,
player,201612180min,clt,FergJo02,rush_long,1,,,,,
player,201612180min,clt,FergJo02,targets,0,,,,,
player,201612180min,clt,FergJo02,rec,0,,,,,
player,201612180min,clt,FergJo02,rec_yds,0,,,,,
player,201612180min,clt,FergJo02,rec_td,0,,,,,
player,201612180min,clt,FergJo02,rec_long,0,,,,,
player,201612180min,clt,FergJo02,fumbles,0,,,,,
player,201612180min,clt,FergJo02,fumbles_lost,0,,,,,
player,201612180min,clt,SwooEr00,pass_cmp,0,,,,,
player,201612180min,clt,SwooEr00,pass_att,0,,,,,
player,201612180min,clt,SwooEr00,pass_yds,0,,,,,
player,201612180min,clt,SwooEr00,pass_td,0,,,,,
player,201612180min,clt,SwooEr00,pass_int,0,,,,,
player,201612180min,clt,SwooEr00,pass_sacked,0,,,,,
player,201612180min,clt,SwooEr00,pass_sacked_yds,0,,,,,
player,201612180min,clt,SwooEr00,pass_long,0,,,,,
player,201612180min,clt,SwooEr00,pass_rating,,,,,,
player,201612180min,clt,SwooEr00,rush_att,0,,,,,
player,201612180min,clt,SwooEr00,rush_yds,0,,,,,
player,201612180min,clt,SwooEr00,rush_td,0,,,,,
player,201612180min,clt,SwooEr00,rush_long,0,,,,,
player,201612180min,clt,SwooEr00,targets,3,,,,,
player,201612180min,clt,SwooEr00,rec,3,,,,,
player,201612180min,clt,SwooEr00,rec_yds,50,,,,,
player,201612180min,clt,SwooEr00,rec_td,1,,,,,
player,201612180min,clt,SwooEr00,rec_long,27,,,,,
player,201612180min,clt,SwooEr00,fumbles,0,,,,,
player,201612180min,clt,SwooEr00,fumbles_lost,0,,,,,
player,201612180min,clt,DorsPh00,pass_cmp,0,,,,,
player,201612180min,clt,DorsPh00,pass_att,0,,,,,
player,201612180min,clt,DorsPh00,pass_yds,0,,,,,
player,201612180min,clt,DorsPh00,pass_td,0,,,,,
player,201612180min,clt,DorsPh00,pass_int,0,,,,,
player,201612180min,clt,DorsPh00,pass_sacked,0,,,,,
player,201612180min,clt,DorsPh00,pass_sacked_yds,0,,,,,
player,201612180min,clt,DorsPh00,pass_long,0,,,,,
player,201612180min,clt,DorsPh00,pass_rating,,,,,,
player,201612180min,clt,DorsPh00,rush_att,0,,,,,
player,201612180min,clt,DorsPh00,rush_yds,0,,,,,
player,201612180min,clt,DorsPh00,rush_td,0,,,,,
player,201612180min,clt,DorsPh00,rush_long,0,,,,,
player,201612180min,clt,DorsPh00,targets,1,,,,,
player,201612180min,clt,DorsPh00,rec,1,,,,,
player,201612180min,clt,DorsPh00,rec_yds,50,,,,,
player,201612180min,clt,DorsPh00,rec_td,1,,,,,
player,201612180min,clt,DorsPh00,rec_long,50,,,,,
player,201612180min,clt,DorsPh00,fumbles,0,,,,,
player,201612180min,clt,DorsPh00,fumbles_lost,0,,,,,
player,201612180min,clt,HiltT.00,pass_cmp,0,,,,,
player,201612180min,clt,HiltT.00,pass_att,0,,,,,
player,201612180min,clt,HiltT.00,pass_yds,0,,,,,
player,201612180min,clt,HiltT.00,pass_td,0,,,,,
player,201612180min,clt,HiltT.00,pass_int,0,,,,,
player,201612180min,clt,HiltT.00,pass_sacked,0,,,,,
player,201612180min,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201612180min,clt,HiltT.00,pass_long,0,,,,,
player,201612180min,clt,HiltT.00,pass_rating,,,,,,
player,201612180min,clt,HiltT.00,rush_att,0,,,,,
player,201612180min,clt,HiltT.00,rush_yds,0,,,,,
player,201612180min,clt,HiltT.00,rush_td,0,,,,,
player,201612180min,clt,HiltT.00,rush_long,0,,,,,
player,201612180min,clt,HiltT.00,targets,7,,,,,
player,201612180min,clt,HiltT.00,rec,3,,,,,
player,201612180min,clt,HiltT.00,rec_yds,45,,,,,
player,201612180min,clt,HiltT.00,rec_td,0,,,,,
player,201612180min,clt,HiltT.00,rec_long,31,,,,,
player,201612180min,clt,HiltT.00,fumbles,0,,,,,
player,201612180min,clt,HiltT.00,fumbles_lost,0,,,,,
player,201612180min,clt,DoylJa00,pass_cmp,0,,,,,
player,201612180min,clt,DoylJa00,pass_att,0,,,,,
player,201612180min,clt,DoylJa00,pass_yds,0,,,,,
player,201612180min,clt,DoylJa00,pass_td,0,,,,,
player,201612180min,clt,DoylJa00,pass_int,0,,,,,
player,201612180min,clt,DoylJa00,pass_sacked,0,,,,,
player,201612180min,clt,DoylJa00,pass_sacked_yds,0,,,,,
player,201612180min,clt,DoylJa00,pass_long,0,,,,,
player,201612180min,clt,DoylJa00,pass_rating,,,,,,
player,201612180min,clt,DoylJa00,rush_att,0,,,,,
player,201612180min,clt,DoylJa00,rush_yds,0,,,,,
player,201612180min,clt,DoylJa00,rush_td,0,,,,,
player,201612180min,clt,DoylJa00,rush_long,0,,,,,
player,201612180min,clt,DoylJa00,targets,4,,,,,
player,201612180min,clt,DoylJa00,rec,4,,,,,
player,201612180min,clt,DoylJa00,rec_yds,32,,,,,
player,201612180min,clt,DoylJa00,rec_td,0,,,,,
player,201612180min,clt,DoylJa00,rec_long,13,,,,,
player,201612180min,clt,DoylJa00,fumbles,0,,,,,
player,201612180min,clt,DoylJa00,fumbles_lost,0,,,,,
player,201612180min,clt,RogeCh02,pass_cmp,0,,,,,
player,201612180min,clt,RogeCh02,pass_att,0,,,,,
player,201612180min,clt,RogeCh02,pass_yds,0,,,,,
player,201612180min,clt,RogeCh02,pass_td,0,,,,,
player,201612180min,clt,RogeCh02,pass_int,0,,,,,
player,201612180min,clt,RogeCh02,pass_sacked,0,,,,,
player,201612180min,clt,RogeCh02,pass_sacked_yds,0,,,,,
player,201612180min,clt,RogeCh02,pass_long,0,,,,,
player,201612180min,clt,RogeCh02,pass_rating,,,,,,
player,201612180min,clt,RogeCh02,rush_att,0,,,,,
player,201612180min,clt,RogeCh02,rush_yds,0,,,,,
player,201612180min,clt,RogeCh02,rush_td,0,,,,,
player,201612180min,clt,RogeCh02,rush_long,0,,,,,
player,201612180min,clt,RogeCh02,targets,5,,,,,
player,201612180min,clt,RogeCh02,rec,3,,,,,
player,201612180min,clt,RogeCh02,rec_yds,24,,,,,
player,201612180min,clt,RogeCh02,rec_td,0,,,,,
player,201612180min,clt,RogeCh02,rec_long,9,,,,,
player,201612180min,clt,RogeCh02,fumbles,0,,,,,
player,201612180min,clt,RogeCh02,fumbles_lost,0,,,,,
player,201612180min,clt,AlleDw00,pass_cmp,0,,,,,
player,201612180min,clt,AlleDw00,pass_att,0,,,,,
player,201612180min,clt,AlleDw00,pass_yds,0,,,,,
player,201612180min,clt,AlleDw00,pass_td,0,,,,,
player,201612180min,clt,AlleDw00,pass_int,0,,,,,
player,201612180min,clt,AlleDw00,pass_sacked,0,,,,,
player,201612180min,clt,AlleDw00,pass_sacked_yds,0,,,,,
