game,2016,3,20160925,201609250dal,chi,"Chicago Bears",17,dal,"Dallas Cowboys",31
team,201609250dal,chi,First Downs,21,,,,,,
team,201609250dal,dal,First Downs,25,,,,,,
team,201609250dal,chi,Rush-Yds-TDs,14-78-0,,,,,,
team,201609250dal,dal,Rush-Yds-TDs,41-199-3,,,,,,
team,201609250dal,chi,Cmp-Att-Yd-TD-INT,30-49-317-2-0,,,,,,
team,201609250dal,dal,Cmp-Att-Yd-TD-INT,19-24-248-1-0,,,,,,
team,201609250dal,chi,Sacked-Yards,1-5,,,,,,
team,201609250dal,dal,Sacked-Yards,0-0,,,,,,
team,201609250dal,chi,Net Pass Yards,312,,,,,,
team,201609250dal,dal,Net Pass Yards,248,,,,,,
team,201609250dal,chi,Total Yards,390,,,,,,
team,201609250dal,dal,Total Yards,447,,,,,,
team,201609250dal,chi,Fumbles-Lost,4-2,,,,,,
team,201609250dal,dal,Fumbles-Lost,1-1,,,,,,
team,201609250dal,chi,Turnovers,2,,,,,,
team,201609250dal,dal,Turnovers,1,,,,,,
team,201609250dal,chi,Penalties-Yards,6-45,,,,,,
team,201609250dal,dal,Penalties-Yards,4-45,,,,,,
team,201609250dal,chi,Third Down Conv.,2-10,,,,,,
team,201609250dal,dal,Third Down Conv.,5-11,,,,,,
team,201609250dal,chi,Fourth Down Conv.,1-1,,,,,,
team,201609250dal,dal,Fourth Down Conv.,1-1,,,,,,
team,201609250dal,chi,Time of Possession,24:41,,,,,,
team,201609250dal,dal,Time of Possession,35:19,,,,,,
player,201609250dal,chi,HoyeBr00,pass_cmp,30,,,,,
player,201609250dal,chi,HoyeBr00,pass_att,49,,,,,
player,201609250dal,chi,HoyeBr00,pass_yds,317,,,,,
player,201609250dal,chi,HoyeBr00,pass_td,2,,,,,
player,201609250dal,chi,HoyeBr00,pass_int,0,,,,,
player,201609250dal,chi,HoyeBr00,pass_sacked,1,,,,,
player,201609250dal,chi,HoyeBr00,pass_sacked_yds,5,,,,,
player,201609250dal,chi,HoyeBr00,pass_long,32,,,,,
player,201609250dal,chi,HoyeBr00,pass_rating,93.7,,,,,
player,201609250dal,chi,HoyeBr00,rush_att,2,,,,,
player,201609250dal,chi,HoyeBr00,rush_yds,2,,,,,
player,201609250dal,chi,HoyeBr00,rush_td,0,,,,,
player,201609250dal,chi,HoyeBr00,rush_long,3,,,,,
player,201609250dal,chi,HoyeBr00,targets,0,,,,,
player,201609250dal,chi,HoyeBr00,rec,0,,,,,
