game,2016,8,20161030,201610300nor,sea,"Seattle Seahawks",20,nor,"New Orleans Saints",25
team,201610300nor,sea,First Downs,15,,,,,,
team,201610300nor,nor,First Downs,28,,,,,,
team,201610300nor,sea,Rush-Yds-TDs,17-74-1,,,,,,
team,201610300nor,nor,Rush-Yds-TDs,35-123-1,,,,,,
team,201610300nor,sea,Cmp-Att-Yd-TD-INT,23-36-296-0-1,,,,,,
team,201610300nor,nor,Cmp-Att-Yd-TD-INT,27-35-265-1-0,,,,,,
team,201610300nor,sea,Sacked-Yards,1-11,,,,,,
team,201610300nor,nor,Sacked-Yards,2-13,,,,,,
team,201610300nor,sea,Net Pass Yards,285,,,,,,
team,201610300nor,nor,Net Pass Yards,252,,,,,,
team,201610300nor,sea,Total Yards,359,,,,,,
team,201610300nor,nor,Total Yards,375,,,,,,
team,201610300nor,sea,Fumbles-Lost,1-0,,,,,,
team,201610300nor,nor,Fumbles-Lost,1-1,,,,,,
team,201610300nor,sea,Turnovers,1,,,,,,
team,201610300nor,nor,Turnovers,1,,,,,,
team,201610300nor,sea,Penalties-Yards,11-76,,,,,,
team,201610300nor,nor,Penalties-Yards,2-10,,,,,,
team,201610300nor,sea,Third Down Conv.,5-11,,,,,,
team,201610300nor,nor,Third Down Conv.,9-15,,,,,,
team,201610300nor,sea,Fourth Down Conv.,0-1,,,,,,
team,201610300nor,nor,Fourth Down Conv.,0-0,,,,,,
team,201610300nor,sea,Time of Possession,23:48,,,,,,
team,201610300nor,nor,Time of Possession,36:12,,,,,,
player,201610300nor,sea,WilsRu00,pass_cmp,22,,,,,
player,201610300nor,sea,WilsRu00,pass_att,34,,,,,
player,201610300nor,sea,WilsRu00,pass_yds,253,,,,,
player,201610300nor,sea,WilsRu00,pass_td,0,,,,,
player,201610300nor,sea,WilsRu00,pass_int,1,,,,,
player,201610300nor,sea,WilsRu00,pass_sacked,1,,,,,
player,201610300nor,sea,WilsRu00,pass_sacked_yds,11,,,,,
player,201610300nor,sea,WilsRu00,pass_long,27,,,,,
player,201610300nor,sea,WilsRu00,pass_rating,74.8,,,,,
player,201610300nor,sea,WilsRu00,rush_att,3,,,,,
player,201610300nor,sea,WilsRu00,rush_yds,11,,,,,
player,201610300nor,sea,WilsRu00,rush_td,0,,,,,
player,201610300nor,sea,WilsRu00,rush_long,5,,,,,
player,201610300nor,sea,WilsRu00,targets,0,,,,,
player,201610300nor,sea,WilsRu00,rec,0,,,,,
player,201610300nor,sea,WilsRu00,rec_yds,0,,,,,
player,201610300nor,sea,WilsRu00,rec_td,0,,,,,
player,201610300nor,sea,WilsRu00,rec_long,0,,,,,
player,201610300nor,sea,WilsRu00,fumbles,0,,,,,
player,201610300nor,sea,WilsRu00,fumbles_lost,0,,,,,
player,201610300nor,sea,RyanJo21,pass_cmp,0,,,,,
player,201610300nor,sea,RyanJo21,pass_att,1,,,,,
player,201610300nor,sea,RyanJo21,pass_yds,0,,,,,
player,201610300nor,sea,RyanJo21,pass_td,0,,,,,
player,201610300nor,sea,RyanJo21,pass_int,0,,,,,
player,201610300nor,sea,RyanJo21,pass_sacked,0,,,,,
player,201610300nor,sea,RyanJo21,pass_sacked_yds,0,,,,,
player,201610300nor,sea,RyanJo21,pass_long,0,,,,,
player,201610300nor,sea,RyanJo21,pass_rating,39.6,,,,,
player,201610300nor,sea,RyanJo21,rush_att,0,,,,,
player,201610300nor,sea,RyanJo21,rush_yds,0,,,,,
player,201610300nor,sea,RyanJo21,rush_td,0,,,,,
player,201610300nor,sea,RyanJo21,rush_long,0,,,,,
player,201610300nor,sea,RyanJo21,targets,0,,,,,
player,201610300nor,sea,RyanJo21,rec,0,,,,,
player,201610300nor,sea,RyanJo21,rec_yds,0,,,,,
player,201610300nor,sea,RyanJo21,rec_td,0,,,,,
