game,2016,11,20161120,201611200was,gnb,"Green Bay Packers",24,was,"Washington Redskins",42
player,201611200was,gnb,StarJa00,rush_long,8,,,,,
player,201611200was,gnb,StarJa00,targets,6,,,,,
player,201611200was,gnb,StarJa00,rec,5,,,,,
player,201611200was,gnb,StarJa00,rec_yds,46,,,,,
player,201611200was,gnb,StarJa00,rec_td,1,,,,,
player,201611200was,gnb,StarJa00,rec_long,31,,,,,
player,201611200was,gnb,StarJa00,fumbles,0,,,,,
player,201611200was,gnb,StarJa00,fumbles_lost,0,,,,,
player,201611200was,gnb,MontTy01,pass_cmp,0,,,,,
player,201611200was,gnb,MontTy01,pass_att,0,,,,,
player,201611200was,gnb,MontTy01,pass_yds,0,,,,,
player,201611200was,gnb,MontTy01,pass_td,0,,,,,
player,201611200was,gnb,MontTy01,pass_int,0,,,,,
player,201611200was,gnb,MontTy01,pass_sacked,0,,,,,
player,201611200was,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201611200was,gnb,MontTy01,pass_long,0,,,,,
player,201611200was,gnb,MontTy01,pass_rating,,,,,,
player,201611200was,gnb,MontTy01,rush_att,4,,,,,
player,201611200was,gnb,MontTy01,rush_yds,17,,,,,
player,201611200was,gnb,MontTy01,rush_td,0,,,,,
player,201611200was,gnb,MontTy01,rush_long,7,,,,,
player,201611200was,gnb,MontTy01,targets,4,,,,,
player,201611200was,gnb,MontTy01,rec,3,,,,,
player,201611200was,gnb,MontTy01,rec_yds,27,,,,,
player,201611200was,gnb,MontTy01,rec_td,0,,,,,
player,201611200was,gnb,MontTy01,rec_long,10,,,,,
player,201611200was,gnb,MontTy01,fumbles,0,,,,,
player,201611200was,gnb,MontTy01,fumbles_lost,0,,,,,
player,201611200was,gnb,RipkAa00,pass_cmp,0,,,,,
player,201611200was,gnb,RipkAa00,pass_att,0,,,,,
player,201611200was,gnb,RipkAa00,pass_yds,0,,,,,
player,201611200was,gnb,RipkAa00,pass_td,0,,,,,
player,201611200was,gnb,RipkAa00,pass_int,0,,,,,
player,201611200was,gnb,RipkAa00,pass_sacked,0,,,,,
player,201611200was,gnb,RipkAa00,pass_sacked_yds,0,,,,,
player,201611200was,gnb,RipkAa00,pass_long,0,,,,,
player,201611200was,gnb,RipkAa00,pass_rating,,,,,,
player,201611200was,gnb,RipkAa00,rush_att,2,,,,,
player,201611200was,gnb,RipkAa00,rush_yds,9,,,,,
player,201611200was,gnb,RipkAa00,rush_td,0,,,,,
player,201611200was,gnb,RipkAa00,rush_long,7,,,,,
player,201611200was,gnb,RipkAa00,targets,0,,,,,
player,201611200was,gnb,RipkAa00,rec,0,,,,,
player,201611200was,gnb,RipkAa00,rec_yds,0,,,,,
player,201611200was,gnb,RipkAa00,rec_td,0,,,,,
player,201611200was,gnb,RipkAa00,rec_long,0,,,,,
player,201611200was,gnb,RipkAa00,fumbles,0,,,,,
player,201611200was,gnb,RipkAa00,fumbles_lost,0,,,,,
player,201611200was,gnb,CookJa02,pass_cmp,0,,,,,
player,201611200was,gnb,CookJa02,pass_att,0,,,,,
player,201611200was,gnb,CookJa02,pass_yds,0,,,,,
player,201611200was,gnb,CookJa02,pass_td,0,,,,,
player,201611200was,gnb,CookJa02,pass_int,0,,,,,
player,201611200was,gnb,CookJa02,pass_sacked,0,,,,,
player,201611200was,gnb,CookJa02,pass_sacked_yds,0,,,,,
player,201611200was,gnb,CookJa02,pass_long,0,,,,,
player,201611200was,gnb,CookJa02,pass_rating,,,,,,
player,201611200was,gnb,CookJa02,rush_att,0,,,,,
player,201611200was,gnb,CookJa02,rush_yds,0,,,,,
player,201611200was,gnb,CookJa02,rush_td,0,,,,,
player,201611200was,gnb,CookJa02,rush_long,0,,,,,
player,201611200was,gnb,CookJa02,targets,11,,,,,
player,201611200was,gnb,CookJa02,rec,6,,,,,
player,201611200was,gnb,CookJa02,rec_yds,105,,,,,
player,201611200was,gnb,CookJa02,rec_td,1,,,,,
player,201611200was,gnb,CookJa02,rec_long,47,,,,,
player,201611200was,gnb,CookJa02,fumbles,1,,,,,
player,201611200was,gnb,CookJa02,fumbles_lost,1,,,,,
player,201611200was,gnb,CobbRa00,pass_cmp,0,,,,,
player,201611200was,gnb,CobbRa00,pass_att,0,,,,,
player,201611200was,gnb,CobbRa00,pass_yds,0,,,,,
player,201611200was,gnb,CobbRa00,pass_td,0,,,,,
player,201611200was,gnb,CobbRa00,pass_int,0,,,,,
player,201611200was,gnb,CobbRa00,pass_sacked,0,,,,,
player,201611200was,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201611200was,gnb,CobbRa00,pass_long,0,,,,,
player,201611200was,gnb,CobbRa00,pass_rating,,,,,,
player,201611200was,gnb,CobbRa00,rush_att,0,,,,,
player,201611200was,gnb,CobbRa00,rush_yds,0,,,,,
player,201611200was,gnb,CobbRa00,rush_td,0,,,,,
player,201611200was,gnb,CobbRa00,rush_long,0,,,,,
player,201611200was,gnb,CobbRa00,targets,5,,,,,
player,201611200was,gnb,CobbRa00,rec,3,,,,,
player,201611200was,gnb,CobbRa00,rec_yds,84,,,,,
player,201611200was,gnb,CobbRa00,rec_td,0,,,,,
player,201611200was,gnb,CobbRa00,rec_long,47,,,,,
player,201611200was,gnb,CobbRa00,fumbles,0,,,,,
player,201611200was,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201611200was,gnb,AdamDa01,pass_cmp,0,,,,,
player,201611200was,gnb,AdamDa01,pass_att,0,,,,,
