game,2016,3,20160925,201609250oti,rai,"Oakland Raiders",17,oti,"Tennessee Titans",10
team,201609250oti,rai,First Downs,17,,,,,,
team,201609250oti,oti,First Downs,19,,,,,,
team,201609250oti,rai,Rush-Yds-TDs,25-123-1,,,,,,
team,201609250oti,oti,Rush-Yds-TDs,29-181-1,,,,,,
team,201609250oti,rai,Cmp-Att-Yd-TD-INT,21-35-249-1-1,,,,,,
team,201609250oti,oti,Cmp-Att-Yd-TD-INT,17-33-214-0-2,,,,,,
team,201609250oti,rai,Sacked-Yards,1-4,,,,,,
team,201609250oti,oti,Sacked-Yards,1-2,,,,,,
team,201609250oti,rai,Net Pass Yards,245,,,,,,
team,201609250oti,oti,Net Pass Yards,212,,,,,,
team,201609250oti,rai,Total Yards,368,,,,,,
team,201609250oti,oti,Total Yards,393,,,,,,
team,201609250oti,rai,Fumbles-Lost,0-0,,,,,,
team,201609250oti,oti,Fumbles-Lost,2-1,,,,,,
team,201609250oti,rai,Turnovers,1,,,,,,
team,201609250oti,oti,Turnovers,3,,,,,,
team,201609250oti,rai,Penalties-Yards,8-58,,,,,,
team,201609250oti,oti,Penalties-Yards,8-70,,,,,,
team,201609250oti,rai,Third Down Conv.,5-13,,,,,,
team,201609250oti,oti,Third Down Conv.,2-12,,,,,,
team,201609250oti,rai,Fourth Down Conv.,0-0,,,,,,
team,201609250oti,oti,Fourth Down Conv.,0-1,,,,,,
team,201609250oti,rai,Time of Possession,29:03,,,,,,
team,201609250oti,oti,Time of Possession,30:57,,,,,,
player,201609250oti,rai,CarrDe02,pass_cmp,21,,,,,
player,201609250oti,rai,CarrDe02,pass_att,35,,,,,
player,201609250oti,rai,CarrDe02,pass_yds,249,,,,,
player,201609250oti,rai,CarrDe02,pass_td,1,,,,,
player,201609250oti,rai,CarrDe02,pass_int,1,,,,,
player,201609250oti,rai,CarrDe02,pass_sacked,1,,,,,
player,201609250oti,rai,CarrDe02,pass_sacked_yds,4,,,,,
player,201609250oti,rai,CarrDe02,pass_long,31,,,,,
player,201609250oti,rai,CarrDe02,pass_rating,79.3,,,,,
player,201609250oti,rai,CarrDe02,rush_att,1,,,,,
player,201609250oti,rai,CarrDe02,rush_yds,-1,,,,,
player,201609250oti,rai,CarrDe02,rush_td,0,,,,,
player,201609250oti,rai,CarrDe02,rush_long,-1,,,,,
player,201609250oti,rai,CarrDe02,targets,0,,,,,
player,201609250oti,rai,CarrDe02,rec,0,,,,,
player,201609250oti,rai,CarrDe02,rec_yds,0,,,,,
player,201609250oti,rai,CarrDe02,rec_td,0,,,,,
player,201609250oti,rai,CarrDe02,rec_long,0,,,,,
player,201609250oti,rai,CarrDe02,fumbles,0,,,,,
player,201609250oti,rai,CarrDe02,fumbles_lost,0,,,,,
player,201609250oti,rai,WashDe00,pass_cmp,0,,,,,
player,201609250oti,rai,WashDe00,pass_att,0,,,,,
player,201609250oti,rai,WashDe00,pass_yds,0,,,,,
player,201609250oti,rai,WashDe00,pass_td,0,,,,,
player,201609250oti,rai,WashDe00,pass_int,0,,,,,
player,201609250oti,rai,WashDe00,pass_sacked,,,,,,
player,201609250oti,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201609250oti,rai,WashDe00,pass_long,0,,,,,
player,201609250oti,rai,WashDe00,pass_rating,,,,,,
player,201609250oti,rai,WashDe00,rush_att,6,,,,,
player,201609250oti,rai,WashDe00,rush_yds,57,,,,,
player,201609250oti,rai,WashDe00,rush_td,0,,,,,
player,201609250oti,rai,WashDe00,rush_long,30,,,,,
player,201609250oti,rai,WashDe00,targets,1,,,,,
player,201609250oti,rai,WashDe00,rec,1,,,,,
player,201609250oti,rai,WashDe00,rec_yds,5,,,,,
player,201609250oti,rai,WashDe00,rec_td,0,,,,,
player,201609250oti,rai,WashDe00,rec_long,5,,,,,
player,201609250oti,rai,WashDe00,fumbles,0,,,,,
player,201609250oti,rai,WashDe00,fumbles_lost,0,,,,,
player,201609250oti,rai,MurrLa00,pass_cmp,0,,,,,
player,201609250oti,rai,MurrLa00,pass_att,0,,,,,
player,201609250oti,rai,MurrLa00,pass_yds,0,,,,,
player,201609250oti,rai,MurrLa00,pass_td,0,,,,,
player,201609250oti,rai,MurrLa00,pass_int,0,,,,,
player,201609250oti,rai,MurrLa00,pass_sacked,,,,,,
player,201609250oti,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201609250oti,rai,MurrLa00,pass_long,0,,,,,
player,201609250oti,rai,MurrLa00,pass_rating,,,,,,
player,201609250oti,rai,MurrLa00,rush_att,10,,,,,
player,201609250oti,rai,MurrLa00,rush_yds,37,,,,,
player,201609250oti,rai,MurrLa00,rush_td,1,,,,,
player,201609250oti,rai,MurrLa00,rush_long,22,,,,,
player,201609250oti,rai,MurrLa00,targets,1,,,,,
player,201609250oti,rai,MurrLa00,rec,1,,,,,
player,201609250oti,rai,MurrLa00,rec_yds,1,,,,,
player,201609250oti,rai,MurrLa00,rec_td,0,,,,,
player,201609250oti,rai,MurrLa00,rec_long,1,,,,,
player,201609250oti,rai,MurrLa00,fumbles,0,,,,,
player,201609250oti,rai,MurrLa00,fumbles_lost,0,,,,,
player,201609250oti,rai,RichJa01,pass_cmp,0,,,,,
player,201609250oti,rai,RichJa01,pass_att,0,,,,,
player,201609250oti,rai,RichJa01,pass_yds,0,,,,,
player,201609250oti,rai,RichJa01,pass_td,0,,,,,
player,201609250oti,rai,RichJa01,pass_int,0,,,,,
player,201609250oti,rai,RichJa01,pass_sacked,,,,,,
player,201609250oti,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201609250oti,rai,RichJa01,pass_long,0,,,,,
player,201609250oti,rai,RichJa01,pass_rating,,,,,,
player,201609250oti,rai,RichJa01,rush_att,6,,,,,
player,201609250oti,rai,RichJa01,rush_yds,28,,,,,
player,201609250oti,rai,RichJa01,rush_td,0,,,,,
player,201609250oti,rai,RichJa01,rush_long,10,,,,,
player,201609250oti,rai,RichJa01,targets,1,,,,,
player,201609250oti,rai,RichJa01,rec,1,,,,,
player,201609250oti,rai,RichJa01,rec_yds,13,,,,,
player,201609250oti,rai,RichJa01,rec_td,0,,,,,
player,201609250oti,rai,RichJa01,rec_long,13,,,,,
player,201609250oti,rai,RichJa01,fumbles,0,,,,,
player,201609250oti,rai,RichJa01,fumbles_lost,0,,,,,
player,201609250oti,rai,HoltJo00,pass_cmp,0,,,,,
player,201609250oti,rai,HoltJo00,pass_att,0,,,,,
player,201609250oti,rai,HoltJo00,pass_yds,0,,,,,
player,201609250oti,rai,HoltJo00,pass_td,0,,,,,
player,201609250oti,rai,HoltJo00,pass_int,0,,,,,
player,201609250oti,rai,HoltJo00,pass_sacked,,,,,,
player,201609250oti,rai,HoltJo00,pass_sacked_yds,0,,,,,
player,201609250oti,rai,HoltJo00,pass_long,0,,,,,
player,201609250oti,rai,HoltJo00,pass_rating,,,,,,
player,201609250oti,rai,HoltJo00,rush_att,1,,,,,
player,201609250oti,rai,HoltJo00,rush_yds,2,,,,,
player,201609250oti,rai,HoltJo00,rush_td,0,,,,,
player,201609250oti,rai,HoltJo00,rush_long,2,,,,,
player,201609250oti,rai,HoltJo00,targets,0,,,,,
player,201609250oti,rai,HoltJo00,rec,0,,,,,
player,201609250oti,rai,HoltJo00,rec_yds,0,,,,,
player,201609250oti,rai,HoltJo00,rec_td,0,,,,,
player,201609250oti,rai,HoltJo00,rec_long,0,,,,,
player,201609250oti,rai,HoltJo00,fumbles,0,,,,,
player,201609250oti,rai,HoltJo00,fumbles_lost,0,,,,,
player,201609250oti,rai,CrabMi00,pass_cmp,0,,,,,
player,201609250oti,rai,CrabMi00,pass_att,0,,,,,
player,201609250oti,rai,CrabMi00,pass_yds,0,,,,,
player,201609250oti,rai,CrabMi00,pass_td,0,,,,,
player,201609250oti,rai,CrabMi00,pass_int,0,,,,,
player,201609250oti,rai,CrabMi00,pass_sacked,,,,,,
player,201609250oti,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201609250oti,rai,CrabMi00,pass_long,0,,,,,
player,201609250oti,rai,CrabMi00,pass_rating,,,,,,
player,201609250oti,rai,CrabMi00,rush_att,0,,,,,
player,201609250oti,rai,CrabMi00,rush_yds,0,,,,,
player,201609250oti,rai,CrabMi00,rush_td,0,,,,,
player,201609250oti,rai,CrabMi00,rush_long,0,,,,,
player,201609250oti,rai,CrabMi00,targets,11,,,,,
player,201609250oti,rai,CrabMi00,rec,8,,,,,
player,201609250oti,rai,CrabMi00,rec_yds,102,,,,,
player,201609250oti,rai,CrabMi00,rec_td,0,,,,,
player,201609250oti,rai,CrabMi00,rec_long,31,,,,,
player,201609250oti,rai,CrabMi00,fumbles,0,,,,,
player,201609250oti,rai,CrabMi00,fumbles_lost,0,,,,,
player,201609250oti,rai,CoopAm00,pass_cmp,0,,,,,
player,201609250oti,rai,CoopAm00,pass_att,0,,,,,
player,201609250oti,rai,CoopAm00,pass_yds,0,,,,,
player,201609250oti,rai,CoopAm00,pass_td,0,,,,,
player,201609250oti,rai,CoopAm00,pass_int,0,,,,,
player,201609250oti,rai,CoopAm00,pass_sacked,,,,,,
player,201609250oti,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201609250oti,rai,CoopAm00,pass_long,0,,,,,
player,201609250oti,rai,CoopAm00,pass_rating,,,,,,
player,201609250oti,rai,CoopAm00,rush_att,0,,,,,
player,201609250oti,rai,CoopAm00,rush_yds,0,,,,,
player,201609250oti,rai,CoopAm00,rush_td,0,,,,,
player,201609250oti,rai,CoopAm00,rush_long,0,,,,,
player,201609250oti,rai,CoopAm00,targets,9,,,,,
player,201609250oti,rai,CoopAm00,rec,4,,,,,
player,201609250oti,rai,CoopAm00,rec_yds,62,,,,,
player,201609250oti,rai,CoopAm00,rec_td,0,,,,,
player,201609250oti,rai,CoopAm00,rec_long,25,,,,,
player,201609250oti,rai,CoopAm00,fumbles,0,,,,,
player,201609250oti,rai,CoopAm00,fumbles_lost,0,,,,,
player,201609250oti,rai,WalfCl00,pass_cmp,0,,,,,
player,201609250oti,rai,WalfCl00,pass_att,0,,,,,
player,201609250oti,rai,WalfCl00,pass_yds,0,,,,,
player,201609250oti,rai,WalfCl00,pass_td,0,,,,,
player,201609250oti,rai,WalfCl00,pass_int,0,,,,,
player,201609250oti,rai,WalfCl00,pass_sacked,,,,,,
player,201609250oti,rai,WalfCl00,pass_sacked_yds,0,,,,,
player,201609250oti,rai,WalfCl00,pass_long,0,,,,,
player,201609250oti,rai,WalfCl00,pass_rating,,,,,,
player,201609250oti,rai,WalfCl00,rush_att,0,,,,,
player,201609250oti,rai,WalfCl00,rush_yds,0,,,,,
player,201609250oti,rai,WalfCl00,rush_td,0,,,,,
