game,2016,8,20161030,201610300car,crd,"Arizona Cardinals",20,car,"Carolina Panthers",30
team,201610300car,crd,First Downs,22,,,,,,
team,201610300car,car,First Downs,19,,,,,,
team,201610300car,crd,Rush-Yds-TDs,10-24-0,,,,,,
team,201610300car,car,Rush-Yds-TDs,36-141-2,,,,,,
team,201610300car,crd,Cmp-Att-Yd-TD-INT,35-46-363-3-1,,,,,,
team,201610300car,car,Cmp-Att-Yd-TD-INT,14-27-212-0-0,,,,,,
team,201610300car,crd,Sacked-Yards,8-47,,,,,,
team,201610300car,car,Sacked-Yards,1-4,,,,,,
team,201610300car,crd,Net Pass Yards,316,,,,,,
team,201610300car,car,Net Pass Yards,208,,,,,,
team,201610300car,crd,Total Yards,340,,,,,,
team,201610300car,car,Total Yards,349,,,,,,
team,201610300car,crd,Fumbles-Lost,2-1,,,,,,
team,201610300car,car,Fumbles-Lost,1-1,,,,,,
team,201610300car,crd,Turnovers,2,,,,,,
team,201610300car,car,Turnovers,1,,,,,,
team,201610300car,crd,Penalties-Yards,10-88,,,,,,
team,201610300car,car,Penalties-Yards,5-40,,,,,,
team,201610300car,crd,Third Down Conv.,4-12,,,,,,
team,201610300car,car,Third Down Conv.,6-14,,,,,,
team,201610300car,crd,Fourth Down Conv.,1-1,,,,,,
team,201610300car,car,Fourth Down Conv.,1-2,,,,,,
team,201610300car,crd,Time of Possession,29:12,,,,,,
team,201610300car,car,Time of Possession,30:48,,,,,,
player,201610300car,crd,PalmCa00,pass_cmp,35,,,,,
player,201610300car,crd,PalmCa00,pass_att,46,,,,,
player,201610300car,crd,PalmCa00,pass_yds,363,,,,,
player,201610300car,crd,PalmCa00,pass_td,3,,,,,
player,201610300car,crd,PalmCa00,pass_int,1,,,,,
player,201610300car,crd,PalmCa00,pass_sacked,8,,,,,
player,201610300car,crd,PalmCa00,pass_sacked_yds,47,,,,,
player,201610300car,crd,PalmCa00,pass_long,21,,,,,
player,201610300car,crd,PalmCa00,pass_rating,111.1,,,,,
player,201610300car,crd,PalmCa00,rush_att,0,,,,,
player,201610300car,crd,PalmCa00,rush_yds,0,,,,,
player,201610300car,crd,PalmCa00,rush_td,0,,,,,
player,201610300car,crd,PalmCa00,rush_long,0,,,,,
player,201610300car,crd,PalmCa00,targets,0,,,,,
player,201610300car,crd,PalmCa00,rec,0,,,,,
player,201610300car,crd,PalmCa00,rec_yds,0,,,,,
player,201610300car,crd,PalmCa00,rec_td,0,,,,,
player,201610300car,crd,PalmCa00,rec_long,0,,,,,
player,201610300car,crd,PalmCa00,fumbles,2,,,,,
player,201610300car,crd,PalmCa00,fumbles_lost,1,,,,,
player,201610300car,crd,JohnDa08,pass_cmp,0,,,,,
player,201610300car,crd,JohnDa08,pass_att,0,,,,,
player,201610300car,crd,JohnDa08,pass_yds,0,,,,,
player,201610300car,crd,JohnDa08,pass_td,0,,,,,
player,201610300car,crd,JohnDa08,pass_int,0,,,,,
player,201610300car,crd,JohnDa08,pass_sacked,0,,,,,
player,201610300car,crd,JohnDa08,pass_sacked_yds,0,,,,,
player,201610300car,crd,JohnDa08,pass_long,0,,,,,
player,201610300car,crd,JohnDa08,pass_rating,,,,,,
player,201610300car,crd,JohnDa08,rush_att,10,,,,,
player,201610300car,crd,JohnDa08,rush_yds,24,,,,,
player,201610300car,crd,JohnDa08,rush_td,0,,,,,
player,201610300car,crd,JohnDa08,rush_long,9,,,,,
player,201610300car,crd,JohnDa08,targets,9,,,,,
player,201610300car,crd,JohnDa08,rec,7,,,,,
player,201610300car,crd,JohnDa08,rec_yds,84,,,,,
player,201610300car,crd,JohnDa08,rec_td,0,,,,,
player,201610300car,crd,JohnDa08,rec_long,21,,,,,
player,201610300car,crd,JohnDa08,fumbles,0,,,,,
player,201610300car,crd,JohnDa08,fumbles_lost,0,,,,,
player,201610300car,crd,NelsJJ00,pass_cmp,0,,,,,
player,201610300car,crd,NelsJJ00,pass_att,0,,,,,
player,201610300car,crd,NelsJJ00,pass_yds,0,,,,,
player,201610300car,crd,NelsJJ00,pass_td,0,,,,,
player,201610300car,crd,NelsJJ00,pass_int,0,,,,,
player,201610300car,crd,NelsJJ00,pass_sacked,0,,,,,
player,201610300car,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201610300car,crd,NelsJJ00,pass_long,0,,,,,
player,201610300car,crd,NelsJJ00,pass_rating,,,,,,
player,201610300car,crd,NelsJJ00,rush_att,0,,,,,
player,201610300car,crd,NelsJJ00,rush_yds,0,,,,,
player,201610300car,crd,NelsJJ00,rush_td,0,,,,,
player,201610300car,crd,NelsJJ00,rush_long,0,,,,,
player,201610300car,crd,NelsJJ00,targets,12,,,,,
player,201610300car,crd,NelsJJ00,rec,8,,,,,
player,201610300car,crd,NelsJJ00,rec_yds,79,,,,,
player,201610300car,crd,NelsJJ00,rec_td,2,,,,,
