game,2016,2,20160918,201609180min,gnb,"Green Bay Packers",14,min,"Minnesota Vikings",17
team,201609180min,gnb,First Downs,20,,,,,,
team,201609180min,min,First Downs,15,,,,,,
team,201609180min,gnb,Rush-Yds-TDs,23-83-1,,,,,,
team,201609180min,min,Rush-Yds-TDs,22-30-0,,,,,,
team,201609180min,gnb,Cmp-Att-Yd-TD-INT,20-36-213-1-1,,,,,,
team,201609180min,min,Cmp-Att-Yd-TD-INT,22-31-286-2-0,,,,,,
team,201609180min,gnb,Sacked-Yards,5-33,,,,,,
team,201609180min,min,Sacked-Yards,4-32,,,,,,
team,201609180min,gnb,Net Pass Yards,180,,,,,,
team,201609180min,min,Net Pass Yards,254,,,,,,
team,201609180min,gnb,Total Yards,263,,,,,,
team,201609180min,min,Total Yards,284,,,,,,
team,201609180min,gnb,Fumbles-Lost,4-2,,,,,,
team,201609180min,min,Fumbles-Lost,2-1,,,,,,
team,201609180min,gnb,Turnovers,3,,,,,,
team,201609180min,min,Turnovers,1,,,,,,
team,201609180min,gnb,Penalties-Yards,6-72,,,,,,
team,201609180min,min,Penalties-Yards,13-137,,,,,,
team,201609180min,gnb,Third Down Conv.,6-13,,,,,,
team,201609180min,min,Third Down Conv.,4-14,,,,,,
team,201609180min,gnb,Fourth Down Conv.,0-1,,,,,,
team,201609180min,min,Fourth Down Conv.,1-2,,,,,,
team,201609180min,gnb,Time of Possession,29:42,,,,,,
team,201609180min,min,Time of Possession,30:18,,,,,,
player,201609180min,gnb,RodgAa00,pass_cmp,20,,,,,
player,201609180min,gnb,RodgAa00,pass_att,36,,,,,
player,201609180min,gnb,RodgAa00,pass_yds,213,,,,,
player,201609180min,gnb,RodgAa00,pass_td,1,,,,,
player,201609180min,gnb,RodgAa00,pass_int,1,,,,,
player,201609180min,gnb,RodgAa00,pass_sacked,5,,,,,
player,201609180min,gnb,RodgAa00,pass_sacked_yds,33,,,,,
player,201609180min,gnb,RodgAa00,pass_long,39,,,,,
player,201609180min,gnb,RodgAa00,pass_rating,70.7,,,,,
player,201609180min,gnb,RodgAa00,rush_att,3,,,,,
player,201609180min,gnb,RodgAa00,rush_yds,29,,,,,
player,201609180min,gnb,RodgAa00,rush_td,1,,,,,
player,201609180min,gnb,RodgAa00,rush_long,10,,,,,
player,201609180min,gnb,RodgAa00,targets,0,,,,,
player,201609180min,gnb,RodgAa00,rec,0,,,,,
player,201609180min,gnb,RodgAa00,rec_yds,0,,,,,
player,201609180min,gnb,RodgAa00,rec_td,0,,,,,
player,201609180min,gnb,RodgAa00,rec_long,0,,,,,
player,201609180min,gnb,RodgAa00,fumbles,3,,,,,
player,201609180min,gnb,RodgAa00,fumbles_lost,1,,,,,
player,201609180min,gnb,LacyEd00,pass_cmp,0,,,,,
player,201609180min,gnb,LacyEd00,pass_att,0,,,,,
player,201609180min,gnb,LacyEd00,pass_yds,0,,,,,
player,201609180min,gnb,LacyEd00,pass_td,0,,,,,
player,201609180min,gnb,LacyEd00,pass_int,0,,,,,
player,201609180min,gnb,LacyEd00,pass_sacked,0,,,,,
player,201609180min,gnb,LacyEd00,pass_sacked_yds,0,,,,,
player,201609180min,gnb,LacyEd00,pass_long,0,,,,,
player,201609180min,gnb,LacyEd00,pass_rating,,,,,,
player,201609180min,gnb,LacyEd00,rush_att,12,,,,,
player,201609180min,gnb,LacyEd00,rush_yds,50,,,,,
player,201609180min,gnb,LacyEd00,rush_td,0,,,,,
player,201609180min,gnb,LacyEd00,rush_long,13,,,,,
player,201609180min,gnb,LacyEd00,targets,1,,,,,
player,201609180min,gnb,LacyEd00,rec,0,,,,,
player,201609180min,gnb,LacyEd00,rec_yds,0,,,,,
player,201609180min,gnb,LacyEd00,rec_td,0,,,,,
player,201609180min,gnb,LacyEd00,rec_long,0,,,,,
player,201609180min,gnb,LacyEd00,fumbles,0,,,,,
player,201609180min,gnb,LacyEd00,fumbles_lost,0,,,,,
player,201609180min,gnb,StarJa00,pass_cmp,0,,,,,
player,201609180min,gnb,StarJa00,pass_att,0,,,,,
player,201609180min,gnb,StarJa00,pass_yds,0,,,,,
player,201609180min,gnb,StarJa00,pass_td,0,,,,,
player,201609180min,gnb,StarJa00,pass_int,0,,,,,
player,201609180min,gnb,StarJa00,pass_sacked,0,,,,,
player,201609180min,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201609180min,gnb,StarJa00,pass_long,0,,,,,
