game,2016,5,20161009,201610090clt,chi,"Chicago Bears",23,clt,"Indianapolis Colts",29
player,201610090clt,chi,CareKa00,fumbles_lost,0,,,,,
player,201610090clt,chi,JeffAl00,pass_cmp,0,,,,,
player,201610090clt,chi,JeffAl00,pass_att,0,,,,,
player,201610090clt,chi,JeffAl00,pass_yds,0,,,,,
player,201610090clt,chi,JeffAl00,pass_td,0,,,,,
player,201610090clt,chi,JeffAl00,pass_int,0,,,,,
player,201610090clt,chi,JeffAl00,pass_sacked,0,,,,,
player,201610090clt,chi,JeffAl00,pass_sacked_yds,0,,,,,
player,201610090clt,chi,JeffAl00,pass_long,0,,,,,
player,201610090clt,chi,JeffAl00,pass_rating,,,,,,
player,201610090clt,chi,JeffAl00,rush_att,0,,,,,
player,201610090clt,chi,JeffAl00,rush_yds,0,,,,,
player,201610090clt,chi,JeffAl00,rush_td,0,,,,,
player,201610090clt,chi,JeffAl00,rush_long,0,,,,,
player,201610090clt,chi,JeffAl00,targets,6,,,,,
player,201610090clt,chi,JeffAl00,rec,5,,,,,
player,201610090clt,chi,JeffAl00,rec_yds,77,,,,,
player,201610090clt,chi,JeffAl00,rec_td,0,,,,,
player,201610090clt,chi,JeffAl00,rec_long,38,,,,,
player,201610090clt,chi,JeffAl00,fumbles,0,,,,,
player,201610090clt,chi,JeffAl00,fumbles_lost,0,,,,,
player,201610090clt,chi,MillZa02,pass_cmp,0,,,,,
player,201610090clt,chi,MillZa02,pass_att,0,,,,,
player,201610090clt,chi,MillZa02,pass_yds,0,,,,,
player,201610090clt,chi,MillZa02,pass_td,0,,,,,
player,201610090clt,chi,MillZa02,pass_int,0,,,,,
player,201610090clt,chi,MillZa02,pass_sacked,0,,,,,
player,201610090clt,chi,MillZa02,pass_sacked_yds,0,,,,,
player,201610090clt,chi,MillZa02,pass_long,0,,,,,
player,201610090clt,chi,MillZa02,pass_rating,,,,,,
player,201610090clt,chi,MillZa02,rush_att,0,,,,,
player,201610090clt,chi,MillZa02,rush_yds,0,,,,,
player,201610090clt,chi,MillZa02,rush_td,0,,,,,
player,201610090clt,chi,MillZa02,rush_long,0,,,,,
player,201610090clt,chi,MillZa02,targets,8,,,,,
player,201610090clt,chi,MillZa02,rec,7,,,,,
player,201610090clt,chi,MillZa02,rec_yds,73,,,,,
player,201610090clt,chi,MillZa02,rec_td,0,,,,,
player,201610090clt,chi,MillZa02,rec_long,23,,,,,
player,201610090clt,chi,MillZa02,fumbles,0,,,,,
player,201610090clt,chi,MillZa02,fumbles_lost,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_cmp,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_att,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_yds,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_td,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_int,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_sacked,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_sacked_yds,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_long,0,,,,,
player,201610090clt,chi,RoyaEd00,pass_rating,,,,,,
player,201610090clt,chi,RoyaEd00,rush_att,0,,,,,
player,201610090clt,chi,RoyaEd00,rush_yds,0,,,,,
player,201610090clt,chi,RoyaEd00,rush_td,0,,,,,
player,201610090clt,chi,RoyaEd00,rush_long,0,,,,,
player,201610090clt,chi,RoyaEd00,targets,9,,,,,
player,201610090clt,chi,RoyaEd00,rec,7,,,,,
player,201610090clt,chi,RoyaEd00,rec_yds,43,,,,,
player,201610090clt,chi,RoyaEd00,rec_td,0,,,,,
player,201610090clt,chi,RoyaEd00,rec_long,12,,,,,
player,201610090clt,chi,RoyaEd00,fumbles,1,,,,,
player,201610090clt,chi,RoyaEd00,fumbles_lost,0,,,,,
player,201610090clt,chi,BellJo02,pass_cmp,0,,,,,
player,201610090clt,chi,BellJo02,pass_att,0,,,,,
player,201610090clt,chi,BellJo02,pass_yds,0,,,,,
player,201610090clt,chi,BellJo02,pass_td,0,,,,,
player,201610090clt,chi,BellJo02,pass_int,0,,,,,
player,201610090clt,chi,BellJo02,pass_sacked,0,,,,,
player,201610090clt,chi,BellJo02,pass_sacked_yds,0,,,,,
player,201610090clt,chi,BellJo02,pass_long,0,,,,,
player,201610090clt,chi,BellJo02,pass_rating,,,,,,
player,201610090clt,chi,BellJo02,rush_att,0,,,,,
player,201610090clt,chi,BellJo02,rush_yds,0,,,,,
player,201610090clt,chi,BellJo02,rush_td,0,,,,,
player,201610090clt,chi,BellJo02,rush_long,0,,,,,
player,201610090clt,chi,BellJo02,targets,1,,,,,
player,201610090clt,chi,BellJo02,rec,1,,,,,
player,201610090clt,chi,BellJo02,rec_yds,14,,,,,
player,201610090clt,chi,BellJo02,rec_td,0,,,,,
player,201610090clt,chi,BellJo02,rec_long,14,,,,,
player,201610090clt,chi,BellJo02,fumbles,0,,,,,
player,201610090clt,chi,BellJo02,fumbles_lost,0,,,,,
player,201610090clt,chi,PaulLo00,pass_cmp,0,,,,,
player,201610090clt,chi,PaulLo00,pass_att,0,,,,,
player,201610090clt,chi,PaulLo00,pass_yds,0,,,,,
player,201610090clt,chi,PaulLo00,pass_td,0,,,,,
player,201610090clt,chi,PaulLo00,pass_int,0,,,,,
player,201610090clt,chi,PaulLo00,pass_sacked,0,,,,,
player,201610090clt,chi,PaulLo00,pass_sacked_yds,0,,,,,
player,201610090clt,chi,PaulLo00,pass_long,0,,,,,
player,201610090clt,chi,PaulLo00,pass_rating,,,,,,
player,201610090clt,chi,PaulLo00,rush_att,0,,,,,
player,201610090clt,chi,PaulLo00,rush_yds,0,,,,,
player,201610090clt,chi,PaulLo00,rush_td,0,,,,,
player,201610090clt,chi,PaulLo00,rush_long,0,,,,,
player,201610090clt,chi,PaulLo00,targets,1,,,,,
player,201610090clt,chi,PaulLo00,rec,0,,,,,
player,201610090clt,chi,PaulLo00,rec_yds,0,,,,,
player,201610090clt,chi,PaulLo00,rec_td,0,,,,,
player,201610090clt,chi,PaulLo00,rec_long,0,,,,,
player,201610090clt,chi,PaulLo00,fumbles,0,,,,,
player,201610090clt,chi,PaulLo00,fumbles_lost,0,,,,,
player,201610090clt,clt,LuckAn00,pass_cmp,28,,,,,
player,201610090clt,clt,LuckAn00,pass_att,39,,,,,
player,201610090clt,clt,LuckAn00,pass_yds,322,,,,,
player,201610090clt,clt,LuckAn00,pass_td,2,,,,,
player,201610090clt,clt,LuckAn00,pass_int,0,,,,,
player,201610090clt,clt,LuckAn00,pass_sacked,5,,,,,
player,201610090clt,clt,LuckAn00,pass_sacked_yds,24,,,,,
player,201610090clt,clt,LuckAn00,pass_long,35,,,,,
player,201610090clt,clt,LuckAn00,pass_rating,113.4,,,,,
player,201610090clt,clt,LuckAn00,rush_att,5,,,,,
player,201610090clt,clt,LuckAn00,rush_yds,13,,,,,
