game,2016,13,20161204,201612040nwe,ram,"Los Angeles Rams",10,nwe,"New England Patriots",26
team,201612040nwe,ram,First Downs,7,,,,,,
team,201612040nwe,nwe,First Downs,20,,,,,,
team,201612040nwe,ram,Rush-Yds-TDs,13-36-0,,,,,,
team,201612040nwe,nwe,Rush-Yds-TDs,29-133-1,,,,,,
team,201612040nwe,ram,Cmp-Att-Yd-TD-INT,14-32-161-1-2,,,,,,
team,201612040nwe,nwe,Cmp-Att-Yd-TD-INT,33-46-269-1-0,,,,,,
team,201612040nwe,ram,Sacked-Yards,4-35,,,,,,
team,201612040nwe,nwe,Sacked-Yards,0-0,,,,,,
team,201612040nwe,ram,Net Pass Yards,126,,,,,,
team,201612040nwe,nwe,Net Pass Yards,269,,,,,,
team,201612040nwe,ram,Total Yards,162,,,,,,
team,201612040nwe,nwe,Total Yards,402,,,,,,
team,201612040nwe,ram,Fumbles-Lost,0-0,,,,,,
team,201612040nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201612040nwe,ram,Turnovers,2,,,,,,
team,201612040nwe,nwe,Turnovers,0,,,,,,
team,201612040nwe,ram,Penalties-Yards,4-30,,,,,,
team,201612040nwe,nwe,Penalties-Yards,8-46,,,,,,
team,201612040nwe,ram,Third Down Conv.,1-12,,,,,,
team,201612040nwe,nwe,Third Down Conv.,4-16,,,,,,
team,201612040nwe,ram,Fourth Down Conv.,1-1,,,,,,
team,201612040nwe,nwe,Fourth Down Conv.,2-2,,,,,,
team,201612040nwe,ram,Time of Possession,22:03,,,,,,
team,201612040nwe,nwe,Time of Possession,37:57,,,,,,
player,201612040nwe,ram,GoffJa00,pass_cmp,14,,,,,
player,201612040nwe,ram,GoffJa00,pass_att,32,,,,,
player,201612040nwe,ram,GoffJa00,pass_yds,161,,,,,
player,201612040nwe,ram,GoffJa00,pass_td,1,,,,,
player,201612040nwe,ram,GoffJa00,pass_int,2,,,,,
player,201612040nwe,ram,GoffJa00,pass_sacked,4,,,,,
player,201612040nwe,ram,GoffJa00,pass_sacked_yds,35,,,,,
player,201612040nwe,ram,GoffJa00,pass_long,66,,,,,
player,201612040nwe,ram,GoffJa00,pass_rating,43.9,,,,,
player,201612040nwe,ram,GoffJa00,rush_att,1,,,,,
player,201612040nwe,ram,GoffJa00,rush_yds,-1,,,,,
player,201612040nwe,ram,GoffJa00,rush_td,0,,,,,
player,201612040nwe,ram,GoffJa00,rush_long,-1,,,,,
player,201612040nwe,ram,GoffJa00,targets,0,,,,,
player,201612040nwe,ram,GoffJa00,rec,0,,,,,
player,201612040nwe,ram,GoffJa00,rec_yds,0,,,,,
player,201612040nwe,ram,GoffJa00,rec_td,0,,,,,
player,201612040nwe,ram,GoffJa00,rec_long,0,,,,,
player,201612040nwe,ram,GoffJa00,fumbles,0,,,,,
player,201612040nwe,ram,GoffJa00,fumbles_lost,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_cmp,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_att,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_yds,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_td,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_int,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_sacked,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_long,0,,,,,
player,201612040nwe,ram,GurlTo01,pass_rating,,,,,,
player,201612040nwe,ram,GurlTo01,rush_att,11,,,,,
player,201612040nwe,ram,GurlTo01,rush_yds,38,,,,,
player,201612040nwe,ram,GurlTo01,rush_td,0,,,,,
player,201612040nwe,ram,GurlTo01,rush_long,9,,,,,
player,201612040nwe,ram,GurlTo01,targets,3,,,,,
player,201612040nwe,ram,GurlTo01,rec,2,,,,,
player,201612040nwe,ram,GurlTo01,rec_yds,9,,,,,
player,201612040nwe,ram,GurlTo01,rec_td,0,,,,,
player,201612040nwe,ram,GurlTo01,rec_long,7,,,,,
player,201612040nwe,ram,GurlTo01,fumbles,0,,,,,
player,201612040nwe,ram,GurlTo01,fumbles_lost,0,,,,,
player,201612040nwe,ram,BritKe00,pass_cmp,0,,,,,
player,201612040nwe,ram,BritKe00,pass_att,0,,,,,
player,201612040nwe,ram,BritKe00,pass_yds,0,,,,,
player,201612040nwe,ram,BritKe00,pass_td,0,,,,,
player,201612040nwe,ram,BritKe00,pass_int,0,,,,,
player,201612040nwe,ram,BritKe00,pass_sacked,0,,,,,
player,201612040nwe,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201612040nwe,ram,BritKe00,pass_long,0,,,,,
player,201612040nwe,ram,BritKe00,pass_rating,,,,,,
player,201612040nwe,ram,BritKe00,rush_att,0,,,,,
player,201612040nwe,ram,BritKe00,rush_yds,0,,,,,
player,201612040nwe,ram,BritKe00,rush_td,0,,,,,
player,201612040nwe,ram,BritKe00,rush_long,0,,,,,
player,201612040nwe,ram,BritKe00,targets,6,,,,,
player,201612040nwe,ram,BritKe00,rec,2,,,,,
player,201612040nwe,ram,BritKe00,rec_yds,67,,,,,
player,201612040nwe,ram,BritKe00,rec_td,1,,,,,
player,201612040nwe,ram,BritKe00,rec_long,66,,,,,
player,201612040nwe,ram,BritKe00,fumbles,0,,,,,
player,201612040nwe,ram,BritKe00,fumbles_lost,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_cmp,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_att,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_yds,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_td,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_int,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_sacked,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_long,0,,,,,
player,201612040nwe,ram,QuicBr00,pass_rating,,,,,,
player,201612040nwe,ram,QuicBr00,rush_att,0,,,,,
player,201612040nwe,ram,QuicBr00,rush_yds,0,,,,,
player,201612040nwe,ram,QuicBr00,rush_td,0,,,,,
player,201612040nwe,ram,QuicBr00,rush_long,0,,,,,
player,201612040nwe,ram,QuicBr00,targets,8,,,,,
player,201612040nwe,ram,QuicBr00,rec,5,,,,,
player,201612040nwe,ram,QuicBr00,rec_yds,48,,,,,
player,201612040nwe,ram,QuicBr00,rec_td,0,,,,,
player,201612040nwe,ram,QuicBr00,rec_long,17,,,,,
player,201612040nwe,ram,QuicBr00,fumbles,0,,,,,
player,201612040nwe,ram,QuicBr00,fumbles_lost,0,,,,,
