game,2016,17,20170101,201701010atl,nor,"New Orleans Saints",32,atl,"Atlanta Falcons",38
team,201701010atl,nor,First Downs,26,,,,,,
team,201701010atl,atl,First Downs,25,,,,,,
team,201701010atl,nor,Rush-Yds-TDs,23-132-2,,,,,,
team,201701010atl,atl,Rush-Yds-TDs,22-142-1,,,,,,
team,201701010atl,nor,Cmp-Att-Yd-TD-INT,29-50-350-2-1,,,,,,
team,201701010atl,atl,Cmp-Att-Yd-TD-INT,27-36-331-4-0,,,,,,
team,201701010atl,nor,Sacked-Yards,2-9,,,,,,
team,201701010atl,atl,Sacked-Yards,1-8,,,,,,
team,201701010atl,nor,Net Pass Yards,341,,,,,,
team,201701010atl,atl,Net Pass Yards,323,,,,,,
team,201701010atl,nor,Total Yards,473,,,,,,
team,201701010atl,atl,Total Yards,465,,,,,,
team,201701010atl,nor,Fumbles-Lost,1-0,,,,,,
team,201701010atl,atl,Fumbles-Lost,0-0,,,,,,
team,201701010atl,nor,Turnovers,1,,,,,,
team,201701010atl,atl,Turnovers,0,,,,,,
team,201701010atl,nor,Penalties-Yards,6-70,,,,,,
team,201701010atl,atl,Penalties-Yards,9-63,,,,,,
team,201701010atl,nor,Third Down Conv.,7-16,,,,,,
team,201701010atl,atl,Third Down Conv.,6-11,,,,,,
team,201701010atl,nor,Fourth Down Conv.,3-3,,,,,,
team,201701010atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201701010atl,nor,Time of Possession,30:15,,,,,,
team,201701010atl,atl,Time of Possession,29:45,,,,,,
player,201701010atl,nor,BreeDr00,pass_cmp,29,,,,,
player,201701010atl,nor,BreeDr00,pass_att,50,,,,,
player,201701010atl,nor,BreeDr00,pass_yds,350,,,,,
player,201701010atl,nor,BreeDr00,pass_td,2,,,,,
player,201701010atl,nor,BreeDr00,pass_int,1,,,,,
player,201701010atl,nor,BreeDr00,pass_sacked,2,,,,,
player,201701010atl,nor,BreeDr00,pass_sacked_yds,9,,,,,
player,201701010atl,nor,BreeDr00,pass_long,35,,,,,
player,201701010atl,nor,BreeDr00,pass_rating,84.6,,,,,
