game,2016,16,20161224,201612240sea,crd,"Arizona Cardinals",34,sea,"Seattle Seahawks",31
team,201612240sea,crd,First Downs,21,,,,,,
team,201612240sea,sea,First Downs,24,,,,,,
team,201612240sea,crd,Rush-Yds-TDs,29-94-3,,,,,,
team,201612240sea,sea,Rush-Yds-TDs,27-78-0,,,,,,
team,201612240sea,crd,Cmp-Att-Yd-TD-INT,16-27-284-1-0,,,,,,
team,201612240sea,sea,Cmp-Att-Yd-TD-INT,29-45-350-4-0,,,,,,
team,201612240sea,crd,Sacked-Yards,1-8,,,,,,
team,201612240sea,sea,Sacked-Yards,6-37,,,,,,
team,201612240sea,crd,Net Pass Yards,276,,,,,,
team,201612240sea,sea,Net Pass Yards,313,,,,,,
team,201612240sea,crd,Total Yards,370,,,,,,
team,201612240sea,sea,Total Yards,391,,,,,,
team,201612240sea,crd,Fumbles-Lost,1-1,,,,,,
team,201612240sea,sea,Fumbles-Lost,1-1,,,,,,
team,201612240sea,crd,Turnovers,1,,,,,,
team,201612240sea,sea,Turnovers,1,,,,,,
team,201612240sea,crd,Penalties-Yards,7-85,,,,,,
team,201612240sea,sea,Penalties-Yards,5-40,,,,,,
team,201612240sea,crd,Third Down Conv.,1-9,,,,,,
team,201612240sea,sea,Third Down Conv.,8-17,,,,,,
team,201612240sea,crd,Fourth Down Conv.,0-0,,,,,,
team,201612240sea,sea,Fourth Down Conv.,0-2,,,,,,
team,201612240sea,crd,Time of Possession,26:18,,,,,,
team,201612240sea,sea,Time of Possession,33:42,,,,,,
player,201612240sea,crd,PalmCa00,pass_cmp,16,,,,,
player,201612240sea,crd,PalmCa00,pass_att,26,,,,,
player,201612240sea,crd,PalmCa00,pass_yds,284,,,,,
player,201612240sea,crd,PalmCa00,pass_td,1,,,,,
player,201612240sea,crd,PalmCa00,pass_int,0,,,,,
player,201612240sea,crd,PalmCa00,pass_sacked,1,,,,,
player,201612240sea,crd,PalmCa00,pass_sacked_yds,8,,,,,
player,201612240sea,crd,PalmCa00,pass_long,80,,,,,
player,201612240sea,crd,PalmCa00,pass_rating,111.7,,,,,
player,201612240sea,crd,PalmCa00,rush_att,1,,,,,
player,201612240sea,crd,PalmCa00,rush_yds,-1,,,,,
player,201612240sea,crd,PalmCa00,rush_td,0,,,,,
player,201612240sea,crd,PalmCa00,rush_long,-1,,,,,
player,201612240sea,crd,PalmCa00,targets,0,,,,,
player,201612240sea,crd,PalmCa00,rec,0,,,,,
player,201612240sea,crd,PalmCa00,rec_yds,0,,,,,
player,201612240sea,crd,PalmCa00,rec_td,0,,,,,
player,201612240sea,crd,PalmCa00,rec_long,0,,,,,
player,201612240sea,crd,PalmCa00,fumbles,0,,,,,
player,201612240sea,crd,PalmCa00,fumbles_lost,0,,,,,
