game,2016,4,20161002,201610020crd,ram,"Los Angeles Rams",17,crd,"Arizona Cardinals",13
team,201610020crd,ram,First Downs,12,,,,,,
team,201610020crd,crd,First Downs,26,,,,,,
team,201610020crd,ram,Rush-Yds-TDs,23-41-0,,,,,,
team,201610020crd,crd,Rush-Yds-TDs,25-118-0,,,,,,
team,201610020crd,ram,Cmp-Att-Yd-TD-INT,18-30-266-2-0,,,,,,
team,201610020crd,crd,Cmp-Att-Yd-TD-INT,27-47-325-1-3,,,,,,
team,201610020crd,ram,Sacked-Yards,2-19,,,,,,
team,201610020crd,crd,Sacked-Yards,3-23,,,,,,
team,201610020crd,ram,Net Pass Yards,247,,,,,,
team,201610020crd,crd,Net Pass Yards,302,,,,,,
team,201610020crd,ram,Total Yards,288,,,,,,
team,201610020crd,crd,Total Yards,420,,,,,,
team,201610020crd,ram,Fumbles-Lost,1-1,,,,,,
team,201610020crd,crd,Fumbles-Lost,2-2,,,,,,
team,201610020crd,ram,Turnovers,1,,,,,,
team,201610020crd,crd,Turnovers,5,,,,,,
team,201610020crd,ram,Penalties-Yards,9-84,,,,,,
team,201610020crd,crd,Penalties-Yards,6-45,,,,,,
team,201610020crd,ram,Third Down Conv.,6-14,,,,,,
team,201610020crd,crd,Third Down Conv.,6-13,,,,,,
team,201610020crd,ram,Fourth Down Conv.,0-1,,,,,,
team,201610020crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201610020crd,ram,Time of Possession,27:51,,,,,,
team,201610020crd,crd,Time of Possession,32:09,,,,,,
player,201610020crd,ram,KeenCa00,pass_cmp,18,,,,,
player,201610020crd,ram,KeenCa00,pass_att,30,,,,,
player,201610020crd,ram,KeenCa00,pass_yds,266,,,,,
player,201610020crd,ram,KeenCa00,pass_td,2,,,,,
player,201610020crd,ram,KeenCa00,pass_int,0,,,,,
player,201610020crd,ram,KeenCa00,pass_sacked,2,,,,,
player,201610020crd,ram,KeenCa00,pass_sacked_yds,19,,,,,
player,201610020crd,ram,KeenCa00,pass_long,65,,,,,
player,201610020crd,ram,KeenCa00,pass_rating,111.2,,,,,
player,201610020crd,ram,KeenCa00,rush_att,3,,,,,
player,201610020crd,ram,KeenCa00,rush_yds,14,,,,,
player,201610020crd,ram,KeenCa00,rush_td,0,,,,,
player,201610020crd,ram,KeenCa00,rush_long,13,,,,,
player,201610020crd,ram,KeenCa00,targets,0,,,,,
player,201610020crd,ram,KeenCa00,rec,0,,,,,
player,201610020crd,ram,KeenCa00,rec_yds,0,,,,,
player,201610020crd,ram,KeenCa00,rec_td,0,,,,,
player,201610020crd,ram,KeenCa00,rec_long,0,,,,,
player,201610020crd,ram,KeenCa00,fumbles,1,,,,,
player,201610020crd,ram,KeenCa00,fumbles_lost,1,,,,,
player,201610020crd,ram,GurlTo01,pass_cmp,0,,,,,
player,201610020crd,ram,GurlTo01,pass_att,0,,,,,
player,201610020crd,ram,GurlTo01,pass_yds,0,,,,,
player,201610020crd,ram,GurlTo01,pass_td,0,,,,,
player,201610020crd,ram,GurlTo01,pass_int,0,,,,,
player,201610020crd,ram,GurlTo01,pass_sacked,0,,,,,
player,201610020crd,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201610020crd,ram,GurlTo01,pass_long,0,,,,,
player,201610020crd,ram,GurlTo01,pass_rating,,,,,,
player,201610020crd,ram,GurlTo01,rush_att,19,,,,,
player,201610020crd,ram,GurlTo01,rush_yds,33,,,,,
player,201610020crd,ram,GurlTo01,rush_td,0,,,,,
player,201610020crd,ram,GurlTo01,rush_long,5,,,,,
player,201610020crd,ram,GurlTo01,targets,5,,,,,
player,201610020crd,ram,GurlTo01,rec,5,,,,,
player,201610020crd,ram,GurlTo01,rec_yds,49,,,,,
player,201610020crd,ram,GurlTo01,rec_td,0,,,,,
player,201610020crd,ram,GurlTo01,rec_long,33,,,,,
player,201610020crd,ram,GurlTo01,fumbles,0,,,,,
player,201610020crd,ram,GurlTo01,fumbles_lost,0,,,,,
player,201610020crd,ram,BritKe00,pass_cmp,0,,,,,
player,201610020crd,ram,BritKe00,pass_att,0,,,,,
player,201610020crd,ram,BritKe00,pass_yds,0,,,,,
player,201610020crd,ram,BritKe00,pass_td,0,,,,,
player,201610020crd,ram,BritKe00,pass_int,0,,,,,
player,201610020crd,ram,BritKe00,pass_sacked,0,,,,,
player,201610020crd,ram,BritKe00,pass_sacked_yds,0,,,,,
player,201610020crd,ram,BritKe00,pass_long,0,,,,,
player,201610020crd,ram,BritKe00,pass_rating,,,,,,
player,201610020crd,ram,BritKe00,rush_att,0,,,,,
player,201610020crd,ram,BritKe00,rush_yds,0,,,,,
player,201610020crd,ram,BritKe00,rush_td,0,,,,,
player,201610020crd,ram,BritKe00,rush_long,0,,,,,
player,201610020crd,ram,BritKe00,targets,4,,,,,
player,201610020crd,ram,BritKe00,rec,4,,,,,
player,201610020crd,ram,BritKe00,rec_yds,82,,,,,
player,201610020crd,ram,BritKe00,rec_td,0,,,,,
player,201610020crd,ram,BritKe00,rec_long,34,,,,,
