game,2016,1,20160911,201609110nor,rai,"Oakland Raiders",35,nor,"New Orleans Saints",34
team,201609110nor,rai,First Downs,25,,,,,,
team,201609110nor,nor,First Downs,27,,,,,,
team,201609110nor,rai,Rush-Yds-TDs,26-167-3,,,,,,
team,201609110nor,nor,Rush-Yds-TDs,22-88-0,,,,,,
team,201609110nor,rai,Cmp-Att-Yd-TD-INT,24-38-319-1-0,,,,,,
team,201609110nor,nor,Cmp-Att-Yd-TD-INT,28-42-423-4-0,,,,,,
team,201609110nor,rai,Sacked-Yards,0-0,,,,,,
team,201609110nor,nor,Sacked-Yards,1-4,,,,,,
team,201609110nor,rai,Net Pass Yards,319,,,,,,
team,201609110nor,nor,Net Pass Yards,419,,,,,,
team,201609110nor,rai,Total Yards,486,,,,,,
team,201609110nor,nor,Total Yards,507,,,,,,
team,201609110nor,rai,Fumbles-Lost,1-0,,,,,,
team,201609110nor,nor,Fumbles-Lost,2-1,,,,,,
team,201609110nor,rai,Turnovers,0,,,,,,
team,201609110nor,nor,Turnovers,1,,,,,,
team,201609110nor,rai,Penalties-Yards,14-141,,,,,,
team,201609110nor,nor,Penalties-Yards,7-53,,,,,,
team,201609110nor,rai,Third Down Conv.,4-11,,,,,,
team,201609110nor,nor,Third Down Conv.,4-11,,,,,,
team,201609110nor,rai,Fourth Down Conv.,0-0,,,,,,
team,201609110nor,nor,Fourth Down Conv.,1-1,,,,,,
team,201609110nor,rai,Time of Possession,30:25,,,,,,
team,201609110nor,nor,Time of Possession,29:35,,,,,,
player,201609110nor,rai,CarrDe02,pass_cmp,24,,,,,
player,201609110nor,rai,CarrDe02,pass_att,38,,,,,
player,201609110nor,rai,CarrDe02,pass_yds,319,,,,,
player,201609110nor,rai,CarrDe02,pass_td,1,,,,,
player,201609110nor,rai,CarrDe02,pass_int,0,,,,,
player,201609110nor,rai,CarrDe02,pass_sacked,0,,,,,
player,201609110nor,rai,CarrDe02,pass_sacked_yds,0,,,,,
player,201609110nor,rai,CarrDe02,pass_long,43,,,,,
player,201609110nor,rai,CarrDe02,pass_rating,98.5,,,,,
player,201609110nor,rai,CarrDe02,rush_att,2,,,,,
player,201609110nor,rai,CarrDe02,rush_yds,16,,,,,
player,201609110nor,rai,CarrDe02,rush_td,0,,,,,
player,201609110nor,rai,CarrDe02,rush_long,11,,,,,
player,201609110nor,rai,CarrDe02,targets,0,,,,,
player,201609110nor,rai,CarrDe02,rec,0,,,,,
player,201609110nor,rai,CarrDe02,rec_yds,0,,,,,
player,201609110nor,rai,CarrDe02,rec_td,0,,,,,
player,201609110nor,rai,CarrDe02,rec_long,0,,,,,
player,201609110nor,rai,CarrDe02,fumbles,0,,,,,
player,201609110nor,rai,CarrDe02,fumbles_lost,0,,,,,
player,201609110nor,rai,RichJa01,pass_cmp,0,,,,,
player,201609110nor,rai,RichJa01,pass_att,0,,,,,
player,201609110nor,rai,RichJa01,pass_yds,0,,,,,
player,201609110nor,rai,RichJa01,pass_td,0,,,,,
player,201609110nor,rai,RichJa01,pass_int,0,,,,,
player,201609110nor,rai,RichJa01,pass_sacked,,,,,,
player,201609110nor,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201609110nor,rai,RichJa01,pass_long,0,,,,,
player,201609110nor,rai,RichJa01,pass_rating,,,,,,
player,201609110nor,rai,RichJa01,rush_att,3,,,,,
player,201609110nor,rai,RichJa01,rush_yds,84,,,,,
player,201609110nor,rai,RichJa01,rush_td,1,,,,,
player,201609110nor,rai,RichJa01,rush_long,75,,,,,
player,201609110nor,rai,RichJa01,targets,2,,,,,
player,201609110nor,rai,RichJa01,rec,2,,,,,
player,201609110nor,rai,RichJa01,rec_yds,11,,,,,
player,201609110nor,rai,RichJa01,rec_td,0,,,,,
player,201609110nor,rai,RichJa01,rec_long,8,,,,,
player,201609110nor,rai,RichJa01,fumbles,0,,,,,
player,201609110nor,rai,RichJa01,fumbles_lost,0,,,,,
player,201609110nor,rai,MurrLa00,pass_cmp,0,,,,,
player,201609110nor,rai,MurrLa00,pass_att,0,,,,,
player,201609110nor,rai,MurrLa00,pass_yds,0,,,,,
player,201609110nor,rai,MurrLa00,pass_td,0,,,,,
player,201609110nor,rai,MurrLa00,pass_int,0,,,,,
player,201609110nor,rai,MurrLa00,pass_sacked,,,,,,
player,201609110nor,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,MurrLa00,pass_long,0,,,,,
player,201609110nor,rai,MurrLa00,pass_rating,,,,,,
player,201609110nor,rai,MurrLa00,rush_att,14,,,,,
player,201609110nor,rai,MurrLa00,rush_yds,59,,,,,
player,201609110nor,rai,MurrLa00,rush_td,1,,,,,
player,201609110nor,rai,MurrLa00,rush_long,10,,,,,
player,201609110nor,rai,MurrLa00,targets,2,,,,,
player,201609110nor,rai,MurrLa00,rec,1,,,,,
player,201609110nor,rai,MurrLa00,rec_yds,13,,,,,
player,201609110nor,rai,MurrLa00,rec_td,0,,,,,
player,201609110nor,rai,MurrLa00,rec_long,13,,,,,
player,201609110nor,rai,MurrLa00,fumbles,0,,,,,
player,201609110nor,rai,MurrLa00,fumbles_lost,0,,,,,
player,201609110nor,rai,WashDe00,pass_cmp,0,,,,,
player,201609110nor,rai,WashDe00,pass_att,0,,,,,
player,201609110nor,rai,WashDe00,pass_yds,0,,,,,
player,201609110nor,rai,WashDe00,pass_td,0,,,,,
player,201609110nor,rai,WashDe00,pass_int,0,,,,,
player,201609110nor,rai,WashDe00,pass_sacked,,,,,,
player,201609110nor,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,WashDe00,pass_long,0,,,,,
player,201609110nor,rai,WashDe00,pass_rating,,,,,,
player,201609110nor,rai,WashDe00,rush_att,5,,,,,
player,201609110nor,rai,WashDe00,rush_yds,14,,,,,
player,201609110nor,rai,WashDe00,rush_td,0,,,,,
player,201609110nor,rai,WashDe00,rush_long,5,,,,,
player,201609110nor,rai,WashDe00,targets,1,,,,,
player,201609110nor,rai,WashDe00,rec,1,,,,,
player,201609110nor,rai,WashDe00,rec_yds,10,,,,,
player,201609110nor,rai,WashDe00,rec_td,0,,,,,
player,201609110nor,rai,WashDe00,rec_long,10,,,,,
player,201609110nor,rai,WashDe00,fumbles,0,,,,,
player,201609110nor,rai,WashDe00,fumbles_lost,0,,,,,
player,201609110nor,rai,OlawJa00,pass_cmp,0,,,,,
player,201609110nor,rai,OlawJa00,pass_att,0,,,,,
player,201609110nor,rai,OlawJa00,pass_yds,0,,,,,
player,201609110nor,rai,OlawJa00,pass_td,0,,,,,
player,201609110nor,rai,OlawJa00,pass_int,0,,,,,
player,201609110nor,rai,OlawJa00,pass_sacked,,,,,,
player,201609110nor,rai,OlawJa00,pass_sacked_yds,0,,,,,
player,201609110nor,rai,OlawJa00,pass_long,0,,,,,
player,201609110nor,rai,OlawJa00,pass_rating,,,,,,
player,201609110nor,rai,OlawJa00,rush_att,1,,,,,
player,201609110nor,rai,OlawJa00,rush_yds,2,,,,,
player,201609110nor,rai,OlawJa00,rush_td,1,,,,,
player,201609110nor,rai,OlawJa00,rush_long,2,,,,,
player,201609110nor,rai,OlawJa00,targets,0,,,,,
player,201609110nor,rai,OlawJa00,rec,0,,,,,
