game,2016,13,20161201,201612010min,dal,"Dallas Cowboys",17,min,"Minnesota Vikings",15
team,201612010min,dal,First Downs,13,,,,,,
team,201612010min,min,First Downs,21,,,,,,
team,201612010min,dal,Rush-Yds-TDs,28-140-1,,,,,,
team,201612010min,min,Rush-Yds-TDs,19-87-0,,,,,,
team,201612010min,dal,Cmp-Att-Yd-TD-INT,12-18-139-1-0,,,,,,
team,201612010min,min,Cmp-Att-Yd-TD-INT,33-47-253-1-0,,,,,,
team,201612010min,dal,Sacked-Yards,3-15,,,,,,
team,201612010min,min,Sacked-Yards,3-22,,,,,,
team,201612010min,dal,Net Pass Yards,124,,,,,,
team,201612010min,min,Net Pass Yards,231,,,,,,
team,201612010min,dal,Total Yards,264,,,,,,
team,201612010min,min,Total Yards,318,,,,,,
team,201612010min,dal,Fumbles-Lost,4-2,,,,,,
team,201612010min,min,Fumbles-Lost,3-1,,,,,,
team,201612010min,dal,Turnovers,2,,,,,,
team,201612010min,min,Turnovers,1,,,,,,
team,201612010min,dal,Penalties-Yards,10-78,,,,,,
team,201612010min,min,Penalties-Yards,8-57,,,,,,
team,201612010min,dal,Third Down Conv.,1-9,,,,,,
team,201612010min,min,Third Down Conv.,6-16,,,,,,
team,201612010min,dal,Fourth Down Conv.,0-0,,,,,,
team,201612010min,min,Fourth Down Conv.,0-0,,,,,,
team,201612010min,dal,Time of Possession,26:43,,,,,,
team,201612010min,min,Time of Possession,33:17,,,,,,
player,201612010min,dal,PresDa01,pass_cmp,12,,,,,
player,201612010min,dal,PresDa01,pass_att,18,,,,,
player,201612010min,dal,PresDa01,pass_yds,139,,,,,
player,201612010min,dal,PresDa01,pass_td,1,,,,,
player,201612010min,dal,PresDa01,pass_int,0,,,,,
player,201612010min,dal,PresDa01,pass_sacked,3,,,,,
player,201612010min,dal,PresDa01,pass_sacked_yds,15,,,,,
player,201612010min,dal,PresDa01,pass_long,56,,,,,
player,201612010min,dal,PresDa01,pass_rating,108.3,,,,,
player,201612010min,dal,PresDa01,rush_att,6,,,,,
player,201612010min,dal,PresDa01,rush_yds,37,,,,,
player,201612010min,dal,PresDa01,rush_td,0,,,,,
player,201612010min,dal,PresDa01,rush_long,14,,,,,
player,201612010min,dal,PresDa01,targets,0,,,,,
player,201612010min,dal,PresDa01,rec,0,,,,,
player,201612010min,dal,PresDa01,rec_yds,0,,,,,
player,201612010min,dal,PresDa01,rec_td,0,,,,,
player,201612010min,dal,PresDa01,rec_long,0,,,,,
player,201612010min,dal,PresDa01,fumbles,2,,,,,
player,201612010min,dal,PresDa01,fumbles_lost,1,,,,,
player,201612010min,dal,ElliEz00,pass_cmp,0,,,,,
player,201612010min,dal,ElliEz00,pass_att,0,,,,,
player,201612010min,dal,ElliEz00,pass_yds,0,,,,,
player,201612010min,dal,ElliEz00,pass_td,0,,,,,
player,201612010min,dal,ElliEz00,pass_int,0,,,,,
player,201612010min,dal,ElliEz00,pass_sacked,0,,,,,
player,201612010min,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201612010min,dal,ElliEz00,pass_long,0,,,,,
player,201612010min,dal,ElliEz00,pass_rating,,,,,,
player,201612010min,dal,ElliEz00,rush_att,20,,,,,
player,201612010min,dal,ElliEz00,rush_yds,86,,,,,
player,201612010min,dal,ElliEz00,rush_td,1,,,,,
player,201612010min,dal,ElliEz00,rush_long,30,,,,,
player,201612010min,dal,ElliEz00,targets,5,,,,,
player,201612010min,dal,ElliEz00,rec,4,,,,,
player,201612010min,dal,ElliEz00,rec_yds,19,,,,,
