game,2016,3,20160922,201609220nwe,htx,"Houston Texans",0,nwe,"New England Patriots",27
team,201609220nwe,htx,First Downs,19,,,,,,
team,201609220nwe,nwe,First Downs,15,,,,,,
team,201609220nwe,htx,Rush-Yds-TDs,27-109-0,,,,,,
team,201609220nwe,nwe,Rush-Yds-TDs,39-185-3,,,,,,
team,201609220nwe,htx,Cmp-Att-Yd-TD-INT,24-41-196-0-1,,,,,,
team,201609220nwe,nwe,Cmp-Att-Yd-TD-INT,11-19-103-0-0,,,,,,
team,201609220nwe,htx,Sacked-Yards,2-21,,,,,,
team,201609220nwe,nwe,Sacked-Yards,1-6,,,,,,
team,201609220nwe,htx,Net Pass Yards,175,,,,,,
team,201609220nwe,nwe,Net Pass Yards,97,,,,,,
team,201609220nwe,htx,Total Yards,284,,,,,,
team,201609220nwe,nwe,Total Yards,282,,,,,,
team,201609220nwe,htx,Fumbles-Lost,2-2,,,,,,
team,201609220nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201609220nwe,htx,Turnovers,3,,,,,,
team,201609220nwe,nwe,Turnovers,0,,,,,,
team,201609220nwe,htx,Penalties-Yards,6-43,,,,,,
team,201609220nwe,nwe,Penalties-Yards,3-15,,,,,,
team,201609220nwe,htx,Third Down Conv.,6-15,,,,,,
team,201609220nwe,nwe,Third Down Conv.,4-14,,,,,,
team,201609220nwe,htx,Fourth Down Conv.,0-3,,,,,,
team,201609220nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201609220nwe,htx,Time of Possession,31:22,,,,,,
team,201609220nwe,nwe,Time of Possession,28:38,,,,,,
player,201609220nwe,htx,OsweBr00,pass_cmp,24,,,,,
player,201609220nwe,htx,OsweBr00,pass_att,41,,,,,
player,201609220nwe,htx,OsweBr00,pass_yds,196,,,,,
player,201609220nwe,htx,OsweBr00,pass_td,0,,,,,
player,201609220nwe,htx,OsweBr00,pass_int,1,,,,,
player,201609220nwe,htx,OsweBr00,pass_sacked,2,,,,,
player,201609220nwe,htx,OsweBr00,pass_sacked_yds,21,,,,,
player,201609220nwe,htx,OsweBr00,pass_long,18,,,,,
player,201609220nwe,htx,OsweBr00,pass_rating,60.6,,,,,
player,201609220nwe,htx,OsweBr00,rush_att,1,,,,,
player,201609220nwe,htx,OsweBr00,rush_yds,13,,,,,
player,201609220nwe,htx,OsweBr00,rush_td,0,,,,,
player,201609220nwe,htx,OsweBr00,rush_long,13,,,,,
player,201609220nwe,htx,OsweBr00,targets,0,,,,,
player,201609220nwe,htx,OsweBr00,rec,0,,,,,
player,201609220nwe,htx,OsweBr00,rec_yds,0,,,,,
