game,2016,4,20161002,201610020sfo,dal,"Dallas Cowboys",24,sfo,"San Francisco 49ers",17
team,201610020sfo,dal,First Downs,26,,,,,,
team,201610020sfo,sfo,First Downs,14,,,,,,
team,201610020sfo,dal,Rush-Yds-TDs,39-194-1,,,,,,
team,201610020sfo,sfo,Rush-Yds-TDs,29-106-1,,,,,,
team,201610020sfo,dal,Cmp-Att-Yd-TD-INT,23-32-245-2-0,,,,,,
team,201610020sfo,sfo,Cmp-Att-Yd-TD-INT,16-23-196-1-1,,,,,,
team,201610020sfo,dal,Sacked-Yards,2-11,,,,,,
team,201610020sfo,sfo,Sacked-Yards,1-7,,,,,,
team,201610020sfo,dal,Net Pass Yards,234,,,,,,
team,201610020sfo,sfo,Net Pass Yards,189,,,,,,
team,201610020sfo,dal,Total Yards,428,,,,,,
team,201610020sfo,sfo,Total Yards,295,,,,,,
team,201610020sfo,dal,Fumbles-Lost,0-0,,,,,,
team,201610020sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201610020sfo,dal,Turnovers,0,,,,,,
team,201610020sfo,sfo,Turnovers,1,,,,,,
team,201610020sfo,dal,Penalties-Yards,6-45,,,,,,
team,201610020sfo,sfo,Penalties-Yards,5-32,,,,,,
team,201610020sfo,dal,Third Down Conv.,6-14,,,,,,
team,201610020sfo,sfo,Third Down Conv.,8-14,,,,,,
team,201610020sfo,dal,Fourth Down Conv.,0-0,,,,,,
team,201610020sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201610020sfo,dal,Time of Possession,36:27,,,,,,
team,201610020sfo,sfo,Time of Possession,23:33,,,,,,
player,201610020sfo,dal,PresDa01,pass_cmp,23,,,,,
player,201610020sfo,dal,PresDa01,pass_att,32,,,,,
player,201610020sfo,dal,PresDa01,pass_yds,245,,,,,
player,201610020sfo,dal,PresDa01,pass_td,2,,,,,
player,201610020sfo,dal,PresDa01,pass_int,0,,,,,
player,201610020sfo,dal,PresDa01,pass_sacked,2,,,,,
player,201610020sfo,dal,PresDa01,pass_sacked_yds,11,,,,,
player,201610020sfo,dal,PresDa01,pass_long,47,,,,,
player,201610020sfo,dal,PresDa01,pass_rating,114.7,,,,,
player,201610020sfo,dal,PresDa01,rush_att,5,,,,,
player,201610020sfo,dal,PresDa01,rush_yds,3,,,,,
player,201610020sfo,dal,PresDa01,rush_td,0,,,,,
player,201610020sfo,dal,PresDa01,rush_long,9,,,,,
player,201610020sfo,dal,PresDa01,targets,0,,,,,
player,201610020sfo,dal,PresDa01,rec,0,,,,,
player,201610020sfo,dal,PresDa01,rec_yds,0,,,,,
player,201610020sfo,dal,PresDa01,rec_td,0,,,,,
player,201610020sfo,dal,PresDa01,rec_long,0,,,,,
player,201610020sfo,dal,PresDa01,fumbles,0,,,,,
player,201610020sfo,dal,PresDa01,fumbles_lost,0,,,,,
