game,2016,6,20161016,201610160nyg,rav,"Baltimore Ravens",23,nyg,"New York Giants",27
player,201610160nyg,nyg,MannEl00,pass_long,75,,,,,
player,201610160nyg,nyg,MannEl00,pass_rating,100.2,,,,,
player,201610160nyg,nyg,MannEl00,rush_att,0,,,,,
player,201610160nyg,nyg,MannEl00,rush_yds,0,,,,,
player,201610160nyg,nyg,MannEl00,rush_td,0,,,,,
player,201610160nyg,nyg,MannEl00,rush_long,0,,,,,
player,201610160nyg,nyg,MannEl00,targets,0,,,,,
player,201610160nyg,nyg,MannEl00,rec,0,,,,,
player,201610160nyg,nyg,MannEl00,rec_yds,0,,,,,
player,201610160nyg,nyg,MannEl00,rec_td,0,,,,,
player,201610160nyg,nyg,MannEl00,rec_long,0,,,,,
player,201610160nyg,nyg,MannEl00,fumbles,0,,,,,
player,201610160nyg,nyg,MannEl00,fumbles_lost,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_cmp,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_att,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_yds,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_td,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_int,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_sacked,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_long,0,,,,,
player,201610160nyg,nyg,JennRa00,pass_rating,,,,,,
player,201610160nyg,nyg,JennRa00,rush_att,9,,,,,
player,201610160nyg,nyg,JennRa00,rush_yds,15,,,,,
player,201610160nyg,nyg,JennRa00,rush_td,0,,,,,
player,201610160nyg,nyg,JennRa00,rush_long,5,,,,,
player,201610160nyg,nyg,JennRa00,targets,4,,,,,
player,201610160nyg,nyg,JennRa00,rec,4,,,,,
player,201610160nyg,nyg,JennRa00,rec_yds,20,,,,,
player,201610160nyg,nyg,JennRa00,rec_td,0,,,,,
player,201610160nyg,nyg,JennRa00,rec_long,9,,,,,
player,201610160nyg,nyg,JennRa00,fumbles,0,,,,,
player,201610160nyg,nyg,JennRa00,fumbles_lost,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_cmp,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_att,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_yds,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_td,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_int,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_sacked,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_long,0,,,,,
player,201610160nyg,nyg,RainBo00,pass_rating,,,,,,
player,201610160nyg,nyg,RainBo00,rush_att,6,,,,,
player,201610160nyg,nyg,RainBo00,rush_yds,13,,,,,
player,201610160nyg,nyg,RainBo00,rush_td,0,,,,,
player,201610160nyg,nyg,RainBo00,rush_long,6,,,,,
player,201610160nyg,nyg,RainBo00,targets,3,,,,,
player,201610160nyg,nyg,RainBo00,rec,2,,,,,
player,201610160nyg,nyg,RainBo00,rec_yds,16,,,,,
player,201610160nyg,nyg,RainBo00,rec_td,0,,,,,
player,201610160nyg,nyg,RainBo00,rec_long,9,,,,,
player,201610160nyg,nyg,RainBo00,fumbles,0,,,,,
player,201610160nyg,nyg,RainBo00,fumbles_lost,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_cmp,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_att,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_yds,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_td,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_int,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_sacked,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_long,0,,,,,
player,201610160nyg,nyg,PerkPa00,pass_rating,,,,,,
player,201610160nyg,nyg,PerkPa00,rush_att,2,,,,,
player,201610160nyg,nyg,PerkPa00,rush_yds,10,,,,,
player,201610160nyg,nyg,PerkPa00,rush_td,0,,,,,
player,201610160nyg,nyg,PerkPa00,rush_long,6,,,,,
player,201610160nyg,nyg,PerkPa00,targets,2,,,,,
player,201610160nyg,nyg,PerkPa00,rec,2,,,,,
player,201610160nyg,nyg,PerkPa00,rec_yds,16,,,,,
player,201610160nyg,nyg,PerkPa00,rec_td,0,,,,,
player,201610160nyg,nyg,PerkPa00,rec_long,11,,,,,
player,201610160nyg,nyg,PerkPa00,fumbles,0,,,,,
player,201610160nyg,nyg,PerkPa00,fumbles_lost,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_cmp,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_att,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_yds,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_td,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_int,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_sacked,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_long,0,,,,,
player,201610160nyg,nyg,BeckOd00,pass_rating,,,,,,
player,201610160nyg,nyg,BeckOd00,rush_att,0,,,,,
player,201610160nyg,nyg,BeckOd00,rush_yds,0,,,,,
player,201610160nyg,nyg,BeckOd00,rush_td,0,,,,,
player,201610160nyg,nyg,BeckOd00,rush_long,0,,,,,
player,201610160nyg,nyg,BeckOd00,targets,10,,,,,
player,201610160nyg,nyg,BeckOd00,rec,8,,,,,
player,201610160nyg,nyg,BeckOd00,rec_yds,222,,,,,
player,201610160nyg,nyg,BeckOd00,rec_td,2,,,,,
player,201610160nyg,nyg,BeckOd00,rec_long,75,,,,,
player,201610160nyg,nyg,BeckOd00,fumbles,1,,,,,
player,201610160nyg,nyg,BeckOd00,fumbles_lost,1,,,,,
player,201610160nyg,nyg,DonnLa00,pass_cmp,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_att,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_yds,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_td,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_int,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_sacked,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_long,0,,,,,
player,201610160nyg,nyg,DonnLa00,pass_rating,,,,,,
player,201610160nyg,nyg,DonnLa00,rush_att,0,,,,,
player,201610160nyg,nyg,DonnLa00,rush_yds,0,,,,,
player,201610160nyg,nyg,DonnLa00,rush_td,0,,,,,
player,201610160nyg,nyg,DonnLa00,rush_long,0,,,,,
player,201610160nyg,nyg,DonnLa00,targets,7,,,,,
player,201610160nyg,nyg,DonnLa00,rec,6,,,,,
player,201610160nyg,nyg,DonnLa00,rec_yds,34,,,,,
player,201610160nyg,nyg,DonnLa00,rec_td,0,,,,,
player,201610160nyg,nyg,DonnLa00,rec_long,13,,,,,
player,201610160nyg,nyg,DonnLa00,fumbles,0,,,,,
player,201610160nyg,nyg,DonnLa00,fumbles_lost,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_cmp,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_att,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_yds,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_td,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_int,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_sacked,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_long,0,,,,,
player,201610160nyg,nyg,CruzVi00,pass_rating,,,,,,
player,201610160nyg,nyg,CruzVi00,rush_att,0,,,,,
player,201610160nyg,nyg,CruzVi00,rush_yds,0,,,,,
player,201610160nyg,nyg,CruzVi00,rush_td,0,,,,,
player,201610160nyg,nyg,CruzVi00,rush_long,0,,,,,
player,201610160nyg,nyg,CruzVi00,targets,7,,,,,
player,201610160nyg,nyg,CruzVi00,rec,3,,,,,
player,201610160nyg,nyg,CruzVi00,rec_yds,31,,,,,
player,201610160nyg,nyg,CruzVi00,rec_td,0,,,,,
player,201610160nyg,nyg,CruzVi00,rec_long,17,,,,,
player,201610160nyg,nyg,CruzVi00,fumbles,0,,,,,
player,201610160nyg,nyg,CruzVi00,fumbles_lost,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_cmp,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_att,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_yds,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_td,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_int,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_sacked,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_long,0,,,,,
player,201610160nyg,nyg,ShepSt00,pass_rating,,,,,,
player,201610160nyg,nyg,ShepSt00,rush_att,0,,,,,
player,201610160nyg,nyg,ShepSt00,rush_yds,0,,,,,
player,201610160nyg,nyg,ShepSt00,rush_td,0,,,,,
player,201610160nyg,nyg,ShepSt00,rush_long,0,,,,,
player,201610160nyg,nyg,ShepSt00,targets,8,,,,,
player,201610160nyg,nyg,ShepSt00,rec,4,,,,,
player,201610160nyg,nyg,ShepSt00,rec_yds,25,,,,,
player,201610160nyg,nyg,ShepSt00,rec_td,0,,,,,
player,201610160nyg,nyg,ShepSt00,rec_long,10,,,,,
player,201610160nyg,nyg,ShepSt00,fumbles,0,,,,,
player,201610160nyg,nyg,ShepSt00,fumbles_lost,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_cmp,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_att,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_yds,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_td,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_int,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_sacked,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_long,0,,,,,
player,201610160nyg,nyg,LewiRo03,pass_rating,,,,,,
player,201610160nyg,nyg,LewiRo03,rush_att,0,,,,,
player,201610160nyg,nyg,LewiRo03,rush_yds,0,,,,,
player,201610160nyg,nyg,LewiRo03,rush_td,0,,,,,
player,201610160nyg,nyg,LewiRo03,rush_long,0,,,,,
player,201610160nyg,nyg,LewiRo03,targets,3,,,,,
player,201610160nyg,nyg,LewiRo03,rec,1,,,,,
player,201610160nyg,nyg,LewiRo03,rec_yds,24,,,,,
player,201610160nyg,nyg,LewiRo03,rec_td,1,,,,,
player,201610160nyg,nyg,LewiRo03,rec_long,24,,,,,
player,201610160nyg,nyg,LewiRo03,fumbles,0,,,,,
player,201610160nyg,nyg,LewiRo03,fumbles_lost,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_cmp,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_att,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_yds,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_td,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_int,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_sacked,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_sacked_yds,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_long,0,,,,,
player,201610160nyg,nyg,TyexWi00,pass_rating,,,,,,
