game,2016,8,20161030,201610300dal,phi,"Philadelphia Eagles",23,dal,"Dallas Cowboys",29
player,201610300dal,phi,BarnKe00,pass_att,0,,,,,
player,201610300dal,phi,BarnKe00,pass_yds,0,,,,,
player,201610300dal,phi,BarnKe00,pass_td,0,,,,,
player,201610300dal,phi,BarnKe00,pass_int,0,,,,,
player,201610300dal,phi,BarnKe00,pass_sacked,0,,,,,
player,201610300dal,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201610300dal,phi,BarnKe00,pass_long,0,,,,,
player,201610300dal,phi,BarnKe00,pass_rating,,,,,,
player,201610300dal,phi,BarnKe00,rush_att,3,,,,,
player,201610300dal,phi,BarnKe00,rush_yds,9,,,,,
player,201610300dal,phi,BarnKe00,rush_td,0,,,,,
player,201610300dal,phi,BarnKe00,rush_long,4,,,,,
player,201610300dal,phi,BarnKe00,targets,1,,,,,
player,201610300dal,phi,BarnKe00,rec,1,,,,,
player,201610300dal,phi,BarnKe00,rec_yds,5,,,,,
player,201610300dal,phi,BarnKe00,rec_td,0,,,,,
player,201610300dal,phi,BarnKe00,rec_long,5,,,,,
player,201610300dal,phi,BarnKe00,fumbles,0,,,,,
player,201610300dal,phi,BarnKe00,fumbles_lost,0,,,,,
player,201610300dal,phi,MattJo00,pass_cmp,0,,,,,
player,201610300dal,phi,MattJo00,pass_att,0,,,,,
player,201610300dal,phi,MattJo00,pass_yds,0,,,,,
player,201610300dal,phi,MattJo00,pass_td,0,,,,,
player,201610300dal,phi,MattJo00,pass_int,0,,,,,
player,201610300dal,phi,MattJo00,pass_sacked,0,,,,,
player,201610300dal,phi,MattJo00,pass_sacked_yds,0,,,,,
player,201610300dal,phi,MattJo00,pass_long,0,,,,,
player,201610300dal,phi,MattJo00,pass_rating,,,,,,
player,201610300dal,phi,MattJo00,rush_att,0,,,,,
player,201610300dal,phi,MattJo00,rush_yds,0,,,,,
player,201610300dal,phi,MattJo00,rush_td,0,,,,,
player,201610300dal,phi,MattJo00,rush_long,0,,,,,
player,201610300dal,phi,MattJo00,targets,15,,,,,
player,201610300dal,phi,MattJo00,rec,11,,,,,
player,201610300dal,phi,MattJo00,rec_yds,65,,,,,
player,201610300dal,phi,MattJo00,rec_td,1,,,,,
player,201610300dal,phi,MattJo00,rec_long,13,,,,,
player,201610300dal,phi,MattJo00,fumbles,0,,,,,
player,201610300dal,phi,MattJo00,fumbles_lost,0,,,,,
player,201610300dal,phi,GreeDo00,pass_cmp,0,,,,,
player,201610300dal,phi,GreeDo00,pass_att,0,,,,,
