game,2016,1,20160911,201609110phi,cle,"Cleveland Browns",10,phi,"Philadelphia Eagles",29
player,201609110phi,cle,ColeCo00,fumbles_lost,0,,,,,
player,201609110phi,cle,PryoTe00,pass_cmp,0,,,,,
player,201609110phi,cle,PryoTe00,pass_att,0,,,,,
player,201609110phi,cle,PryoTe00,pass_yds,0,,,,,
player,201609110phi,cle,PryoTe00,pass_td,0,,,,,
player,201609110phi,cle,PryoTe00,pass_int,0,,,,,
player,201609110phi,cle,PryoTe00,pass_sacked,0,,,,,
player,201609110phi,cle,PryoTe00,pass_sacked_yds,0,,,,,
player,201609110phi,cle,PryoTe00,pass_long,0,,,,,
player,201609110phi,cle,PryoTe00,pass_rating,,,,,,
player,201609110phi,cle,PryoTe00,rush_att,0,,,,,
player,201609110phi,cle,PryoTe00,rush_yds,0,,,,,
player,201609110phi,cle,PryoTe00,rush_td,0,,,,,
player,201609110phi,cle,PryoTe00,rush_long,0,,,,,
player,201609110phi,cle,PryoTe00,targets,7,,,,,
player,201609110phi,cle,PryoTe00,rec,3,,,,,
player,201609110phi,cle,PryoTe00,rec_yds,68,,,,,
player,201609110phi,cle,PryoTe00,rec_td,0,,,,,
player,201609110phi,cle,PryoTe00,rec_long,44,,,,,
player,201609110phi,cle,PryoTe00,fumbles,0,,,,,
player,201609110phi,cle,PryoTe00,fumbles_lost,0,,,,,
player,201609110phi,cle,JohnMa06,pass_cmp,0,,,,,
player,201609110phi,cle,JohnMa06,pass_att,0,,,,,
player,201609110phi,cle,JohnMa06,pass_yds,0,,,,,
player,201609110phi,cle,JohnMa06,pass_td,0,,,,,
player,201609110phi,cle,JohnMa06,pass_int,0,,,,,
player,201609110phi,cle,JohnMa06,pass_sacked,0,,,,,
player,201609110phi,cle,JohnMa06,pass_sacked_yds,0,,,,,
player,201609110phi,cle,JohnMa06,pass_long,0,,,,,
player,201609110phi,cle,JohnMa06,pass_rating,,,,,,
player,201609110phi,cle,JohnMa06,rush_att,0,,,,,
player,201609110phi,cle,JohnMa06,rush_yds,0,,,,,
player,201609110phi,cle,JohnMa06,rush_td,0,,,,,
player,201609110phi,cle,JohnMa06,rush_long,0,,,,,
player,201609110phi,cle,JohnMa06,targets,2,,,,,
player,201609110phi,cle,JohnMa06,rec,2,,,,,
player,201609110phi,cle,JohnMa06,rec_yds,9,,,,,
player,201609110phi,cle,JohnMa06,rec_td,0,,,,,
player,201609110phi,cle,JohnMa06,rec_long,6,,,,,
player,201609110phi,cle,JohnMa06,fumbles,0,,,,,
player,201609110phi,cle,JohnMa06,fumbles_lost,0,,,,,
player,201609110phi,cle,BarnGa01,pass_cmp,0,,,,,
player,201609110phi,cle,BarnGa01,pass_att,0,,,,,
player,201609110phi,cle,BarnGa01,pass_yds,0,,,,,
