game,2016,14,20161211,201612110ram,atl,"Atlanta Falcons",42,ram,"Los Angeles Rams",14
team,201612110ram,atl,First Downs,18,,,,,,
team,201612110ram,ram,First Downs,21,,,,,,
team,201612110ram,atl,Rush-Yds-TDs,25-66-1,,,,,,
team,201612110ram,ram,Rush-Yds-TDs,23-104-2,,,,,,
team,201612110ram,atl,Cmp-Att-Yd-TD-INT,18-30-237-3-0,,,,,,
team,201612110ram,ram,Cmp-Att-Yd-TD-INT,24-41-235-0-2,,,,,,
team,201612110ram,atl,Sacked-Yards,2-17,,,,,,
team,201612110ram,ram,Sacked-Yards,3-27,,,,,,
team,201612110ram,atl,Net Pass Yards,220,,,,,,
team,201612110ram,ram,Net Pass Yards,208,,,,,,
team,201612110ram,atl,Total Yards,286,,,,,,
team,201612110ram,ram,Total Yards,312,,,,,,
team,201612110ram,atl,Fumbles-Lost,0-0,,,,,,
team,201612110ram,ram,Fumbles-Lost,3-3,,,,,,
team,201612110ram,atl,Turnovers,0,,,,,,
team,201612110ram,ram,Turnovers,5,,,,,,
team,201612110ram,atl,Penalties-Yards,5-40,,,,,,
team,201612110ram,ram,Penalties-Yards,11-105,,,,,,
team,201612110ram,atl,Third Down Conv.,4-13,,,,,,
team,201612110ram,ram,Third Down Conv.,6-14,,,,,,
team,201612110ram,atl,Fourth Down Conv.,0-0,,,,,,
team,201612110ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201612110ram,atl,Time of Possession,27:08,,,,,,
team,201612110ram,ram,Time of Possession,32:52,,,,,,
player,201612110ram,atl,RyanMa00,pass_cmp,18,,,,,
player,201612110ram,atl,RyanMa00,pass_att,28,,,,,
player,201612110ram,atl,RyanMa00,pass_yds,237,,,,,
player,201612110ram,atl,RyanMa00,pass_td,3,,,,,
player,201612110ram,atl,RyanMa00,pass_int,0,,,,,
player,201612110ram,atl,RyanMa00,pass_sacked,2,,,,,
player,201612110ram,atl,RyanMa00,pass_sacked_yds,17,,,,,
player,201612110ram,atl,RyanMa00,pass_long,64,,,,,
player,201612110ram,atl,RyanMa00,pass_rating,126.6,,,,,
player,201612110ram,atl,RyanMa00,rush_att,0,,,,,
player,201612110ram,atl,RyanMa00,rush_yds,0,,,,,
player,201612110ram,atl,RyanMa00,rush_td,0,,,,,
player,201612110ram,atl,RyanMa00,rush_long,0,,,,,
player,201612110ram,atl,RyanMa00,targets,0,,,,,
player,201612110ram,atl,RyanMa00,rec,0,,,,,
player,201612110ram,atl,RyanMa00,rec_yds,0,,,,,
player,201612110ram,atl,RyanMa00,rec_td,0,,,,,
player,201612110ram,atl,RyanMa00,rec_long,0,,,,,
player,201612110ram,atl,RyanMa00,fumbles,0,,,,,
player,201612110ram,atl,RyanMa00,fumbles_lost,0,,,,,
player,201612110ram,atl,SchaMa00,pass_cmp,0,,,,,
player,201612110ram,atl,SchaMa00,pass_att,2,,,,,
player,201612110ram,atl,SchaMa00,pass_yds,0,,,,,
player,201612110ram,atl,SchaMa00,pass_td,0,,,,,
player,201612110ram,atl,SchaMa00,pass_int,0,,,,,
player,201612110ram,atl,SchaMa00,pass_sacked,0,,,,,
player,201612110ram,atl,SchaMa00,pass_sacked_yds,0,,,,,
player,201612110ram,atl,SchaMa00,pass_long,0,,,,,
player,201612110ram,atl,SchaMa00,pass_rating,39.6,,,,,
player,201612110ram,atl,SchaMa00,rush_att,0,,,,,
player,201612110ram,atl,SchaMa00,rush_yds,0,,,,,
player,201612110ram,atl,SchaMa00,rush_td,0,,,,,
player,201612110ram,atl,SchaMa00,rush_long,0,,,,,
player,201612110ram,atl,SchaMa00,targets,0,,,,,
player,201612110ram,atl,SchaMa00,rec,0,,,,,
player,201612110ram,atl,SchaMa00,rec_yds,0,,,,,
player,201612110ram,atl,SchaMa00,rec_td,0,,,,,
player,201612110ram,atl,SchaMa00,rec_long,0,,,,,
player,201612110ram,atl,SchaMa00,fumbles,0,,,,,
player,201612110ram,atl,SchaMa00,fumbles_lost,0,,,,,
player,201612110ram,atl,ColeTe01,pass_cmp,0,,,,,
player,201612110ram,atl,ColeTe01,pass_att,0,,,,,
player,201612110ram,atl,ColeTe01,pass_yds,0,,,,,
player,201612110ram,atl,ColeTe01,pass_td,0,,,,,
player,201612110ram,atl,ColeTe01,pass_int,0,,,,,
player,201612110ram,atl,ColeTe01,pass_sacked,0,,,,,
player,201612110ram,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201612110ram,atl,ColeTe01,pass_long,0,,,,,
player,201612110ram,atl,ColeTe01,pass_rating,,,,,,
player,201612110ram,atl,ColeTe01,rush_att,8,,,,,
player,201612110ram,atl,ColeTe01,rush_yds,36,,,,,
player,201612110ram,atl,ColeTe01,rush_td,1,,,,,
player,201612110ram,atl,ColeTe01,rush_long,10,,,,,
player,201612110ram,atl,ColeTe01,targets,3,,,,,
player,201612110ram,atl,ColeTe01,rec,2,,,,,
player,201612110ram,atl,ColeTe01,rec_yds,19,,,,,
player,201612110ram,atl,ColeTe01,rec_td,1,,,,,
