game,2016,8,20161030,201610300tam,rai,"Oakland Raiders",30,tam,"Tampa Bay Buccaneers",24
team,201610300tam,rai,First Downs,27,,,,,,
team,201610300tam,tam,First Downs,18,,,,,,
team,201610300tam,rai,Rush-Yds-TDs,24-128-0,,,,,,
team,201610300tam,tam,Rush-Yds-TDs,27-102-1,,,,,,
team,201610300tam,rai,Cmp-Att-Yd-TD-INT,40-59-513-4-0,,,,,,
team,201610300tam,tam,Cmp-Att-Yd-TD-INT,16-32-180-2-0,,,,,,
team,201610300tam,rai,Sacked-Yards,2-15,,,,,,
team,201610300tam,tam,Sacked-Yards,2-12,,,,,,
team,201610300tam,rai,Net Pass Yards,498,,,,,,
team,201610300tam,tam,Net Pass Yards,168,,,,,,
team,201610300tam,rai,Total Yards,626,,,,,,
team,201610300tam,tam,Total Yards,270,,,,,,
team,201610300tam,rai,Fumbles-Lost,1-1,,,,,,
team,201610300tam,tam,Fumbles-Lost,2-0,,,,,,
team,201610300tam,rai,Turnovers,1,,,,,,
team,201610300tam,tam,Turnovers,0,,,,,,
team,201610300tam,rai,Penalties-Yards,23-200,,,,,,
team,201610300tam,tam,Penalties-Yards,6-64,,,,,,
team,201610300tam,rai,Third Down Conv.,7-18,,,,,,
team,201610300tam,tam,Third Down Conv.,4-13,,,,,,
team,201610300tam,rai,Fourth Down Conv.,1-1,,,,,,
team,201610300tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201610300tam,rai,Time of Possession,44:12,,,,,,
team,201610300tam,tam,Time of Possession,29:03,,,,,,
player,201610300tam,rai,CarrDe02,pass_cmp,40,,,,,
player,201610300tam,rai,CarrDe02,pass_att,59,,,,,
player,201610300tam,rai,CarrDe02,pass_yds,513,,,,,
player,201610300tam,rai,CarrDe02,pass_td,4,,,,,
player,201610300tam,rai,CarrDe02,pass_int,0,,,,,
player,201610300tam,rai,CarrDe02,pass_sacked,2,,,,,
player,201610300tam,rai,CarrDe02,pass_sacked_yds,15,,,,,
player,201610300tam,rai,CarrDe02,pass_long,68,,,,,
player,201610300tam,rai,CarrDe02,pass_rating,117.4,,,,,
player,201610300tam,rai,CarrDe02,rush_att,1,,,,,
player,201610300tam,rai,CarrDe02,rush_yds,13,,,,,
player,201610300tam,rai,CarrDe02,rush_td,0,,,,,
player,201610300tam,rai,CarrDe02,rush_long,13,,,,,
player,201610300tam,rai,CarrDe02,targets,0,,,,,
player,201610300tam,rai,CarrDe02,rec,0,,,,,
player,201610300tam,rai,CarrDe02,rec_yds,0,,,,,
player,201610300tam,rai,CarrDe02,rec_td,0,,,,,
player,201610300tam,rai,CarrDe02,rec_long,0,,,,,
player,201610300tam,rai,CarrDe02,fumbles,1,,,,,
player,201610300tam,rai,CarrDe02,fumbles_lost,1,,,,,
player,201610300tam,rai,MurrLa00,pass_cmp,0,,,,,
player,201610300tam,rai,MurrLa00,pass_att,0,,,,,
player,201610300tam,rai,MurrLa00,pass_yds,0,,,,,
player,201610300tam,rai,MurrLa00,pass_td,0,,,,,
player,201610300tam,rai,MurrLa00,pass_int,0,,,,,
player,201610300tam,rai,MurrLa00,pass_sacked,,,,,,
player,201610300tam,rai,MurrLa00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,MurrLa00,pass_long,0,,,,,
player,201610300tam,rai,MurrLa00,pass_rating,,,,,,
player,201610300tam,rai,MurrLa00,rush_att,11,,,,,
player,201610300tam,rai,MurrLa00,rush_yds,48,,,,,
player,201610300tam,rai,MurrLa00,rush_td,0,,,,,
player,201610300tam,rai,MurrLa00,rush_long,19,,,,,
player,201610300tam,rai,MurrLa00,targets,7,,,,,
player,201610300tam,rai,MurrLa00,rec,5,,,,,
player,201610300tam,rai,MurrLa00,rec_yds,23,,,,,
player,201610300tam,rai,MurrLa00,rec_td,0,,,,,
player,201610300tam,rai,MurrLa00,rec_long,12,,,,,
player,201610300tam,rai,MurrLa00,fumbles,0,,,,,
player,201610300tam,rai,MurrLa00,fumbles_lost,0,,,,,
player,201610300tam,rai,RichJa01,pass_cmp,0,,,,,
player,201610300tam,rai,RichJa01,pass_att,0,,,,,
player,201610300tam,rai,RichJa01,pass_yds,0,,,,,
player,201610300tam,rai,RichJa01,pass_td,0,,,,,
player,201610300tam,rai,RichJa01,pass_int,0,,,,,
player,201610300tam,rai,RichJa01,pass_sacked,,,,,,
player,201610300tam,rai,RichJa01,pass_sacked_yds,0,,,,,
player,201610300tam,rai,RichJa01,pass_long,0,,,,,
player,201610300tam,rai,RichJa01,pass_rating,,,,,,
player,201610300tam,rai,RichJa01,rush_att,5,,,,,
player,201610300tam,rai,RichJa01,rush_yds,34,,,,,
player,201610300tam,rai,RichJa01,rush_td,0,,,,,
player,201610300tam,rai,RichJa01,rush_long,20,,,,,
player,201610300tam,rai,RichJa01,targets,2,,,,,
player,201610300tam,rai,RichJa01,rec,2,,,,,
player,201610300tam,rai,RichJa01,rec_yds,3,,,,,
player,201610300tam,rai,RichJa01,rec_td,0,,,,,
player,201610300tam,rai,RichJa01,rec_long,6,,,,,
player,201610300tam,rai,RichJa01,fumbles,0,,,,,
player,201610300tam,rai,RichJa01,fumbles_lost,0,,,,,
player,201610300tam,rai,WashDe00,pass_cmp,0,,,,,
player,201610300tam,rai,WashDe00,pass_att,0,,,,,
player,201610300tam,rai,WashDe00,pass_yds,0,,,,,
player,201610300tam,rai,WashDe00,pass_td,0,,,,,
player,201610300tam,rai,WashDe00,pass_int,0,,,,,
player,201610300tam,rai,WashDe00,pass_sacked,,,,,,
player,201610300tam,rai,WashDe00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,WashDe00,pass_long,0,,,,,
player,201610300tam,rai,WashDe00,pass_rating,,,,,,
player,201610300tam,rai,WashDe00,rush_att,5,,,,,
player,201610300tam,rai,WashDe00,rush_yds,32,,,,,
player,201610300tam,rai,WashDe00,rush_td,0,,,,,
player,201610300tam,rai,WashDe00,rush_long,28,,,,,
player,201610300tam,rai,WashDe00,targets,0,,,,,
player,201610300tam,rai,WashDe00,rec,0,,,,,
player,201610300tam,rai,WashDe00,rec_yds,0,,,,,
player,201610300tam,rai,WashDe00,rec_td,0,,,,,
player,201610300tam,rai,WashDe00,rec_long,0,,,,,
player,201610300tam,rai,WashDe00,fumbles,0,,,,,
player,201610300tam,rai,WashDe00,fumbles_lost,0,,,,,
player,201610300tam,rai,HoltJo00,pass_cmp,0,,,,,
player,201610300tam,rai,HoltJo00,pass_att,0,,,,,
player,201610300tam,rai,HoltJo00,pass_yds,0,,,,,
player,201610300tam,rai,HoltJo00,pass_td,0,,,,,
player,201610300tam,rai,HoltJo00,pass_int,0,,,,,
player,201610300tam,rai,HoltJo00,pass_sacked,,,,,,
player,201610300tam,rai,HoltJo00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,HoltJo00,pass_long,0,,,,,
player,201610300tam,rai,HoltJo00,pass_rating,,,,,,
player,201610300tam,rai,HoltJo00,rush_att,1,,,,,
player,201610300tam,rai,HoltJo00,rush_yds,2,,,,,
player,201610300tam,rai,HoltJo00,rush_td,0,,,,,
player,201610300tam,rai,HoltJo00,rush_long,2,,,,,
player,201610300tam,rai,HoltJo00,targets,0,,,,,
player,201610300tam,rai,HoltJo00,rec,0,,,,,
player,201610300tam,rai,HoltJo00,rec_yds,0,,,,,
player,201610300tam,rai,HoltJo00,rec_td,0,,,,,
player,201610300tam,rai,HoltJo00,rec_long,0,,,,,
player,201610300tam,rai,HoltJo00,fumbles,0,,,,,
player,201610300tam,rai,HoltJo00,fumbles_lost,0,,,,,
player,201610300tam,rai,CoopAm00,pass_cmp,0,,,,,
player,201610300tam,rai,CoopAm00,pass_att,0,,,,,
player,201610300tam,rai,CoopAm00,pass_yds,0,,,,,
player,201610300tam,rai,CoopAm00,pass_td,0,,,,,
player,201610300tam,rai,CoopAm00,pass_int,0,,,,,
player,201610300tam,rai,CoopAm00,pass_sacked,,,,,,
player,201610300tam,rai,CoopAm00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,CoopAm00,pass_long,0,,,,,
player,201610300tam,rai,CoopAm00,pass_rating,,,,,,
player,201610300tam,rai,CoopAm00,rush_att,0,,,,,
player,201610300tam,rai,CoopAm00,rush_yds,0,,,,,
player,201610300tam,rai,CoopAm00,rush_td,0,,,,,
player,201610300tam,rai,CoopAm00,rush_long,0,,,,,
player,201610300tam,rai,CoopAm00,targets,15,,,,,
player,201610300tam,rai,CoopAm00,rec,12,,,,,
player,201610300tam,rai,CoopAm00,rec_yds,173,,,,,
player,201610300tam,rai,CoopAm00,rec_td,1,,,,,
player,201610300tam,rai,CoopAm00,rec_long,34,,,,,
player,201610300tam,rai,CoopAm00,fumbles,0,,,,,
player,201610300tam,rai,CoopAm00,fumbles_lost,0,,,,,
player,201610300tam,rai,CrabMi00,pass_cmp,0,,,,,
player,201610300tam,rai,CrabMi00,pass_att,0,,,,,
player,201610300tam,rai,CrabMi00,pass_yds,0,,,,,
player,201610300tam,rai,CrabMi00,pass_td,0,,,,,
player,201610300tam,rai,CrabMi00,pass_int,0,,,,,
player,201610300tam,rai,CrabMi00,pass_sacked,,,,,,
player,201610300tam,rai,CrabMi00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,CrabMi00,pass_long,0,,,,,
player,201610300tam,rai,CrabMi00,pass_rating,,,,,,
player,201610300tam,rai,CrabMi00,rush_att,0,,,,,
player,201610300tam,rai,CrabMi00,rush_yds,0,,,,,
player,201610300tam,rai,CrabMi00,rush_td,0,,,,,
player,201610300tam,rai,CrabMi00,rush_long,0,,,,,
player,201610300tam,rai,CrabMi00,targets,16,,,,,
player,201610300tam,rai,CrabMi00,rec,8,,,,,
player,201610300tam,rai,CrabMi00,rec_yds,108,,,,,
player,201610300tam,rai,CrabMi00,rec_td,0,,,,,
player,201610300tam,rai,CrabMi00,rec_long,45,,,,,
player,201610300tam,rai,CrabMi00,fumbles,0,,,,,
player,201610300tam,rai,CrabMi00,fumbles_lost,0,,,,,
player,201610300tam,rai,RobeSe00,pass_cmp,0,,,,,
player,201610300tam,rai,RobeSe00,pass_att,0,,,,,
player,201610300tam,rai,RobeSe00,pass_yds,0,,,,,
player,201610300tam,rai,RobeSe00,pass_td,0,,,,,
player,201610300tam,rai,RobeSe00,pass_int,0,,,,,
player,201610300tam,rai,RobeSe00,pass_sacked,,,,,,
player,201610300tam,rai,RobeSe00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,RobeSe00,pass_long,0,,,,,
player,201610300tam,rai,RobeSe00,pass_rating,,,,,,
player,201610300tam,rai,RobeSe00,rush_att,0,,,,,
player,201610300tam,rai,RobeSe00,rush_yds,0,,,,,
player,201610300tam,rai,RobeSe00,rush_td,0,,,,,
player,201610300tam,rai,RobeSe00,rush_long,0,,,,,
player,201610300tam,rai,RobeSe00,targets,7,,,,,
player,201610300tam,rai,RobeSe00,rec,3,,,,,
player,201610300tam,rai,RobeSe00,rec_yds,69,,,,,
player,201610300tam,rai,RobeSe00,rec_td,1,,,,,
player,201610300tam,rai,RobeSe00,rec_long,41,,,,,
player,201610300tam,rai,RobeSe00,fumbles,0,,,,,
player,201610300tam,rai,RobeSe00,fumbles_lost,0,,,,,
player,201610300tam,rai,RiveMy00,pass_cmp,0,,,,,
player,201610300tam,rai,RiveMy00,pass_att,0,,,,,
player,201610300tam,rai,RiveMy00,pass_yds,0,,,,,
player,201610300tam,rai,RiveMy00,pass_td,0,,,,,
player,201610300tam,rai,RiveMy00,pass_int,0,,,,,
player,201610300tam,rai,RiveMy00,pass_sacked,,,,,,
player,201610300tam,rai,RiveMy00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,RiveMy00,pass_long,0,,,,,
player,201610300tam,rai,RiveMy00,pass_rating,,,,,,
player,201610300tam,rai,RiveMy00,rush_att,0,,,,,
player,201610300tam,rai,RiveMy00,rush_yds,0,,,,,
player,201610300tam,rai,RiveMy00,rush_td,0,,,,,
player,201610300tam,rai,RiveMy00,rush_long,0,,,,,
player,201610300tam,rai,RiveMy00,targets,3,,,,,
player,201610300tam,rai,RiveMy00,rec,3,,,,,
player,201610300tam,rai,RiveMy00,rec_yds,36,,,,,
player,201610300tam,rai,RiveMy00,rec_td,1,,,,,
player,201610300tam,rai,RiveMy00,rec_long,27,,,,,
player,201610300tam,rai,RiveMy00,fumbles,0,,,,,
player,201610300tam,rai,RiveMy00,fumbles_lost,0,,,,,
player,201610300tam,rai,WalfCl00,pass_cmp,0,,,,,
player,201610300tam,rai,WalfCl00,pass_att,0,,,,,
player,201610300tam,rai,WalfCl00,pass_yds,0,,,,,
player,201610300tam,rai,WalfCl00,pass_td,0,,,,,
player,201610300tam,rai,WalfCl00,pass_int,0,,,,,
player,201610300tam,rai,WalfCl00,pass_sacked,,,,,,
player,201610300tam,rai,WalfCl00,pass_sacked_yds,0,,,,,
player,201610300tam,rai,WalfCl00,pass_long,0,,,,,
player,201610300tam,rai,WalfCl00,pass_rating,,,,,,
player,201610300tam,rai,WalfCl00,rush_att,0,,,,,
player,201610300tam,rai,WalfCl00,rush_yds,0,,,,,
player,201610300tam,rai,WalfCl00,rush_td,0,,,,,
player,201610300tam,rai,WalfCl00,rush_long,0,,,,,
player,201610300tam,rai,WalfCl00,targets,4,,,,,
player,201610300tam,rai,WalfCl00,rec,3,,,,,
player,201610300tam,rai,WalfCl00,rec_yds,31,,,,,
player,201610300tam,rai,WalfCl00,rec_td,0,,,,,
player,201610300tam,rai,WalfCl00,rec_long,17,,,,,
player,201610300tam,rai,WalfCl00,fumbles,0,,,,,
player,201610300tam,rai,WalfCl00,fumbles_lost,0,,,,,
player,201610300tam,rai,PennDo20,pass_cmp,0,,,,,
player,201610300tam,rai,PennDo20,pass_att,0,,,,,
player,201610300tam,rai,PennDo20,pass_yds,0,,,,,
