game,2016,14,20161212,201612120nwe,rav,"Baltimore Ravens",23,nwe,"New England Patriots",30
player,201612120nwe,rav,SmitSt01,rec_yds,57,,,,,
player,201612120nwe,rav,SmitSt01,rec_td,0,,,,,
player,201612120nwe,rav,SmitSt01,rec_long,25,,,,,
player,201612120nwe,rav,SmitSt01,fumbles,0,,,,,
player,201612120nwe,rav,SmitSt01,fumbles_lost,0,,,,,
player,201612120nwe,rav,WallMi00,pass_cmp,0,,,,,
player,201612120nwe,rav,WallMi00,pass_att,0,,,,,
player,201612120nwe,rav,WallMi00,pass_yds,0,,,,,
player,201612120nwe,rav,WallMi00,pass_td,0,,,,,
player,201612120nwe,rav,WallMi00,pass_int,0,,,,,
player,201612120nwe,rav,WallMi00,pass_sacked,0,,,,,
player,201612120nwe,rav,WallMi00,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,WallMi00,pass_long,0,,,,,
player,201612120nwe,rav,WallMi00,pass_rating,,,,,,
player,201612120nwe,rav,WallMi00,rush_att,0,,,,,
player,201612120nwe,rav,WallMi00,rush_yds,0,,,,,
player,201612120nwe,rav,WallMi00,rush_td,0,,,,,
player,201612120nwe,rav,WallMi00,rush_long,0,,,,,
player,201612120nwe,rav,WallMi00,targets,8,,,,,
player,201612120nwe,rav,WallMi00,rec,5,,,,,
player,201612120nwe,rav,WallMi00,rec_yds,52,,,,,
player,201612120nwe,rav,WallMi00,rec_td,0,,,,,
player,201612120nwe,rav,WallMi00,rec_long,20,,,,,
player,201612120nwe,rav,WallMi00,fumbles,0,,,,,
player,201612120nwe,rav,WallMi00,fumbles_lost,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_cmp,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_att,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_yds,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_td,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_int,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_sacked,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_long,0,,,,,
player,201612120nwe,rav,PerrBr02,pass_rating,,,,,,
player,201612120nwe,rav,PerrBr02,rush_att,0,,,,,
player,201612120nwe,rav,PerrBr02,rush_yds,0,,,,,
player,201612120nwe,rav,PerrBr02,rush_td,0,,,,,
player,201612120nwe,rav,PerrBr02,rush_long,0,,,,,
player,201612120nwe,rav,PerrBr02,targets,4,,,,,
player,201612120nwe,rav,PerrBr02,rec,3,,,,,
player,201612120nwe,rav,PerrBr02,rec_yds,52,,,,,
player,201612120nwe,rav,PerrBr02,rec_td,0,,,,,
player,201612120nwe,rav,PerrBr02,rec_long,47,,,,,
player,201612120nwe,rav,PerrBr02,fumbles,0,,,,,
player,201612120nwe,rav,PerrBr02,fumbles_lost,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_cmp,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_att,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_yds,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_td,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_int,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_sacked,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_long,0,,,,,
player,201612120nwe,rav,JuszKy00,pass_rating,,,,,,
player,201612120nwe,rav,JuszKy00,rush_att,0,,,,,
player,201612120nwe,rav,JuszKy00,rush_yds,0,,,,,
player,201612120nwe,rav,JuszKy00,rush_td,0,,,,,
player,201612120nwe,rav,JuszKy00,rush_long,0,,,,,
player,201612120nwe,rav,JuszKy00,targets,3,,,,,
player,201612120nwe,rav,JuszKy00,rec,3,,,,,
player,201612120nwe,rav,JuszKy00,rec_yds,46,,,,,
player,201612120nwe,rav,JuszKy00,rec_td,0,,,,,
player,201612120nwe,rav,JuszKy00,rec_long,40,,,,,
player,201612120nwe,rav,JuszKy00,fumbles,0,,,,,
player,201612120nwe,rav,JuszKy00,fumbles_lost,0,,,,,
player,201612120nwe,rav,PittDe00,pass_cmp,0,,,,,
player,201612120nwe,rav,PittDe00,pass_att,0,,,,,
player,201612120nwe,rav,PittDe00,pass_yds,0,,,,,
player,201612120nwe,rav,PittDe00,pass_td,0,,,,,
player,201612120nwe,rav,PittDe00,pass_int,0,,,,,
player,201612120nwe,rav,PittDe00,pass_sacked,0,,,,,
player,201612120nwe,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201612120nwe,rav,PittDe00,pass_long,0,,,,,
player,201612120nwe,rav,PittDe00,pass_rating,,,,,,
player,201612120nwe,rav,PittDe00,rush_att,0,,,,,
player,201612120nwe,rav,PittDe00,rush_yds,0,,,,,
