game,2016,5,20161009,201610090mia,oti,"Tennessee Titans",30,mia,"Miami Dolphins",17
team,201610090mia,oti,First Downs,23,,,,,,
team,201610090mia,mia,First Downs,8,,,,,,
team,201610090mia,oti,Rush-Yds-TDs,41-235-1,,,,,,
team,201610090mia,mia,Rush-Yds-TDs,17-51-1,,,,,,
team,201610090mia,oti,Cmp-Att-Yd-TD-INT,20-29-163-3-0,,,,,,
team,201610090mia,mia,Cmp-Att-Yd-TD-INT,12-18-191-0-2,,,,,,
team,201610090mia,oti,Sacked-Yards,0-0,,,,,,
team,201610090mia,mia,Sacked-Yards,6-42,,,,,,
team,201610090mia,oti,Net Pass Yards,163,,,,,,
team,201610090mia,mia,Net Pass Yards,149,,,,,,
team,201610090mia,oti,Total Yards,398,,,,,,
team,201610090mia,mia,Total Yards,200,,,,,,
team,201610090mia,oti,Fumbles-Lost,1-0,,,,,,
team,201610090mia,mia,Fumbles-Lost,0-0,,,,,,
team,201610090mia,oti,Turnovers,0,,,,,,
team,201610090mia,mia,Turnovers,2,,,,,,
team,201610090mia,oti,Penalties-Yards,5-40,,,,,,
team,201610090mia,mia,Penalties-Yards,8-83,,,,,,
team,201610090mia,oti,Third Down Conv.,5-12,,,,,,
team,201610090mia,mia,Third Down Conv.,4-11,,,,,,
team,201610090mia,oti,Fourth Down Conv.,0-1,,,,,,
team,201610090mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201610090mia,oti,Time of Possession,36:44,,,,,,
team,201610090mia,mia,Time of Possession,23:16,,,,,,
player,201610090mia,oti,MariMa01,pass_cmp,20,,,,,
player,201610090mia,oti,MariMa01,pass_att,29,,,,,
player,201610090mia,oti,MariMa01,pass_yds,163,,,,,
player,201610090mia,oti,MariMa01,pass_td,3,,,,,
player,201610090mia,oti,MariMa01,pass_int,0,,,,,
player,201610090mia,oti,MariMa01,pass_sacked,0,,,,,
player,201610090mia,oti,MariMa01,pass_sacked_yds,0,,,,,
player,201610090mia,oti,MariMa01,pass_long,29,,,,,
player,201610090mia,oti,MariMa01,pass_rating,117.5,,,,,
player,201610090mia,oti,MariMa01,rush_att,7,,,,,
player,201610090mia,oti,MariMa01,rush_yds,60,,,,,
player,201610090mia,oti,MariMa01,rush_td,1,,,,,
player,201610090mia,oti,MariMa01,rush_long,21,,,,,
player,201610090mia,oti,MariMa01,targets,0,,,,,
player,201610090mia,oti,MariMa01,rec,0,,,,,
player,201610090mia,oti,MariMa01,rec_yds,0,,,,,
player,201610090mia,oti,MariMa01,rec_td,0,,,,,
player,201610090mia,oti,MariMa01,rec_long,0,,,,,
player,201610090mia,oti,MariMa01,fumbles,0,,,,,
player,201610090mia,oti,MariMa01,fumbles_lost,0,,,,,
player,201610090mia,oti,MurrDe00,pass_cmp,0,,,,,
player,201610090mia,oti,MurrDe00,pass_att,0,,,,,
player,201610090mia,oti,MurrDe00,pass_yds,0,,,,,
player,201610090mia,oti,MurrDe00,pass_td,0,,,,,
player,201610090mia,oti,MurrDe00,pass_int,0,,,,,
player,201610090mia,oti,MurrDe00,pass_sacked,0,,,,,
player,201610090mia,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201610090mia,oti,MurrDe00,pass_long,0,,,,,
player,201610090mia,oti,MurrDe00,pass_rating,,,,,,
player,201610090mia,oti,MurrDe00,rush_att,27,,,,,
player,201610090mia,oti,MurrDe00,rush_yds,121,,,,,
player,201610090mia,oti,MurrDe00,rush_td,0,,,,,
player,201610090mia,oti,MurrDe00,rush_long,14,,,,,
player,201610090mia,oti,MurrDe00,targets,6,,,,,
player,201610090mia,oti,MurrDe00,rec,5,,,,,
player,201610090mia,oti,MurrDe00,rec_yds,16,,,,,
