game,2016,14,20161211,201612110tam,nor,"New Orleans Saints",11,tam,"Tampa Bay Buccaneers",16
team,201612110tam,nor,First Downs,14,,,,,,
team,201612110tam,tam,First Downs,21,,,,,,
team,201612110tam,nor,Rush-Yds-TDs,16-46-0,,,,,,
team,201612110tam,tam,Rush-Yds-TDs,35-104-1,,,,,,
team,201612110tam,nor,Cmp-Att-Yd-TD-INT,25-41-257-0-3,,,,,,
team,201612110tam,tam,Cmp-Att-Yd-TD-INT,16-26-184-0-0,,,,,,
team,201612110tam,nor,Sacked-Yards,1-9,,,,,,
team,201612110tam,tam,Sacked-Yards,2-18,,,,,,
team,201612110tam,nor,Net Pass Yards,248,,,,,,
team,201612110tam,tam,Net Pass Yards,166,,,,,,
team,201612110tam,nor,Total Yards,294,,,,,,
team,201612110tam,tam,Total Yards,270,,,,,,
team,201612110tam,nor,Fumbles-Lost,0-0,,,,,,
team,201612110tam,tam,Fumbles-Lost,0-0,,,,,,
team,201612110tam,nor,Turnovers,3,,,,,,
team,201612110tam,tam,Turnovers,0,,,,,,
team,201612110tam,nor,Penalties-Yards,13-104,,,,,,
team,201612110tam,tam,Penalties-Yards,7-65,,,,,,
team,201612110tam,nor,Third Down Conv.,4-13,,,,,,
team,201612110tam,tam,Third Down Conv.,6-13,,,,,,
team,201612110tam,nor,Fourth Down Conv.,1-2,,,,,,
team,201612110tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201612110tam,nor,Time of Possession,26:45,,,,,,
team,201612110tam,tam,Time of Possession,33:15,,,,,,
player,201612110tam,nor,BreeDr00,pass_cmp,25,,,,,
player,201612110tam,nor,BreeDr00,pass_att,41,,,,,
player,201612110tam,nor,BreeDr00,pass_yds,257,,,,,
player,201612110tam,nor,BreeDr00,pass_td,0,,,,,
player,201612110tam,nor,BreeDr00,pass_int,3,,,,,
player,201612110tam,nor,BreeDr00,pass_sacked,1,,,,,
player,201612110tam,nor,BreeDr00,pass_sacked_yds,9,,,,,
player,201612110tam,nor,BreeDr00,pass_long,0,,,,,
player,201612110tam,nor,BreeDr00,pass_rating,48.5,,,,,
player,201612110tam,nor,BreeDr00,rush_att,1,,,,,
player,201612110tam,nor,BreeDr00,rush_yds,2,,,,,
player,201612110tam,nor,BreeDr00,rush_td,0,,,,,
player,201612110tam,nor,BreeDr00,rush_long,2,,,,,
player,201612110tam,nor,BreeDr00,targets,0,,,,,
player,201612110tam,nor,BreeDr00,rec,0,,,,,
player,201612110tam,nor,BreeDr00,rec_yds,0,,,,,
player,201612110tam,nor,BreeDr00,rec_td,0,,,,,
player,201612110tam,nor,BreeDr00,rec_long,0,,,,,
player,201612110tam,nor,BreeDr00,fumbles,0,,,,,
player,201612110tam,nor,BreeDr00,fumbles_lost,0,,,,,
player,201612110tam,nor,HighTi00,pass_cmp,0,,,,,
player,201612110tam,nor,HighTi00,pass_att,0,,,,,
player,201612110tam,nor,HighTi00,pass_yds,0,,,,,
player,201612110tam,nor,HighTi00,pass_td,0,,,,,
player,201612110tam,nor,HighTi00,pass_int,0,,,,,
player,201612110tam,nor,HighTi00,pass_sacked,0,,,,,
player,201612110tam,nor,HighTi00,pass_sacked_yds,0,,,,,
player,201612110tam,nor,HighTi00,pass_long,0,,,,,
player,201612110tam,nor,HighTi00,pass_rating,,,,,,
player,201612110tam,nor,HighTi00,rush_att,6,,,,,
player,201612110tam,nor,HighTi00,rush_yds,31,,,,,
player,201612110tam,nor,HighTi00,rush_td,0,,,,,
player,201612110tam,nor,HighTi00,rush_long,8,,,,,
