game,2016,9,20161106,201611060cle,dal,"Dallas Cowboys",35,cle,"Cleveland Browns",10
team,201611060cle,dal,First Downs,29,,,,,,
team,201611060cle,cle,First Downs,13,,,,,,
team,201611060cle,dal,Rush-Yds-TDs,42-168-2,,,,,,
team,201611060cle,cle,Rush-Yds-TDs,13-45-0,,,,,,
team,201611060cle,dal,Cmp-Att-Yd-TD-INT,22-28-255-3-0,,,,,,
team,201611060cle,cle,Cmp-Att-Yd-TD-INT,19-27-203-1-0,,,,,,
team,201611060cle,dal,Sacked-Yards,0-0,,,,,,
team,201611060cle,cle,Sacked-Yards,4-26,,,,,,
team,201611060cle,dal,Net Pass Yards,255,,,,,,
team,201611060cle,cle,Net Pass Yards,177,,,,,,
team,201611060cle,dal,Total Yards,423,,,,,,
team,201611060cle,cle,Total Yards,222,,,,,,
team,201611060cle,dal,Fumbles-Lost,1-0,,,,,,
team,201611060cle,cle,Fumbles-Lost,0-0,,,,,,
team,201611060cle,dal,Turnovers,0,,,,,,
team,201611060cle,cle,Turnovers,0,,,,,,
team,201611060cle,dal,Penalties-Yards,4-38,,,,,,
team,201611060cle,cle,Penalties-Yards,5-33,,,,,,
team,201611060cle,dal,Third Down Conv.,8-12,,,,,,
team,201611060cle,cle,Third Down Conv.,1-9,,,,,,
team,201611060cle,dal,Fourth Down Conv.,2-2,,,,,,
team,201611060cle,cle,Fourth Down Conv.,1-1,,,,,,
team,201611060cle,dal,Time of Possession,39:39,,,,,,
team,201611060cle,cle,Time of Possession,20:21,,,,,,
player,201611060cle,dal,PresDa01,pass_cmp,21,,,,,
player,201611060cle,dal,PresDa01,pass_att,27,,,,,
player,201611060cle,dal,PresDa01,pass_yds,247,,,,,
player,201611060cle,dal,PresDa01,pass_td,3,,,,,
player,201611060cle,dal,PresDa01,pass_int,0,,,,,
player,201611060cle,dal,PresDa01,pass_sacked,0,,,,,
player,201611060cle,dal,PresDa01,pass_sacked_yds,0,,,,,
player,201611060cle,dal,PresDa01,pass_long,35,,,,,
player,201611060cle,dal,PresDa01,pass_rating,141.8,,,,,
player,201611060cle,dal,PresDa01,rush_att,4,,,,,
player,201611060cle,dal,PresDa01,rush_yds,20,,,,,
player,201611060cle,dal,PresDa01,rush_td,0,,,,,
player,201611060cle,dal,PresDa01,rush_long,13,,,,,
player,201611060cle,dal,PresDa01,targets,0,,,,,
player,201611060cle,dal,PresDa01,rec,0,,,,,
player,201611060cle,dal,PresDa01,rec_yds,0,,,,,
player,201611060cle,dal,PresDa01,rec_td,0,,,,,
player,201611060cle,dal,PresDa01,rec_long,0,,,,,
player,201611060cle,dal,PresDa01,fumbles,0,,,,,
player,201611060cle,dal,PresDa01,fumbles_lost,0,,,,,
player,201611060cle,dal,SancMa00,pass_cmp,1,,,,,
player,201611060cle,dal,SancMa00,pass_att,1,,,,,
player,201611060cle,dal,SancMa00,pass_yds,8,,,,,
player,201611060cle,dal,SancMa00,pass_td,0,,,,,
player,201611060cle,dal,SancMa00,pass_int,0,,,,,
player,201611060cle,dal,SancMa00,pass_sacked,0,,,,,
player,201611060cle,dal,SancMa00,pass_sacked_yds,0,,,,,
player,201611060cle,dal,SancMa00,pass_long,8,,,,,
player,201611060cle,dal,SancMa00,pass_rating,100.0,,,,,
player,201611060cle,dal,SancMa00,rush_att,2,,,,,
player,201611060cle,dal,SancMa00,rush_yds,-2,,,,,
