game,2016,7,20161023,201610230phi,min,"Minnesota Vikings",10,phi,"Philadelphia Eagles",21
team,201610230phi,min,First Downs,18,,,,,,
team,201610230phi,phi,First Downs,15,,,,,,
team,201610230phi,min,Rush-Yds-TDs,27-93-0,,,,,,
team,201610230phi,phi,Rush-Yds-TDs,26-101-0,,,,,,
team,201610230phi,min,Cmp-Att-Yd-TD-INT,24-41-224-1-1,,,,,,
team,201610230phi,phi,Cmp-Att-Yd-TD-INT,16-28-138-1-2,,,,,,
team,201610230phi,min,Sacked-Yards,6-35,,,,,,
team,201610230phi,phi,Sacked-Yards,0-0,,,,,,
team,201610230phi,min,Net Pass Yards,189,,,,,,
team,201610230phi,phi,Net Pass Yards,138,,,,,,
team,201610230phi,min,Total Yards,282,,,,,,
team,201610230phi,phi,Total Yards,239,,,,,,
team,201610230phi,min,Fumbles-Lost,5-3,,,,,,
team,201610230phi,phi,Fumbles-Lost,4-2,,,,,,
team,201610230phi,min,Turnovers,4,,,,,,
team,201610230phi,phi,Turnovers,4,,,,,,
team,201610230phi,min,Penalties-Yards,7-56,,,,,,
team,201610230phi,phi,Penalties-Yards,7-53,,,,,,
team,201610230phi,min,Third Down Conv.,9-19,,,,,,
team,201610230phi,phi,Third Down Conv.,4-11,,,,,,
team,201610230phi,min,Fourth Down Conv.,1-3,,,,,,
team,201610230phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201610230phi,min,Time of Possession,32:08,,,,,,
team,201610230phi,phi,Time of Possession,27:52,,,,,,
player,201610230phi,min,BradSa00,pass_cmp,24,,,,,
player,201610230phi,min,BradSa00,pass_att,41,,,,,
player,201610230phi,min,BradSa00,pass_yds,224,,,,,
player,201610230phi,min,BradSa00,pass_td,1,,,,,
player,201610230phi,min,BradSa00,pass_int,1,,,,,
player,201610230phi,min,BradSa00,pass_sacked,6,,,,,
player,201610230phi,min,BradSa00,pass_sacked_yds,35,,,,,
player,201610230phi,min,BradSa00,pass_long,27,,,,,
player,201610230phi,min,BradSa00,pass_rating,71.6,,,,,
player,201610230phi,min,BradSa00,rush_att,1,,,,,
player,201610230phi,min,BradSa00,rush_yds,-1,,,,,
player,201610230phi,min,BradSa00,rush_td,0,,,,,
player,201610230phi,min,BradSa00,rush_long,-1,,,,,
player,201610230phi,min,BradSa00,targets,0,,,,,
player,201610230phi,min,BradSa00,rec,0,,,,,
player,201610230phi,min,BradSa00,rec_yds,0,,,,,
player,201610230phi,min,BradSa00,rec_td,0,,,,,
player,201610230phi,min,BradSa00,rec_long,0,,,,,
player,201610230phi,min,BradSa00,fumbles,4,,,,,
player,201610230phi,min,BradSa00,fumbles_lost,2,,,,,
player,201610230phi,min,AsiaMa00,pass_cmp,0,,,,,
player,201610230phi,min,AsiaMa00,pass_att,0,,,,,
player,201610230phi,min,AsiaMa00,pass_yds,0,,,,,
player,201610230phi,min,AsiaMa00,pass_td,0,,,,,
player,201610230phi,min,AsiaMa00,pass_int,0,,,,,
player,201610230phi,min,AsiaMa00,pass_sacked,0,,,,,
player,201610230phi,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201610230phi,min,AsiaMa00,pass_long,0,,,,,
player,201610230phi,min,AsiaMa00,pass_rating,,,,,,
player,201610230phi,min,AsiaMa00,rush_att,12,,,,,
player,201610230phi,min,AsiaMa00,rush_yds,55,,,,,
player,201610230phi,min,AsiaMa00,rush_td,0,,,,,
player,201610230phi,min,AsiaMa00,rush_long,29,,,,,
