game,2016,11,20161120,201611200sea,phi,"Philadelphia Eagles",15,sea,"Seattle Seahawks",26
team,201611200sea,phi,First Downs,20,,,,,,
team,201611200sea,sea,First Downs,18,,,,,,
team,201611200sea,phi,Rush-Yds-TDs,26-113-0,,,,,,
team,201611200sea,sea,Rush-Yds-TDs,30-152-1,,,,,,
team,201611200sea,phi,Cmp-Att-Yd-TD-INT,23-45-218-2-2,,,,,,
team,201611200sea,sea,Cmp-Att-Yd-TD-INT,19-32-287-2-0,,,,,,
team,201611200sea,phi,Sacked-Yards,2-23,,,,,,
team,201611200sea,sea,Sacked-Yards,1-0,,,,,,
team,201611200sea,phi,Net Pass Yards,195,,,,,,
team,201611200sea,sea,Net Pass Yards,287,,,,,,
team,201611200sea,phi,Total Yards,308,,,,,,
team,201611200sea,sea,Total Yards,439,,,,,,
team,201611200sea,phi,Fumbles-Lost,1-0,,,,,,
team,201611200sea,sea,Fumbles-Lost,1-0,,,,,,
team,201611200sea,phi,Turnovers,2,,,,,,
team,201611200sea,sea,Turnovers,0,,,,,,
team,201611200sea,phi,Penalties-Yards,8-48,,,,,,
team,201611200sea,sea,Penalties-Yards,7-48,,,,,,
team,201611200sea,phi,Third Down Conv.,6-16,,,,,,
team,201611200sea,sea,Third Down Conv.,5-15,,,,,,
team,201611200sea,phi,Fourth Down Conv.,1-3,,,,,,
team,201611200sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201611200sea,phi,Time of Possession,31:06,,,,,,
team,201611200sea,sea,Time of Possession,28:54,,,,,,
player,201611200sea,phi,WentCa00,pass_cmp,23,,,,,
player,201611200sea,phi,WentCa00,pass_att,45,,,,,
player,201611200sea,phi,WentCa00,pass_yds,218,,,,,
player,201611200sea,phi,WentCa00,pass_td,2,,,,,
player,201611200sea,phi,WentCa00,pass_int,2,,,,,
player,201611200sea,phi,WentCa00,pass_sacked,2,,,,,
player,201611200sea,phi,WentCa00,pass_sacked_yds,23,,,,,
