game,2016,9,20161106,201611060sfo,nor,"New Orleans Saints",41,sfo,"San Francisco 49ers",23
team,201611060sfo,nor,First Downs,29,,,,,,
team,201611060sfo,sfo,First Downs,19,,,,,,
team,201611060sfo,nor,Rush-Yds-TDs,42-248-2,,,,,,
team,201611060sfo,sfo,Rush-Yds-TDs,17-93-0,,,,,,
team,201611060sfo,nor,Cmp-Att-Yd-TD-INT,28-39-323-3-0,,,,,,
team,201611060sfo,sfo,Cmp-Att-Yd-TD-INT,24-39-398-2-1,,,,,,
team,201611060sfo,nor,Sacked-Yards,1-0,,,,,,
team,201611060sfo,sfo,Sacked-Yards,1-5,,,,,,
team,201611060sfo,nor,Net Pass Yards,323,,,,,,
team,201611060sfo,sfo,Net Pass Yards,393,,,,,,
team,201611060sfo,nor,Total Yards,571,,,,,,
team,201611060sfo,sfo,Total Yards,486,,,,,,
team,201611060sfo,nor,Fumbles-Lost,0-0,,,,,,
team,201611060sfo,sfo,Fumbles-Lost,3-3,,,,,,
team,201611060sfo,nor,Turnovers,0,,,,,,
team,201611060sfo,sfo,Turnovers,4,,,,,,
team,201611060sfo,nor,Penalties-Yards,4-40,,,,,,
team,201611060sfo,sfo,Penalties-Yards,9-78,,,,,,
team,201611060sfo,nor,Third Down Conv.,11-17,,,,,,
team,201611060sfo,sfo,Third Down Conv.,2-9,,,,,,
team,201611060sfo,nor,Fourth Down Conv.,0-0,,,,,,
team,201611060sfo,sfo,Fourth Down Conv.,0-2,,,,,,
team,201611060sfo,nor,Time of Possession,38:53,,,,,,
team,201611060sfo,sfo,Time of Possession,21:07,,,,,,
player,201611060sfo,nor,BreeDr00,pass_cmp,28,,,,,
player,201611060sfo,nor,BreeDr00,pass_att,39,,,,,
player,201611060sfo,nor,BreeDr00,pass_yds,323,,,,,
player,201611060sfo,nor,BreeDr00,pass_td,3,,,,,
player,201611060sfo,nor,BreeDr00,pass_int,0,,,,,
player,201611060sfo,nor,BreeDr00,pass_sacked,1,,,,,
player,201611060sfo,nor,BreeDr00,pass_sacked_yds,0,,,,,
player,201611060sfo,nor,BreeDr00,pass_long,32,,,,,
player,201611060sfo,nor,BreeDr00,pass_rating,122.1,,,,,
player,201611060sfo,nor,BreeDr00,rush_att,2,,,,,
player,201611060sfo,nor,BreeDr00,rush_yds,-2,,,,,
player,201611060sfo,nor,BreeDr00,rush_td,0,,,,,
player,201611060sfo,nor,BreeDr00,rush_long,-1,,,,,
player,201611060sfo,nor,BreeDr00,targets,0,,,,,
player,201611060sfo,nor,BreeDr00,rec,0,,,,,
player,201611060sfo,nor,BreeDr00,rec_yds,0,,,,,
player,201611060sfo,nor,BreeDr00,rec_td,0,,,,,
player,201611060sfo,nor,BreeDr00,rec_long,0,,,,,
player,201611060sfo,nor,BreeDr00,fumbles,0,,,,,
player,201611060sfo,nor,BreeDr00,fumbles_lost,0,,,,,
