game,2016,6,20161016,201610160gnb,dal,"Dallas Cowboys",30,gnb,"Green Bay Packers",16
team,201610160gnb,dal,First Downs,24,,,,,,
team,201610160gnb,gnb,First Downs,24,,,,,,
team,201610160gnb,dal,Rush-Yds-TDs,33-191-0,,,,,,
team,201610160gnb,gnb,Rush-Yds-TDs,24-78-0,,,,,,
team,201610160gnb,dal,Cmp-Att-Yd-TD-INT,18-27-247-3-1,,,,,,
team,201610160gnb,gnb,Cmp-Att-Yd-TD-INT,31-42-294-1-1,,,,,,
team,201610160gnb,dal,Sacked-Yards,2-14,,,,,,
team,201610160gnb,gnb,Sacked-Yards,1-0,,,,,,
team,201610160gnb,dal,Net Pass Yards,233,,,,,,
team,201610160gnb,gnb,Net Pass Yards,294,,,,,,
team,201610160gnb,dal,Total Yards,424,,,,,,
team,201610160gnb,gnb,Total Yards,372,,,,,,
team,201610160gnb,dal,Fumbles-Lost,2-1,,,,,,
team,201610160gnb,gnb,Fumbles-Lost,5-3,,,,,,
team,201610160gnb,dal,Turnovers,2,,,,,,
team,201610160gnb,gnb,Turnovers,4,,,,,,
team,201610160gnb,dal,Penalties-Yards,7-60,,,,,,
team,201610160gnb,gnb,Penalties-Yards,5-23,,,,,,
team,201610160gnb,dal,Third Down Conv.,3-11,,,,,,
team,201610160gnb,gnb,Third Down Conv.,7-13,,,,,,
team,201610160gnb,dal,Fourth Down Conv.,1-1,,,,,,
team,201610160gnb,gnb,Fourth Down Conv.,0-1,,,,,,
team,201610160gnb,dal,Time of Possession,29:50,,,,,,
team,201610160gnb,gnb,Time of Possession,30:10,,,,,,
player,201610160gnb,dal,PresDa01,pass_cmp,18,,,,,
player,201610160gnb,dal,PresDa01,pass_att,27,,,,,
player,201610160gnb,dal,PresDa01,pass_yds,247,,,,,
player,201610160gnb,dal,PresDa01,pass_td,3,,,,,
player,201610160gnb,dal,PresDa01,pass_int,1,,,,,
player,201610160gnb,dal,PresDa01,pass_sacked,2,,,,,
