game,2016,5,20161009,201610090rav,was,"Washington Redskins",16,rav,"Baltimore Ravens",10
team,201610090rav,was,First Downs,18,,,,,,
team,201610090rav,rav,First Downs,18,,,,,,
team,201610090rav,was,Rush-Yds-TDs,20-60-0,,,,,,
team,201610090rav,rav,Rush-Yds-TDs,19-118-0,,,,,,
team,201610090rav,was,Cmp-Att-Yd-TD-INT,29-41-260-1-1,,,,,,
team,201610090rav,rav,Cmp-Att-Yd-TD-INT,30-47-210-1-0,,,,,,
team,201610090rav,was,Sacked-Yards,1-10,,,,,,
team,201610090rav,rav,Sacked-Yards,3-22,,,,,,
team,201610090rav,was,Net Pass Yards,250,,,,,,
team,201610090rav,rav,Net Pass Yards,188,,,,,,
team,201610090rav,was,Total Yards,310,,,,,,
team,201610090rav,rav,Total Yards,306,,,,,,
team,201610090rav,was,Fumbles-Lost,2-1,,,,,,
team,201610090rav,rav,Fumbles-Lost,1-1,,,,,,
team,201610090rav,was,Turnovers,2,,,,,,
team,201610090rav,rav,Turnovers,1,,,,,,
team,201610090rav,was,Penalties-Yards,4-46,,,,,,
team,201610090rav,rav,Penalties-Yards,9-65,,,,,,
team,201610090rav,was,Third Down Conv.,3-12,,,,,,
team,201610090rav,rav,Third Down Conv.,3-15,,,,,,
team,201610090rav,was,Fourth Down Conv.,1-2,,,,,,
team,201610090rav,rav,Fourth Down Conv.,1-3,,,,,,
team,201610090rav,was,Time of Possession,29:35,,,,,,
team,201610090rav,rav,Time of Possession,30:25,,,,,,
player,201610090rav,was,CousKi00,pass_cmp,29,,,,,
player,201610090rav,was,CousKi00,pass_att,41,,,,,
player,201610090rav,was,CousKi00,pass_yds,260,,,,,
player,201610090rav,was,CousKi00,pass_td,1,,,,,
player,201610090rav,was,CousKi00,pass_int,1,,,,,
player,201610090rav,was,CousKi00,pass_sacked,1,,,,,
player,201610090rav,was,CousKi00,pass_sacked_yds,10,,,,,
player,201610090rav,was,CousKi00,pass_long,27,,,,,
player,201610090rav,was,CousKi00,pass_rating,85.4,,,,,
player,201610090rav,was,CousKi00,rush_att,1,,,,,
player,201610090rav,was,CousKi00,rush_yds,-1,,,,,
player,201610090rav,was,CousKi00,rush_td,0,,,,,
player,201610090rav,was,CousKi00,rush_long,-1,,,,,
player,201610090rav,was,CousKi00,targets,0,,,,,
player,201610090rav,was,CousKi00,rec,0,,,,,
player,201610090rav,was,CousKi00,rec_yds,0,,,,,
player,201610090rav,was,CousKi00,rec_td,0,,,,,
player,201610090rav,was,CousKi00,rec_long,0,,,,,
player,201610090rav,was,CousKi00,fumbles,1,,,,,
player,201610090rav,was,CousKi00,fumbles_lost,0,,,,,
player,201610090rav,was,JoneMa04,pass_cmp,0,,,,,
player,201610090rav,was,JoneMa04,pass_att,0,,,,,
player,201610090rav,was,JoneMa04,pass_yds,0,,,,,
player,201610090rav,was,JoneMa04,pass_td,0,,,,,
player,201610090rav,was,JoneMa04,pass_int,0,,,,,
player,201610090rav,was,JoneMa04,pass_sacked,0,,,,,
player,201610090rav,was,JoneMa04,pass_sacked_yds,0,,,,,
player,201610090rav,was,JoneMa04,pass_long,0,,,,,
player,201610090rav,was,JoneMa04,pass_rating,,,,,,
player,201610090rav,was,JoneMa04,rush_att,14,,,,,
