game,2016,6,20161016,201610160sea,atl,"Atlanta Falcons",24,sea,"Seattle Seahawks",26
team,201610160sea,atl,First Downs,22,,,,,,
team,201610160sea,sea,First Downs,22,,,,,,
team,201610160sea,atl,Rush-Yds-TDs,18-52-0,,,,,,
team,201610160sea,sea,Rush-Yds-TDs,27-72-3,,,,,,
team,201610160sea,atl,Cmp-Att-Yd-TD-INT,27-42-335-3-1,,,,,,
team,201610160sea,sea,Cmp-Att-Yd-TD-INT,25-37-270-0-0,,,,,,
team,201610160sea,atl,Sacked-Yards,4-25,,,,,,
team,201610160sea,sea,Sacked-Yards,1-9,,,,,,
team,201610160sea,atl,Net Pass Yards,310,,,,,,
team,201610160sea,sea,Net Pass Yards,261,,,,,,
team,201610160sea,atl,Total Yards,362,,,,,,
team,201610160sea,sea,Total Yards,333,,,,,,
team,201610160sea,atl,Fumbles-Lost,1-1,,,,,,
team,201610160sea,sea,Fumbles-Lost,3-0,,,,,,
team,201610160sea,atl,Turnovers,2,,,,,,
team,201610160sea,sea,Turnovers,0,,,,,,
team,201610160sea,atl,Penalties-Yards,8-66,,,,,,
team,201610160sea,sea,Penalties-Yards,3-30,,,,,,
team,201610160sea,atl,Third Down Conv.,3-11,,,,,,
team,201610160sea,sea,Third Down Conv.,5-14,,,,,,
team,201610160sea,atl,Fourth Down Conv.,1-2,,,,,,
team,201610160sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201610160sea,atl,Time of Possession,29:51,,,,,,
team,201610160sea,sea,Time of Possession,30:09,,,,,,
player,201610160sea,atl,RyanMa00,pass_cmp,27,,,,,
player,201610160sea,atl,RyanMa00,pass_att,42,,,,,
player,201610160sea,atl,RyanMa00,pass_yds,335,,,,,
player,201610160sea,atl,RyanMa00,pass_td,3,,,,,
player,201610160sea,atl,RyanMa00,pass_int,1,,,,,
player,201610160sea,atl,RyanMa00,pass_sacked,4,,,,,
player,201610160sea,atl,RyanMa00,pass_sacked_yds,25,,,,,
player,201610160sea,atl,RyanMa00,pass_long,46,,,,,
player,201610160sea,atl,RyanMa00,pass_rating,102.8,,,,,
player,201610160sea,atl,RyanMa00,rush_att,1,,,,,
player,201610160sea,atl,RyanMa00,rush_yds,2,,,,,
player,201610160sea,atl,RyanMa00,rush_td,0,,,,,
player,201610160sea,atl,RyanMa00,rush_long,2,,,,,
player,201610160sea,atl,RyanMa00,targets,0,,,,,
player,201610160sea,atl,RyanMa00,rec,0,,,,,
player,201610160sea,atl,RyanMa00,rec_yds,0,,,,,
player,201610160sea,atl,RyanMa00,rec_td,0,,,,,
player,201610160sea,atl,RyanMa00,rec_long,0,,,,,
player,201610160sea,atl,RyanMa00,fumbles,1,,,,,
player,201610160sea,atl,RyanMa00,fumbles_lost,1,,,,,
player,201610160sea,atl,FreeDe00,pass_cmp,0,,,,,
player,201610160sea,atl,FreeDe00,pass_att,0,,,,,
player,201610160sea,atl,FreeDe00,pass_yds,0,,,,,
player,201610160sea,atl,FreeDe00,pass_td,0,,,,,
player,201610160sea,atl,FreeDe00,pass_int,0,,,,,
player,201610160sea,atl,FreeDe00,pass_sacked,0,,,,,
player,201610160sea,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201610160sea,atl,FreeDe00,pass_long,0,,,,,
player,201610160sea,atl,FreeDe00,pass_rating,,,,,,
player,201610160sea,atl,FreeDe00,rush_att,12,,,,,
player,201610160sea,atl,FreeDe00,rush_yds,40,,,,,
player,201610160sea,atl,FreeDe00,rush_td,0,,,,,
player,201610160sea,atl,FreeDe00,rush_long,18,,,,,
player,201610160sea,atl,FreeDe00,targets,5,,,,,
player,201610160sea,atl,FreeDe00,rec,3,,,,,
player,201610160sea,atl,FreeDe00,rec_yds,10,,,,,
player,201610160sea,atl,FreeDe00,rec_td,0,,,,,
player,201610160sea,atl,FreeDe00,rec_long,11,,,,,
