game,2016,4,20161002,201610020sdg,nor,"New Orleans Saints",35,sdg,"San Diego Chargers",34
team,201610020sdg,nor,First Downs,21,,,,,,
team,201610020sdg,sdg,First Downs,21,,,,,,
team,201610020sdg,nor,Rush-Yds-TDs,34-83-3,,,,,,
team,201610020sdg,sdg,Rush-Yds-TDs,21-38-2,,,,,,
team,201610020sdg,nor,Cmp-Att-Yd-TD-INT,23-36-207-2-2,,,,,,
team,201610020sdg,sdg,Cmp-Att-Yd-TD-INT,28-43-321-2-1,,,,,,
team,201610020sdg,nor,Sacked-Yards,2-15,,,,,,
team,201610020sdg,sdg,Sacked-Yards,3-13,,,,,,
team,201610020sdg,nor,Net Pass Yards,192,,,,,,
team,201610020sdg,sdg,Net Pass Yards,308,,,,,,
team,201610020sdg,nor,Total Yards,275,,,,,,
team,201610020sdg,sdg,Total Yards,346,,,,,,
team,201610020sdg,nor,Fumbles-Lost,0-0,,,,,,
team,201610020sdg,sdg,Fumbles-Lost,4-2,,,,,,
team,201610020sdg,nor,Turnovers,2,,,,,,
team,201610020sdg,sdg,Turnovers,3,,,,,,
team,201610020sdg,nor,Penalties-Yards,6-34,,,,,,
team,201610020sdg,sdg,Penalties-Yards,5-46,,,,,,
team,201610020sdg,nor,Third Down Conv.,11-18,,,,,,
team,201610020sdg,sdg,Third Down Conv.,6-13,,,,,,
team,201610020sdg,nor,Fourth Down Conv.,1-1,,,,,,
team,201610020sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201610020sdg,nor,Time of Possession,32:39,,,,,,
team,201610020sdg,sdg,Time of Possession,27:21,,,,,,
player,201610020sdg,nor,BreeDr00,pass_cmp,23,,,,,
player,201610020sdg,nor,BreeDr00,pass_att,36,,,,,
player,201610020sdg,nor,BreeDr00,pass_yds,207,,,,,
player,201610020sdg,nor,BreeDr00,pass_td,2,,,,,
player,201610020sdg,nor,BreeDr00,pass_int,2,,,,,
player,201610020sdg,nor,BreeDr00,pass_sacked,2,,,,,
player,201610020sdg,nor,BreeDr00,pass_sacked_yds,15,,,,,
player,201610020sdg,nor,BreeDr00,pass_long,23,,,,,
player,201610020sdg,nor,BreeDr00,pass_rating,74.7,,,,,
player,201610020sdg,nor,BreeDr00,rush_att,4,,,,,
player,201610020sdg,nor,BreeDr00,rush_yds,-4,,,,,
player,201610020sdg,nor,BreeDr00,rush_td,0,,,,,
player,201610020sdg,nor,BreeDr00,rush_long,-1,,,,,
player,201610020sdg,nor,BreeDr00,targets,0,,,,,
player,201610020sdg,nor,BreeDr00,rec,0,,,,,
player,201610020sdg,nor,BreeDr00,rec_yds,0,,,,,
player,201610020sdg,nor,BreeDr00,rec_td,0,,,,,
player,201610020sdg,nor,BreeDr00,rec_long,0,,,,,
player,201610020sdg,nor,BreeDr00,fumbles,0,,,,,
player,201610020sdg,nor,BreeDr00,fumbles_lost,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_cmp,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_att,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_yds,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_td,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_int,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_sacked,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_long,0,,,,,
player,201610020sdg,nor,IngrMa01,pass_rating,,,,,,
player,201610020sdg,nor,IngrMa01,rush_att,18,,,,,
player,201610020sdg,nor,IngrMa01,rush_yds,56,,,,,
player,201610020sdg,nor,IngrMa01,rush_td,1,,,,,
player,201610020sdg,nor,IngrMa01,rush_long,10,,,,,
player,201610020sdg,nor,IngrMa01,targets,7,,,,,
player,201610020sdg,nor,IngrMa01,rec,6,,,,,
player,201610020sdg,nor,IngrMa01,rec_yds,49,,,,,
player,201610020sdg,nor,IngrMa01,rec_td,0,,,,,
